Player,Pos,Age,Tm,G,MP,FGA,3P,3PA,2PA,FTA,TRB,AST,STL,BLK,PTS,FV
George Hill,PG,33,MIL,59,1271,376,81,176,200,101,177,180,47,5,554,303.3
Solomon Hill,SF,28,TOT,59,1088,278,63,171,107,54,165,104,43,12,323,239.52500000000003
Solomon Hill,SF,28,MEM,48,901,233,56,147,86,38,144,94,31,7,274,200.125
Aaron Holiday,PG,23,IND,66,1617,563,87,221,342,87,156,225,55,16,627,370.52500000000003
Jrue Holiday,SG,29,NOP,61,2117,1006,122,346,660,182,293,408,99,48,1167,562.6500000000001
Justin Holiday,SG,30,IND,73,1826,486,134,331,155,67,238,93,87,46,603,401.67500000000007
Rondae Hollis-Jefferson,SF,25,TOR,60,1122,329,3,23,306,143,283,106,46,23,418,260.40000000000003
Richaun Holmes,C,26,SAC,44,1242,344,0,0,344,118,358,42,41,56,539,287.44999999999993
Al Horford,C,33,PHI,67,2025,709,99,283,426,80,456,270,52,61,798,488.7
Danuel House,SF,26,HOU,63,1913,539,129,355,184,90,267,85,67,34,662,420.5999999999999
Dwight Howard,C,34,LAL,69,1306,277,3,5,272,214,507,45,31,79,517,314.875
Kevin Huerter,SG,21,ATL,56,1760,610,127,334,276,64,228,213,51,27,684,410.4
De'Andre Hunter,SF,22,ATL,63,2018,683,108,304,379,144,286,112,44,18,778,451.275
Serge Ibaka,C,30,TOR,55,1485,670,70,182,488,124,452,77,28,46,845,393.1
Ersan İlyasova,PF,32,MIL,63,986,313,50,137,176,87,302,49,24,17,414,243.57500000000002
Joe Ingles,SF,32,UTA,72,2137,553,141,353,200,94,278,373,65,11,707,483.625
Brandon Ingram,PF,22,NOP,62,2104,1096,150,384,712,368,380,259,61,38,1477,599.65
Wesley Iwundu,SF,25,ORL,52,953,233,28,82,151,97,131,60,25,13,300,201.925
Frank Jackson,PG,21,NOP,59,797,331,47,144,187,75,83,61,17,4,371,192.79999999999995
Jaren Jackson Jr.,C,20,MEM,57,1622,753,145,368,385,186,262,78,40,92,990,435.925
Justin Jackson,PF,24,DAL,65,1045,341,48,163,178,50,154,52,15,10,360,230.35000000000002
LeBron James,PG,35,LAL,67,2316,1303,148,425,878,381,525,684,78,36,1698,720.2249999999999
Cameron Johnson,PF,23,PHO,57,1255,405,106,272,133,57,187,69,36,20,504,292.90000000000003
Nikola Jokić,C,24,DEN,73,2336,1071,80,255,816,301,711,512,85,44,1456,671.275
Damian Jones,C,24,ATL,55,887,178,2,9,169,84,206,35,26,40,306,192.79999999999995
Derrick Jones Jr.,SF,22,MIA,59,1375,349,37,132,217,123,233,62,58,38,500,302.24999999999994
Tyus Jones,PG,23,MEM,65,1232,429,47,124,305,58,103,285,59,6,484,291.075
DeAndre Jordan,C,31,BRK,56,1234,287,0,0,287,122,561,105,18,52,465,301.8
Cory Joseph,PG,28,SAC,72,1759,412,56,159,253,70,188,251,53,21,458,363.62500000000006
Enes Kanter,C,27,BOS,58,983,348,1,7,341,99,431,56,22,41,469,254.82499999999996
Maxi Kleber,C,28,DAL,74,1890,514,119,319,195,93,388,88,25,83,672,429.29999999999995
Kevin Knox,SF,20,NYK,65,1166,401,65,199,202,101,184,61,23,28,419,266.925
Furkan Korkmaz,SG,22,PHI,72,1559,563,143,356,207,102,168,79,41,16,704,370.02500000000003
Kyle Korver,SF,38,MIL,58,960,293,99,237,56,41,122,68,26,12,386,227.1
Rodions Kurucs,PF,21,BRK,47,684,177,33,90,87,38,137,51,25,5,215,153.225
Kyle Kuzma,PF,24,LAL,61,1526,668,86,272,396,155,273,80,28,26,782,380.62500000000006
Jeremy Lamb,SG,27,IND,46,1291,479,53,158,321,110,200,96,55,22,577,304.775
Zach LaVine,SG,24,CHI,60,2085,1199,184,484,715,334,289,254,88,28,1530,606.275
Damion Lee,SG,27,GSW,49,1423,511,85,239,272,126,239,133,50,6,621,341.20000000000005
Alex Len,C,26,TOT,55,970,319,16,59,260,105,321,50,23,48,438,241.875
Kawhi Leonard,SF,28,LAC,57,1848,1133,123,325,808,402,402,280,103,33,1543,579.525
Meyers Leonard,C,27,MIA,51,1034,234,53,128,106,28,260,55,14,15,309,225.72500000000002
Caris LeVert,SG,25,BRK,45,1330,732,80,220,512,197,189,199,53,10,842,366.625
Damian Lillard,PG,29,POR,66,2474,1349,270,674,675,518,284,530,70,22,1978,759.9499999999999
Nassir Little,PF,19,POR,48,573,151,14,59,92,44,108,22,13,14,172,124.62500000000001
Brook Lopez,C,31,MIL,68,1817,671,102,325,346,152,312,99,46,163,813,446.52500000000003
Robin Lopez,C,31,MIL,66,958,299,35,105,194,53,161,45,10,45,357,216.15
Kevin Love,PF,31,CLE,56,1780,727,146,390,337,219,547,178,33,19,987,487.3
Kyle Lowry,PG,33,TOR,58,2098,803,164,466,337,343,292,433,82,26,1126,562.4
Timothé Luwawu-Cabarrot,SG,24,BRK,47,853,269,62,160,109,81,127,29,18,7,365,198.8
Trey Lyles,PF,24,SAS,63,1271,343,65,168,175,45,361,69,28,28,404,290.05000000000007
Thon Maker,C,22,DET,60,776,193,22,64,129,110,167,43,25,39,281,180.54999999999998
Terance Mann,SG,23,LAC,41,362,79,7,20,59,27,55,53,11,5,99,79.675
Boban Marjanović,C,31,DAL,44,422,211,4,17,194,57,197,20,8,10,289,125.3
Lauri Markkanen,PF,22,CHI,50,1492,591,109,317,274,153,313,74,42,23,737,375.59999999999997
Cody Martin,SF,24,CHO,48,903,207,18,77,130,65,158,95,39,9,238,192.02500000000003
Wesley Matthews,SG,33,MIL,67,1635,422,108,297,125,68,166,92,38,9,494,342.8
CJ McCollum,SG,28,POR,70,2556,1356,194,512,844,185,297,310,54,42,1556,676.1999999999999
T.J. McConnell,PG,27,IND,71,1326,411,5,17,394,42,189,355,56,11,464,306.1250000000001
Doug McDermott,PF,28,IND,69,1372,547,128,294,253,58,174,78,12,5,710,335.775
JaVale McGee,C,32,LAL,68,1130,306,3,6,300,82,390,37,36,94,446,270.05000000000007
Rodney McGruder,SG,28,LAC,56,871,181,24,89,92,34,151,36,26,8,187,174.27499999999998
Ben McLemore,SG,26,HOU,71,1619,545,181,452,93,67,157,58,45,16,715,381.6500000000001
Nicolò Melli,C,29,NOP,60,1042,323,69,206,117,73,180,82,34,23,395,246.15000000000003
De'Anthony Melton,PG,21,MEM,60,1167,401,40,140,261,121,220,175,77,20,455,285.175
Khris Middleton,SF,28,MIL,62,1853,947,147,354,593,227,382,265,53,7,1297,530.8750000000001
Patty Mills,PG,31,SAS,66,1485,598,154,403,195,112,108,118,53,6,767,370.12500000000006
Paul Millsap,PF,34,DEN,51,1240,438,54,124,314,141,293,83,44,30,591,306.02500000000003
Donovan Mitchell,SG,23,UTA,69,2364,1342,173,473,869,322,304,294,70,14,1655,661.9749999999999
Malik Monk,SG,21,CHO,55,1169,488,58,204,284,100,157,114,25,16,564,286
E'Twaun Moore,SG,30,NOP,56,1020,437,63,167,270,45,131,78,32,11,466,245.04999999999998
Ja Morant,PG,20,MEM,67,2074,937,60,179,758,308,259,488,58,18,1193,546.4250000000001
Marcus Morris,SF-PF,30,TOT,62,1936,810,142,348,462,220,311,86,47,30,1033,483.55
Marcus Morris,SF,30,NYK,43,1387,636,116,264,372,198,233,59,34,17,841,363.65000000000003
Markieff Morris,PF,30,TOT,58,1187,458,88,228,230,85,218,77,31,17,560,293.27500000000003
Markieff Morris,PF,30,DET,44,988,389,75,189,200,79,173,69,26,11,486,245.84999999999997
Monte Morris,PG,24,DEN,73,1636,566,65,172,394,89,137,255,55,17,660,373.875
Emmanuel Mudiay,PG,23,UTA,54,850,327,30,87,240,83,126,116,24,10,395,207.95
Dejounte Murray,PG,23,SAS,66,1687,637,41,111,526,114,383,271,111,17,720,416.52500000000003
Jamal Murray,PG,22,DEN,59,1904,894,112,324,570,185,236,284,67,17,1091,496.22499999999997
Mike Muscala,C,28,OKC,47,572,189,54,143,46,22,108,40,9,12,226,139.97500000000002
Sviatoslav Mykhailiuk,SF,22,DET,56,1265,405,115,285,120,70,104,106,41,4,504,290.525
Abdel Nader,SF,26,OKC,55,867,263,48,128,135,66,100,38,23,20,345,195.50000000000006
Larry Nance Jr.,C,27,CLE,56,1472,431,56,159,272,74,409,123,56,22,564,347.2000000000001
Shabazz Napier,PG,28,TOT,56,1344,456,76,240,216,153,158,262,69,11,578,332.85
Raul Neto,PG,27,PHI,54,668,222,34,88,134,47,61,95,24,6,275,157.6
Georges Niang,PF,26,UTA,66,923,322,90,225,97,24,127,44,18,5,392,219.77499999999998
Nerlens Noel,C,25,OKC,61,1127,269,1,3,266,106,300,57,59,91,449,263.1
Frank Ntilikina,PG,21,NYK,57,1187,333,44,137,196,59,121,172,54,16,357,258.35
Kendrick Nunn,SG,24,MIA,67,1962,914,137,391,523,100,180,220,56,15,1024,487.075
Royce O'Neale,PF,26,UTA,71,2049,365,92,244,121,55,389,180,59,32,450,418.3999999999999
Semi Ojeleye,PF,25,BOS,69,1011,196,48,127,69,32,145,37,21,5,236,201.95
Elie Okobo,PG,22,PHO,55,719,181,25,71,110,71,90,115,24,4,219,160.60000000000002
Josh Okogie,SG,21,MIN,62,1547,398,41,154,244,191,268,99,68,26,533,341.7750000000001
Kelly Olynyk,C,28,MIA,67,1300,398,95,234,164,100,305,116,45,23,549,320.775
Cedi Osman,SF,24,CLE,65,1910,609,123,321,288,94,231,154,54,16,718,427.675
Kelly Oubre Jr.,SF,24,PHO,56,1933,826,108,307,519,246,361,85,71,40,1046,488.6750000000001
Eric Paschall,PF,23,GSW,60,1654,640,37,129,511,212,275,127,32,13,837,395.4
Patrick Patterson,PF,30,LAC,59,776,233,67,172,61,43,151,41,7,3,292,182.87499999999997
Chris Paul,PG,34,OKC,70,2208,887,111,304,583,279,349,472,111,11,1232,586.8500000000001
Elfrid Payton,PG,25,NYK,45,1246,440,14,69,371,86,212,323,70,17,449,299.62499999999994
Mason Plumlee,C,29,DEN,61,1057,288,0,5,283,155,317,154,33,38,437,260.05000000000007
Jakob Poeltl,C,24,SAS,66,1171,266,0,0,266,86,375,116,37,95,372,271.725
Jordan Poole,SG,20,GSW,57,1274,502,74,265,237,119,118,134,35,10,503,298.075
Kevin Porter Jr.,SF,19,CLE,50,1162,421,53,158,263,101,162,109,46,14,498,273.70000000000005
Michael Porter Jr.,PF,21,DEN,55,903,383,62,147,236,72,259,46,27,25,512,242.94999999999996
Bobby Portis,C,24,NYK,66,1393,589,67,187,402,93,338,98,32,18,668,347.92499999999995
Kristaps Porziņģis,PF,24,DAL,57,1814,932,142,403,529,283,540,102,41,115,1164,525.1750000000001
Norman Powell,SG,26,TOR,52,1479,598,109,273,325,153,190,91,60,21,830,372.675
Taurean Prince,SF,25,BRK,64,1857,739,146,431,308,89,381,116,57,25,773,452.87500000000006
Julius Randle,PF,25,NYK,64,2080,1006,64,231,775,352,622,198,51,22,1248,567.95
Cam Reddish,SF,20,ATL,58,1551,554,83,250,304,126,216,87,62,28,610,356.22499999999997
J.J. Redick,SG,35,NOP,60,1581,631,180,397,234,185,151,119,20,10,917,405.47499999999997
Josh Richardson,SG,26,PHI,55,1693,646,85,249,397,141,174,162,52,36,755,396.7
Austin Rivers,SG,27,HOU,68,1594,501,96,270,231,111,175,113,49,10,596,355.75000000000006
Duncan Robinson,SG,25,MIA,73,2166,687,270,606,81,72,232,102,35,19,983,512.225
Glenn Robinson III,SF,26,TOT,62,1786,592,77,197,395,86,270,96,54,16,727,398.75000000000006
Glenn Robinson III,SF,26,GSW,48,1516,507,68,170,337,74,226,85,45,14,619,338.75
Jerome Robinson,SG,22,TOT,63,979,310,49,153,157,57,129,87,28,17,319,219.15
Jerome Robinson,SG,22,LAC,42,476,136,19,67,69,19,60,46,13,8,122,102.64999999999999
Mitchell Robinson,C,21,NYK,61,1412,341,0,0,341,148,428,36,52,119,590,331.075
Rajon Rondo,PG,33,LAL,48,984,328,41,125,203,41,142,240,40,2,342,234.4
Derrick Rose,PG,31,DET,50,1298,753,45,147,606,139,121,278,40,16,904,360.84999999999997
Terrence Ross,SG,28,ORL,69,1889,846,177,504,342,184,222,82,77,24,1016,481.24999999999994
Terry Rozier,PG,25,CHO,63,2164,941,172,423,518,190,276,259,61,10,1134,547.2750000000001
Ricky Rubio,PG,29,PHO,65,2016,692,78,216,476,226,304,570,94,11,847,507.225
D'Angelo Russell,PG,23,TOT,45,1452,846,158,431,415,199,177,285,48,13,1039,432.92500000000007
Domantas Sabonis,PF,23,IND,62,2159,848,17,67,781,296,771,310,47,30,1147,570.375
Dario Šarić,PF,25,PHO,66,1632,538,84,235,303,128,406,123,37,16,704,394.29999999999995
Tomáš Satoranský,PG,28,CHI,65,1878,551,64,199,352,121,254,354,80,7,644,426.72499999999997
Dennis Schröder,PG,26,OKC,65,1999,965,125,325,640,236,236,262,45,14,1229,525.4
Mike Scott,PF,31,PHI,68,1207,350,80,217,133,37,248,56,21,5,408,271.375
Thabo Sefolosha,PF,35,HOU,41,436,91,15,54,37,8,93,25,24,12,92,93.37500000000001
Collin Sexton,SG,21,CLE,65,2143,1086,97,255,831,267,204,192,65,7,1349,547.8000000000001
