Player,Pos,Age,Tm,G2018,MP,FGA,3P,3PA,FTA,TRB,STL,BLK,PTS,puntASTFV
Steven Adams,C,25,OKC,80,2669,809,0,2,292,760,117,76,1108,359.28
Bam Adebayo,C,21,MIA,82,1913,486,3,15,226,597,71,65,729,250.3
LaMarcus Aldridge,C,33,SAS,81,2687,1319,10,42,412,744,43,107,1727,490.6
Jarrett Allen,C,20,BRK,80,2096,568,6,45,278,672,43,120,873,294.32
Al-Farouq Aminu,PF,28,POR,81,2292,593,96,280,173,610,68,33,760,290.9
Giannis Antetokounmpo,PF,24,MIL,72,2358,1247,52,203,686,898,92,110,1994,572.88
OG Anunoby,SF,21,TOR,67,1352,404,67,202,62,197,46,22,469,163.8
Ryan Arcidiacono,PG,24,CHI,81,1961,418,81,217,102,219,65,4,544,183.38
Trevor Ariza,SF,33,TOT,69,2349,736,145,434,164,371,91,21,863,305.9
D.J. Augustin,PG,31,ORL,81,2269,677,131,311,209,203,52,4,948,274.8
Deandre Ayton,C,20,PHO,71,2183,870,0,4,189,729,61,67,1159,354.08
Marvin Bagley III,PF,19,SAC,62,1567,706,30,96,262,471,33,59,923,285.05
Harrison Barnes,PF-SF,26,TOT,77,2533,1027,174,441,278,361,50,13,1265,388.32
Nicolas Batum,SF,30,CHO,75,2354,562,116,298,89,390,71,43,699,253.5
Aron Baynes,C,32,BOS,51,821,223,21,61,62,240,12,34,284,107.67
Kent Bazemore,SG,29,ATL,67,1643,691,96,300,175,261,89,42,779,263.75
Bradley Beal,SG,25,WAS,82,3028,1609,209,596,448,411,121,58,2099,596.4
Malik Beasley,SG,22,DEN,81,1879,737,163,405,66,200,55,10,917,281.58
Marco Belinelli,SG,32,SAS,79,1815,690,147,395,124,198,35,8,829,262.88
Jordan Bell,C,24,GSW,68,788,192,0,2,41,184,20,51,223,86.25
DeAndre' Bembry,SG,24,ATL,82,1931,616,50,173,136,358,105,41,687,242.65
Dāvis Bertāns,PF,26,SAS,76,1632,453,145,338,60,264,35,33,606,214.72
Patrick Beverley,PG,30,LAC,78,2137,477,112,282,123,388,67,43,596,231.6
Bismack Biyombo,C,26,CHO,54,783,156,0,0,91,247,11,41,236,91.08
Nemanja Bjelica,PF,30,SAC,77,1788,593,103,257,92,444,54,56,741,263.7
Antonio Blakeney,SG,22,CHI,57,829,396,36,91,76,106,12,9,418,127.12
Eric Bledsoe,PG,29,MIL,78,2272,971,124,377,236,362,116,29,1241,377.03
Bogdan Bogdanović,SG,26,SAC,70,1947,863,134,372,162,243,72,15,990,309.3
Bojan Bogdanović,SF,29,IND,81,2573,1051,164,386,305,333,69,1,1454,408
Devin Booker,SG,22,PHO,64,2242,1255,135,414,454,265,56,13,1700,455.18
Avery Bradley,SG,28,TOT,63,1905,608,86,245,50,175,41,16,625,204.28
Mikal Bridges,SF,22,PHO,82,2417,563,105,313,118,264,129,38,684,244.33
Miles Bridges,SF,20,CHO,80,1696,511,65,200,77,323,55,49,597,212.07
Malcolm Brogdon,SG,26,MIL,64,1832,748,104,244,152,288,46,13,1001,287
Bruce Brown,SG,22,DET,74,1449,314,24,93,60,185,40,36,319,122.42
Jaylen Brown,SG,22,BOS,74,1913,792,95,276,202,313,69,32,964,299.68
Sterling Brown,SG,23,MIL,58,1034,312,53,147,42,184,25,8,372,128.93
Troy Brown Jr.,SF,19,WAS,52,730,234,22,69,47,145,21,5,248,89.95
Jalen Brunson,PG,22,DAL,73,1591,565,63,181,120,169,37,4,678,200.43
Thomas Bryant,C,21,WAS,72,1496,502,33,99,137,454,25,67,758,237
Reggie Bullock,SG,27,TOT,63,1879,594,148,393,85,173,40,12,711,233.35
Trey Burke,PG,26,TOT,58,1125,548,56,159,124,99,33,7,631,180.52
Alec Burks,SG,27,TOT,64,1375,474,61,168,141,235,39,21,561,186.48
Jimmy Butler,SF-SG,29,TOT,65,2185,904,67,193,365,342,123,39,1215,351.25
Kentavious Caldwell-Pope,SG,25,LAL,82,2035,756,151,435,158,238,73,13,938,298.9
Clint Capela,C,24,HOU,67,2249,732,0,0,261,848,44,102,1114,354.78
DeMarre Carroll,PF,32,BRK,67,1703,575,106,310,242,349,31,10,744,252.88
Vince Carter,PF,42,ATL,76,1330,468,123,316,66,194,44,27,562,198.25
Willie Cauley-Stein,C,25,SAC,81,2213,741,1,2,254,678,96,51,965,316.9
Tyson Chandler,C,36,TOT,55,875,99,0,1,87,307,21,23,173,83.95
Wilson Chandler,PF-SF,31,TOT,51,1177,273,59,158,25,215,25,21,305,122.35
Gary Clark,PF,24,HOU,51,641,151,41,138,7,116,20,26,148,73.5
Ian Clark,SG,27,NOP,60,973,383,66,202,37,89,22,8,401,133.05
Jordan Clarkson,SG,26,CLE,81,2214,1180,144,445,192,270,57,13,1364,398.05
John Collins,PF,21,ATL,61,1829,831,55,158,266,595,22,39,1188,350.2
Zach Collins,C,21,POR,77,1356,400,40,121,126,324,25,66,512,182.03
Darren Collison,PG,31,IND,76,2143,659,79,194,190,232,110,9,853,256.02
Mike Conley,PG,31,MEM,70,2342,1120,155,426,406,239,94,22,1478,418
Pat Connaughton,SG,26,MIL,61,1261,350,66,200,40,258,33,25,421,156.95
Quinn Cook,PG,25,GSW,74,1059,439,81,200,26,157,20,3,509,162
Torrey Craig,SF,28,DEN,75,1503,362,61,188,70,263,37,46,430,164.05
Jamal Crawford,SG,38,PHO,64,1211,438,67,202,110,85,33,12,508,157.38
Jae Crowder,SF,28,UTA,80,2166,797,173,522,197,384,64,31,951,335.08
Dante Cunningham,PF,31,SAS,64,928,158,30,65,18,188,27,13,194,82.88
Seth Curry,SG,28,POR,74,1399,465,113,251,52,120,36,12,581,181.22
Stephen Curry,PG,30,GSW,69,2331,1340,354,810,287,369,92,25,1881,554.4
Troy Daniels,SG,27,PHO,51,760,275,74,194,23,73,26,5,318,109.03
Anthony Davis,C,25,NOP,56,1850,1026,48,145,433,672,88,135,1452,438.7
Ed Davis,C,29,BRK,81,1446,302,0,2,162,694,35,33,472,198.78
Dewayne Dedmon,C,29,ATL,64,1609,526,83,217,113,480,69,71,693,253.83
DeMar DeRozan,SG,29,SAS,77,2688,1313,7,45,441,462,86,36,1635,440.75
Cheick Diallo,PF,22,NOP,64,896,271,1,4,67,332,29,33,387,133.3
Hamidou Diallo,SG,20,OKC,51,526,165,4,24,59,97,21,10,190,65.33
Gorgui Dieng,C,29,MIN,76,1031,377,19,56,106,311,48,41,485,165.9
Spencer Dinwiddie,PG,25,BRK,68,1914,828,124,370,356,166,40,17,1143,319.7
Luka Dončić,SG,19,DAL,72,2318,1186,168,514,485,563,77,25,1526,481.68
Damyean Dotson,SG,24,NYK,73,2004,698,126,342,98,262,58,10,779,260.2
Andre Drummond,C,25,DET,79,2647,1052,5,38,412,1232,136,138,1370,494.7
Jared Dudley,PF,33,BRK,59,1220,239,53,151,46,155,36,16,287,110.33
Kevin Durant,SF,30,GSW,78,2702,1383,137,388,506,497,58,84,2027,548.92
Wayne Ellington,SG,31,TOT,53,1297,457,138,372,49,107,54,6,545,186.27
Joel Embiid,C,24,PHI,64,2154,1199,79,263,649,871,46,122,1761,536.75
James Ennis,SF,28,TOT,58,1230,294,55,156,81,182,41,23,389,135.75
Tyreke Evans,SG,29,IND,69,1402,660,77,216,160,201,58,18,706,227.88
Derrick Favors,C,27,UTA,76,1766,619,17,78,228,560,56,106,897,289.35
Cristiano Felício,C,26,CHI,60,746,179,0,4,73,218,11,7,240,85.85
Terrance Ferguson,SG,20,OKC,74,1931,431,106,290,51,141,40,16,513,174.95
Yogi Ferrell,PG,25,SAC,71,1067,352,54,149,67,109,36,4,420,132.92
Dorian Finney-Smith,SF,25,DAL,81,1985,528,79,254,103,389,69,36,608,230.7
Bryn Forbes,SG,25,SAS,82,2293,791,176,413,78,239,45,4,967,299
Evan Fournier,SG,26,ORL,81,2553,1069,153,450,170,258,71,12,1226,370.22
De'Aaron Fox,PG,21,SAC,81,2546,1102,86,232,417,304,133,45,1399,400.4
Tim Frazier,PG,28,TOT,59,1120,261,37,101,54,168,30,5,310,109.55
Danilo Gallinari,SF,30,LAC,68,2059,884,161,372,406,417,49,23,1346,391.2
Langston Galloway,SG,27,DET,80,1745,587,135,380,96,171,37,8,672,225.88
Marc Gasol,C,34,TOT,79,2436,870,99,273,253,627,84,86,1071,371.92
Rudy Gay,PF,32,SAS,69,1842,746,74,184,147,470,54,34,946,298.18
Paul George,SF,28,OKC,77,2841,1614,292,757,540,628,170,34,2159,661.32
Taj Gibson,PF,33,MIN,70,1686,537,11,34,177,458,53,39,753,234.6
Harry Giles,PF,20,SAC,58,820,348,0,6,91,222,31,22,408,129.52
Shai Gilgeous-Alexander,PG,20,LAC,82,2174,716,51,139,195,232,96,45,889,262.05
Rudy Gobert,C,26,UTA,81,2577,712,0,0,522,1041,66,187,1284,425.62
Aaron Gordon,PF,23,ORL,78,2633,1046,121,347,253,574,57,56,1246,405.88
Eric Gordon,SG,30,HOU,68,2158,938,216,600,152,148,41,27,1103,343.38
Jerami Grant,PF,24,OKC,80,2612,823,115,293,221,417,61,100,1090,344.2
Jerian Grant,PG,26,ORL,60,939,220,40,110,40,98,44,6,250,91.5
Danny Green,SG,31,TOR,80,2216,630,198,435,44,317,73,53,821,286.58
Draymond Green,PF,28,GSW,66,2065,422,47,165,91,481,95,70,486,211.45
Gerald Green,SG,33,HOU,73,1473,578,156,441,68,182,33,27,675,233.88
JaMychal Green,PF,28,TOT,65,1371,476,71,176,101,409,45,34,611,216.98
Jeff Green,PF,32,WAS,77,2097,687,111,320,206,309,43,39,946,289.78
Blake Griffin,PF,29,DET,75,2622,1341,189,522,550,565,52,28,1841,540.75
Tim Hardaway Jr.,SG,26,TOT,65,2057,993,162,477,276,222,54,8,1174,356.25
James Harden,PG,29,HOU,78,2867,1909,378,1028,858,518,158,58,2818,808
Maurice Harkless,SF,25,POR,60,1415,388,33,120,73,269,67,53,460,166.2
Montrezl Harrell,C,25,LAC,82,2158,888,3,17,414,535,71,110,1361,376.92
Devin Harris,PG,35,DAL,68,1071,347,62,200,134,112,35,16,428,143.12
Gary Harris,SG,24,DEN,57,1639,637,82,242,144,160,55,19,737,224.95
Joe Harris,SG,27,BRK,76,2293,748,183,386,133,291,38,17,1041,312.35
Tobias Harris,PF,26,TOT,82,2847,1254,156,393,307,645,51,37,1644,493
Shaquille Harrison,SG,25,CHI,73,1430,426,24,89,123,222,89,30,474,165.78
Josh Hart,SG,23,LAL,67,1715,464,92,274,80,248,64,40,525,197.1
Gordon Hayward,PF,28,BOS,72,1863,635,77,231,187,322,62,23,825,259.2
Juan Hernangómez,PF,23,DEN,70,1358,314,66,181,86,265,27,24,408,153.28
Willy Hernangómez,C,24,CHO,58,812,295,15,39,144,311,16,20,421,141.85
Mario Hezonja,SF,23,NYK,58,1206,464,42,152,114,239,57,8,511,174.98
Buddy Hield,SG,26,SAC,82,2615,1360,278,651,193,412,58,33,1695,510.12
George Hill,PG,32,TOT,60,1302,376,48,153,85,148,52,8,458,147.07
Jrue Holiday,SG,28,NOP,67,2402,1159,118,363,271,334,109,54,1420,416.08
Justin Holiday,SG,29,TOT,82,2607,777,162,465,106,323,121,36,857,311.4
Rondae Hollis-Jefferson,SF,24,BRK,59,1234,487,9,49,183,310,44,27,527,180.58
Richaun Holmes,C,25,PHO,70,1184,365,0,0,175,331,42,79,572,178.5
Rodney Hood,SG,26,TOT,72,1893,671,84,236,155,157,59,12,805,237.58
Al Horford,C,32,BOS,68,1973,723,73,203,95,458,59,86,925,297.5
Kevin Huerter,SG,20,ATL,75,2048,657,136,353,56,245,65,25,727,250.35
Serge Ibaka,C,29,TOR,74,2010,877,49,169,177,601,29,103,1112,351.53
Andre Iguodala,SF,35,GSW,68,1578,302,48,144,67,252,61,51,389,149.58
Ersan İlyasova,PF,31,MIL,67,1231,381,58,160,74,302,32,20,453,166.95
Joe Ingles,PF,31,UTA,82,2568,802,189,483,123,330,98,20,994,332.6
Brandon Ingram,SF,21,LAL,52,1760,729,31,94,289,267,28,31,950,261.68
Kyrie Irving,PG,26,BOS,67,2214,1241,174,434,245,335,103,34,1596,454.18
Jonathan Isaac,PF,21,ORL,75,1996,611,86,266,135,411,59,98,720,265.17
Wesley Iwundu,SF,24,ORL,68,1233,274,29,79,103,184,28,22,339,118.83
Frank Jackson,PG,20,NOP,61,1169,447,53,169,73,134,25,2,495,154.22
Jaren Jackson Jr.,PF,19,MEM,58,1515,589,51,142,197,272,52,82,798,240.62
Josh Jackson,SG,21,PHO,79,1988,841,73,225,213,347,74,56,910,300.05
