Player,Pos,Age,Tm,G2018,MP,zAge,zGPlayed,zMP,zFGA,z3PA,zFTA,zTRB,zSTL,zBLK,zPTS,puntASTFV
Rodney Hood,SG,26,TOT,72,1893,0.02,0.87,0.92,0.68,0.55,0.39,-0.26,0.73,-0.38,0.59,237.58
Al Horford,C,32,BOS,68,1973,1.46,0.72,1.02,0.82,0.34,-0.1,1.25,0.73,2.17,0.83,297.5
Kevin Huerter,SG,20,ATL,75,2048,-1.41,0.99,1.1,0.64,1.28,-0.42,0.18,0.92,0.07,0.43,250.35
Serge Ibaka,C,29,TOR,74,2010,0.74,0.95,1.06,1.23,0.13,0.57,1.97,-0.2,2.76,1.21,351.53
Andre Iguodala,SF,35,GSW,68,1578,2.17,0.72,0.54,-0.3,-0.03,-0.33,0.21,0.79,0.97,-0.26,149.58
Ersan İlyasova,PF,31,MIL,67,1231,1.22,0.68,0.13,-0.09,0.07,-0.27,0.46,-0.11,-0.1,-0.13,166.95
Joe Ingles,PF,31,UTA,82,2568,1.22,1.26,1.72,1.03,2.1,0.13,0.61,1.95,-0.1,0.97,332.6
Brandon Ingram,SF,21,LAL,52,1760,-1.17,0.11,0.76,0.84,-0.34,1.48,0.29,-0.23,0.28,0.88,261.68
Kyrie Irving,PG,26,BOS,67,2214,0.02,0.68,1.3,2.19,1.79,1.12,0.63,2.1,0.38,2.2,454.18
Jonathan Isaac,PF,21,ORL,75,1996,-1.17,0.99,1.04,0.52,0.74,0.23,1.01,0.73,2.59,0.42,265.17
Wesley Iwundu,SF,24,ORL,68,1233,-0.45,0.72,0.13,-0.37,-0.44,-0.03,-0.13,-0.23,-0.03,-0.36,118.83
Frank Jackson,PG,20,NOP,61,1169,-1.41,0.45,0.06,0.09,0.13,-0.28,-0.38,-0.32,-0.72,-0.04,154.22
Jaren Jackson Jr.,PF,19,MEM,58,1515,-1.65,0.34,0.47,0.46,-0.04,0.73,0.31,0.52,2.04,0.57,240.62
Josh Jackson,SG,21,PHO,79,1988,-1.17,1.14,1.03,1.13,0.48,0.86,0.69,1.2,1.14,0.8,300.05
Justin Jackson,SF,23,TOT,81,1614,-0.69,1.22,0.59,0.19,0.6,-0.23,0.01,-0.11,-0.31,0.14,192.9
Reggie Jackson,PG,28,DET,82,2289,0.5,1.26,1.39,1.68,2.02,1.05,0.03,0.61,-0.48,1.52,372.22
LeBron James,SF,34,LAL,55,1937,1.93,0.22,0.97,1.81,1.12,2.53,1.28,1.14,0.35,2.02,432.3
Jonas Jerebko,PF,31,GSW,73,1218,1.22,0.91,0.11,-0.16,0.25,-0.22,0.39,-0.26,-0.17,-0.12,166.7
