Player,Pos,Age,Tm,G2018,MP,zAge,zGPlayed,zMP,zFGA,z3PA,zFTA,zTRB,zAST,zSTL,zBLK,zPTS,puntPctFV
Steven Adams,C,25,OKC,80,2669,-0.21,1.18,1.85,1.05,-0.92,1.51,2.77,0.08,2.54,1.83,1.21,367.42
Bam Adebayo,C,21,MIA,82,1913,-1.17,1.26,0.94,0.19,-0.84,0.97,1.95,0.54,1.11,1.45,0.43,267.28
LaMarcus Aldridge,C,33,SAS,81,2687,1.7,1.22,1.87,2.4,-0.67,2.48,2.69,0.62,0.24,2.9,2.47,503.5
Jarrett Allen,C,20,BRK,80,2096,-1.41,1.18,1.16,0.41,-0.65,1.39,2.33,-0.03,0.24,3.35,0.73,300
Al-Farouq Aminu,PF,28,POR,81,2292,0.5,1.22,1.4,0.47,0.82,0.54,2.01,-0.08,1.01,0.35,0.5,292.58
Giannis Antetokounmpo,PF,24,MIL,72,2358,-0.45,0.87,1.47,2.21,0.34,4.72,3.46,2.41,1.76,3,3.01,603.65
OG Anunoby,SF,21,TOR,67,1352,-1.17,0.68,0.27,-0.03,0.33,-0.37,-0.06,-0.52,0.33,-0.03,-0.1,163.08
Ryan Arcidiacono,PG,24,CHI,81,1961,-0.45,1.22,1,0.01,0.43,-0.04,0.05,1.2,0.92,-0.66,0.06,209.02
Trevor Ariza,SF,33,TOT,69,2349,1.7,0.76,1.46,0.85,1.79,0.46,0.81,1.07,1.73,-0.07,0.71,322.45
D.J. Augustin,PG,31,ORL,81,2269,1.22,1.22,1.37,0.7,1.02,0.83,-0.03,2.42,0.52,-0.66,0.88,315.05
Deandre Ayton,C,20,PHO,71,2183,-1.41,0.84,1.27,1.21,-0.91,0.67,2.61,0.08,0.79,1.52,1.31,364.88
Marvin Bagley III,PF,19,SAC,62,1567,-1.65,0.49,0.53,0.77,-0.33,1.26,1.31,-0.4,-0.08,1.24,0.83,283.85
Harrison Barnes,PF-SF,26,TOT,77,2533,0.02,1.07,1.68,1.63,1.83,1.39,0.76,0.01,0.45,-0.34,1.53,384.72
Nicolas Batum,SF,30,CHO,75,2354,0.98,0.99,1.47,0.39,0.94,-0.15,0.91,1.03,1.11,0.69,0.37,274.7
Aron Baynes,C,32,BOS,51,821,1.46,0.07,-0.36,-0.51,-0.55,-0.37,0.15,-0.44,-0.73,0.38,-0.47,111.72
Kent Bazemore,SG,29,ATL,67,1643,0.74,0.68,0.62,0.73,0.95,0.55,0.26,0.29,1.67,0.66,0.54,270.88
Bradley Beal,SG,25,WAS,82,3028,-0.21,1.26,2.27,3.17,2.8,2.78,1.01,2.59,2.66,1.21,3.23,626.3
Malik Beasley,SG,22,DEN,81,1879,-0.93,1.22,0.9,0.86,1.61,-0.33,-0.05,-0.13,0.61,-0.45,0.82,281.92
Marco Belinelli,SG,32,SAS,79,1815,1.46,1.14,0.83,0.73,1.54,0.14,-0.06,0.14,-0.01,-0.52,0.64,266.4
Jordan Bell,C,24,GSW,68,788,-0.45,0.72,-0.4,-0.59,-0.92,-0.54,-0.13,-0.3,-0.48,0.97,-0.6,94.68
DeAndre' Bembry,SG,24,ATL,82,1931,-0.45,1.26,0.97,0.54,0.15,0.24,0.75,0.68,2.16,0.62,0.35,260.17
Dāvis Bertāns,PF,26,SAS,76,1632,0.02,1.03,0.61,0.1,1.19,-0.38,0.27,-0.11,-0.01,0.35,0.18,217.28
Patrick Beverley,PG,30,LAC,78,2137,0.98,1.1,1.21,0.17,0.84,0.13,0.9,1.44,0.98,0.69,0.16,258.98
Bismack Biyombo,C,26,CHO,54,783,0.02,0.18,-0.4,-0.68,-0.93,-0.13,0.19,-0.63,-0.76,0.62,-0.57,92.93
Nemanja Bjelica,PF,30,SAC,77,1788,0.98,1.07,0.79,0.47,0.68,-0.12,1.18,0.26,0.58,1.14,0.46,273.35
Antonio Blakeney,SG,22,CHI,57,829,-0.93,0.3,-0.35,-0.05,-0.36,-0.25,-0.52,-0.56,-0.73,-0.48,-0.2,128.2
Eric Bledsoe,PG,29,MIL,78,2272,0.74,1.1,1.37,1.48,1.43,1.05,0.77,2.45,2.51,0.21,1.48,415.45
Bogdan Bogdanović,SG,26,SAC,70,1947,0.02,0.8,0.98,1.19,1.4,0.45,0.17,1.19,1.14,-0.28,0.97,329.32
Bojan Bogdanović,SF,29,IND,81,2573,0.74,1.22,1.73,1.69,1.49,1.61,0.62,0.36,1.04,-0.76,1.91,410.85
Devin Booker,SG,22,PHO,64,2242,-0.93,0.57,1.34,2.23,1.66,2.83,0.28,2.48,0.64,-0.34,2.41,487.6
Avery Bradley,SG,28,TOT,63,1905,0.5,0.53,0.93,0.51,0.6,-0.47,-0.17,0.29,0.17,-0.24,0.22,215.9
Mikal Bridges,SF,22,PHO,82,2417,-0.93,1.26,1.54,0.4,1.03,0.09,0.27,0.46,2.91,0.52,0.34,255.18
Miles Bridges,SF,20,CHO,80,1696,-1.41,1.18,0.68,0.26,0.32,-0.25,0.57,-0.15,0.61,0.9,0.16,217.02
Malcolm Brogdon,SG,26,MIL,64,1832,0.02,0.57,0.85,0.89,0.6,0.37,0.39,0.71,0.33,-0.34,0.99,302.72
Bruce Brown,SG,22,DET,74,1449,-0.93,0.95,0.39,-0.27,-0.35,-0.38,-0.12,-0.18,0.14,0.45,-0.4,129.98
Jaylen Brown,SG,22,BOS,74,1913,-0.93,0.95,0.94,1,0.8,0.77,0.52,-0.11,1.04,0.31,0.91,300.22
Sterling Brown,SG,23,MIL,58,1034,-0.69,0.34,-0.1,-0.27,-0.01,-0.53,-0.13,-0.23,-0.32,-0.52,-0.29,134.7
Troy Brown Jr.,SF,19,WAS,52,730,-1.65,0.11,-0.47,-0.48,-0.5,-0.49,-0.33,-0.27,-0.45,-0.62,-0.55,97.05
Jalen Brunson,PG,22,DAL,73,1591,-0.93,0.91,0.56,0.4,0.2,0.11,-0.2,0.9,0.05,-0.66,0.33,221.65
Thomas Bryant,C,21,WAS,72,1496,-1.17,0.87,0.45,0.23,-0.31,0.24,1.23,-0.17,-0.32,1.52,0.49,242.6
Reggie Bullock,SG,27,TOT,63,1879,0.26,0.53,0.9,0.48,1.53,-0.18,-0.18,0.12,0.14,-0.38,0.4,237.52
Trey Burke,PG,26,TOT,58,1125,0.02,0.34,0,0.36,0.07,0.14,-0.56,0.35,-0.08,-0.55,0.23,193.33
Alec Burks,SG,27,TOT,64,1375,0.26,0.57,0.3,0.16,0.12,0.28,0.13,0.11,0.11,-0.07,0.09,194.75
Jimmy Butler,SF-SG,29,TOT,65,2185,0.74,0.6,1.27,1.3,0.28,2.1,0.67,1.16,2.72,0.55,1.42,370.18
Kentavious Caldwell-Pope,SG,25,LAL,82,2035,-0.21,1.26,1.09,0.91,1.79,0.41,0.14,-0.03,1.17,-0.34,0.86,297.82
Clint Capela,C,24,HOU,67,2249,-0.45,0.68,1.34,0.84,-0.93,1.25,3.21,-0.14,0.27,2.73,1.22,360.25
DeMarre Carroll,PF,32,BRK,67,1703,1.46,0.68,0.69,0.43,1.01,1.1,0.7,-0.23,-0.14,-0.45,0.46,249.7
Vince Carter,PF,42,ATL,76,1330,3.84,1.03,0.25,0.14,1.05,-0.33,-0.08,-0.21,0.27,0.14,0.09,199.58
Willie Cauley-Stein,C,25,SAC,81,2213,-0.21,1.22,1.3,0.87,-0.92,1.2,2.36,0.62,1.88,0.97,0.92,334.75
Tyson Chandler,C,36,TOT,55,875,2.41,0.22,-0.29,-0.84,-0.92,-0.16,0.49,-0.6,-0.45,0,-0.7,86.37
Wilson Chandler,PF-SF,31,TOT,51,1177,1.22,0.07,0.07,-0.37,0.06,-0.67,0.03,-0.25,-0.32,-0.07,-0.43,128.02
Gary Clark,PF,24,HOU,51,641,-0.45,0.07,-0.57,-0.7,-0.07,-0.82,-0.47,-0.75,-0.48,0.1,-0.75,72.12
Ian Clark,SG,27,NOP,60,973,0.26,0.41,-0.18,-0.08,0.33,-0.57,-0.61,-0.16,-0.42,-0.52,-0.23,138.83
Jordan Clarkson,SG,26,CLE,81,2214,0.02,1.22,1.3,2.03,1.86,0.69,0.3,0.64,0.67,-0.34,1.73,406.62
