Player,Pos,Age,Tm,G2018,MP,FGA,3P,3PA,FTA,TRB,AST,STL,BLK,PTS,puntPctFV
Álex Abrines,SG,25,OKC,31,588,157,41,127,13,48,20,17,6,165,60.8
Quincy Acy,PF,28,PHO,10,123,18,2,15,10,25,8,1,4,17,10.62
Jaylen Adams,PG,22,ATL,34,428,110,25,74,9,60,65,14,5,108,51.48
Steven Adams,C,25,OKC,80,2669,809,0,2,292,760,124,117,76,1108,367.42
Bam Adebayo,C,21,MIA,82,1913,486,3,15,226,597,184,71,65,729,267.2
Deng Adel,SF,21,CLE,19,194,36,6,23,4,19,5,1,4,32,14.5
DeVaughn Akoon-Purcell,SG,25,DEN,7,22,10,0,4,2,4,6,2,0,7,4.15
LaMarcus Aldridge,C,33,SAS,81,2687,1319,10,42,412,744,194,43,107,1727,503.25
Rawle Alkins,SG,21,CHI,10,120,39,3,12,12,26,13,1,0,37,15.48
Grayson Allen,SG,23,UTA,38,416,178,32,99,60,23,25,6,6,211,64.18
Jarrett Allen,C,20,BRK,80,2096,568,6,45,278,672,110,43,120,873,299.85
Kadeem Allen,SG,26,NYK,19,416,141,17,36,54,51,76,16,4,189,62.38
Al-Farouq Aminu,PF,28,POR,81,2292,593,96,280,173,610,104,68,33,760,290.18
Justin Anderson,SF,25,ATL,48,463,157,24,77,35,84,23,22,13,178,66.42
Kyle Anderson,SF,25,MEM,43,1281,276,9,34,64,251,128,54,37,346,137.02
Ryan Anderson,PF,30,TOT,25,322,69,9,40,16,54,19,4,1,63,29.7
Ike Anigbogu,C,20,IND,3,6,3,0,0,0,3,1,0,1,0,1.15
Giannis Antetokounmpo,PF,24,MIL,72,2358,1247,52,203,686,898,424,92,110,1994,602.35
Kostas Antetokounmpo,PF,21,DAL,2,11,3,0,0,4,1,0,2,0,2,1.18
Carmelo Anthony,PF,34,HOU,10,294,121,21,64,22,54,5,4,7,134,44.2
OG Anunoby,SF,21,TOR,67,1352,404,67,202,62,197,47,46,22,469,161.4
