Player,Pos,Age,Tm,G2018,MP,FGA,3P,3PA,FTA,TRB,AST,STL,BLK,PTS,puntPctFV
Stanley Johnson,SF,22,TOT,66,1208,440,62,215,64,217,88,60,14,454,173.17
Tyler Johnson,PG,26,TOT,57,1529,526,90,260,127,173,166,54,27,619,214.18
Nikola Jokić,C,23,DEN,80,2504,1206,83,270,352,865,580,108,55,1604,560.78
Derrick Jones Jr.,SF,21,MIA,60,1153,324,28,91,122,240,37,46,42,422,146.38
Tyus Jones,PG,22,MIN,68,1560,446,40,126,69,134,327,81,5,468,189.6
DeAndre Jordan,C,30,TOT,69,2047,446,0,0,264,902,156,42,73,758,297.75
Cory Joseph,PG,27,IND,82,2063,548,55,171,43,279,321,94,22,537,234.07
Enes Kanter,C,26,TOT,67,1640,683,10,34,197,659,116,32,26,915,299.7
Luke Kennard,SG,22,DET,63,1437,520,106,269,61,183,114,26,10,613,203.2
Michael Kidd-Gilchrist,PF,25,CHO,64,1179,332,16,47,123,246,61,32,39,427,146.05
Maxi Kleber,PF,27,DAL,71,1502,386,77,218,74,329,70,36,78,485,191.05
Kevin Knox,PF,19,NYK,75,2158,914,125,364,226,335,82,43,24,963,317.38
Kyle Korver,SG-PF,37,TOT,70,1334,483,138,348,73,162,81,25,12,600,200.02
Rodions Kurucs,SF,20,BRK,63,1294,449,58,184,92,246,52,41,25,534,180.62
Kyle Kuzma,PF,23,LAL,70,2314,1087,128,422,250,382,178,41,26,1308,399.17
Jeremy Lamb,SG,26,CHO,79,2250,979,115,330,260,434,172,88,32,1208,382.95
Zach LaVine,SG,23,CHI,63,2171,1135,120,321,375,294,283,60,26,1492,428.02
Jake Layman,SF,24,POR,71,1327,424,59,181,71,217,53,31,30,541,174.93
T.J. Leaf,PF,21,IND,58,522,183,8,31,31,125,24,9,19,225,76.22
Alex Len,C,25,ATL,77,1544,648,74,204,216,424,86,27,69,854,277.92
Kawhi Leonard,SF,27,TOR,60,2040,1129,112,302,426,439,199,106,24,1596,452.65
Meyers Leonard,C,26,POR,61,878,242,50,111,51,233,75,13,9,357,127.73
Damian Lillard,PG,28,POR,80,2838,1533,237,643,513,371,551,88,34,2067,622.78
Jeremy Lin,PG,30,TOT,74,1436,541,55,187,210,179,231,47,13,707,228.25
Shaun Livingston,PG,33,GSW,64,967,210,0,2,51,117,114,31,27,258,95.55
Kevon Looney,C,22,GSW,80,1481,347,1,10,105,417,123,46,53,500,186.32
Brook Lopez,C,30,MIL,81,2322,786,187,512,133,396,98,51,179,1009,353.6
Robin Lopez,C,30,CHI,74,1606,535,7,31,123,286,89,11,78,704,210.55
Kyle Lowry,PG,32,TOR,65,2213,739,157,453,194,312,564,91,31,926,366.4
Trey Lyles,PF,23,DEN,64,1120,495,51,200,116,246,87,30,23,546,190.08
Shelvin Mack,PG,28,TOT,57,1246,403,46,130,84,104,183,47,4,430,154.92
Thon Maker,C-PF,21,TOT,64,972,268,49,153,84,202,45,21,51,323,127.72
Boban Marjanović,C,30,TOT,58,681,260,4,10,131,265,54,16,27,422,132.62
