Player,Pos,Age,Tm,G2018,MP,FGA,3P,3PA,FTA,TRB,STL,BLK,PTS,puntASTFV
Aron Baynes,C,32,BOS,51,821,223,21,61,62,240,12,34,284,114.82
Kent Bazemore,SG,29,ATL,67,1643,691,96,300,175,261,89,42,779,273.55
Bradley Beal,SG,25,WAS,82,3028,1609,209,596,448,411,121,58,2099,611.15
Malik Beasley,SG,22,DEN,81,1879,737,163,405,66,200,55,10,917,288.2
Michael Beasley,PF,30,LAL,26,277,153,3,17,39,60,9,10,181,55.33
Marco Belinelli,SG,32,SAS,79,1815,690,147,395,124,198,35,8,829,268.9
Jordan Bell,C,24,GSW,68,788,192,0,2,41,184,20,51,223,92.62
DeAndre' Bembry,SG,24,ATL,82,1931,616,50,173,136,358,105,41,687,255.25
Dragan Bender,PF,21,PHO,46,826,197,22,101,54,183,18,22,230,98.38
Dairis Bertāns,SG,29,NOP,12,167,47,10,34,0,9,1,0,34,15.15
Dāvis Bertāns,PF,26,SAS,76,1632,453,145,338,60,264,35,33,606,223.02
Patrick Beverley,PG,30,LAC,78,2137,477,112,282,123,388,67,43,596,244.05
Khem Birch,C,26,ORL,50,643,151,0,1,83,190,18,29,240,88.63
Bismack Biyombo,C,26,CHO,54,783,156,0,0,91,247,11,41,236,98.55
Nemanja Bjelica,PF,30,SAC,77,1788,593,103,257,92,444,54,56,741,277.55
Antonio Blakeney,SG,22,CHI,57,829,396,36,91,76,106,12,9,418,130.3
Eric Bledsoe,PG,29,MIL,78,2272,971,124,377,236,362,116,29,1241,389.7
Jaron Blossomgame,SF,25,CLE,27,439,106,10,39,13,98,7,8,114,48.65
Bogdan Bogdanović,SG,26,SAC,70,1947,863,134,372,162,243,72,15,990,317.55
Bojan Bogdanović,SF,29,IND,81,2573,1051,164,386,305,333,69,1,1454,418.08
Andrew Bogut,C,34,GSW,11,134,36,0,0,3,55,3,8,39,19.35
Jonah Bolden,PF,23,PHI,44,639,162,34,96,27,165,17,39,207,91.32
Isaac Bonga,PG,19,LAL,22,120,33,0,8,15,25,9,4,19,14.37
Devin Booker,SG,22,PHO,64,2242,1255,135,414,454,265,56,13,1700,463.53
Chris Boucher,PF,26,TOR,28,163,76,12,37,15,56,6,24,93,39.25
Avery Bradley,SG,28,TOT,63,1905,608,86,245,50,175,41,16,625,210.08
Tony Bradley,C,21,UTA,3,36,16,0,0,2,15,2,2,17,6.9
Corey Brewer,SF,32,TOT,31,492,123,14,44,43,76,32,7,151,57.95
Mikal Bridges,SF,22,PHO,82,2417,563,105,313,118,264,129,38,684,255.1
Miles Bridges,SF,20,CHO,80,1696,511,65,200,77,323,55,49,597,222.75
Isaiah Briscoe,PG,22,ORL,39,559,138,11,34,26,74,11,2,136,52
Ryan Broekhoff,SG,28,DAL,42,453,126,38,93,19,63,6,4,167,60.25
Malcolm Brogdon,SG,26,MIL,64,1832,748,104,244,152,288,46,13,1001,295.68
Dillon Brooks,SF,23,MEM,18,330,122,15,40,30,31,10,4,135,43.55
MarShon Brooks,SG,30,MEM,29,387,169,15,54,33,45,9,4,190,59.1
Bruce Brown,SG,22,DET,74,1449,314,24,93,60,185,40,36,319,128.95
Jaylen Brown,SG,22,BOS,74,1913,792,95,276,202,313,69,32,964,310.02
Lorenzo Brown,PG,28,TOR,26,212,71,6,28,3,31,12,5,55,26.12
Sterling Brown,SG,23,MIL,58,1034,312,53,147,42,184,25,8,372,134.35
Troy Brown Jr.,SF,19,WAS,52,730,234,22,69,47,145,21,5,248,94.22
Jalen Brunson,PG,22,DAL,73,1591,565,63,181,120,169,37,4,678,205.68
Thomas Bryant,C,21,WAS,72,1496,502,33,99,137,454,25,67,758,250.65
Reggie Bullock,SG,27,TOT,63,1879,594,148,393,85,173,40,12,711,238.98
Trey Burke,PG,26,TOT,58,1125,548,56,159,124,99,33,7,631,184
Alec Burks,SG,27,TOT,64,1375,474,61,168,141,235,39,21,561,193.85
Deonte Burton,SG,25,OKC,32,240,82,8,27,12,28,6,8,82,30.77
Jimmy Butler,SF-SG,29,TOT,65,2185,904,67,193,365,342,123,39,1215,363.85
Bruno Caboclo,PF,23,MEM,34,800,225,48,130,50,158,14,33,282,109.3
José Calderón,PG,37,DET,49,632,120,14,57,11,60,16,3,113,48.22
Kentavious Caldwell-Pope,SG,25,LAL,82,2035,756,151,435,158,238,73,13,938,307
Isaiah Canaan,PG,27,TOT,30,629,164,34,96,24,58,14,2,181,65.02
Clint Capela,C,24,HOU,67,2249,732,0,0,261,848,44,102,1114,379.63
DeMarre Carroll,PF,32,BRK,67,1703,575,106,310,242,349,31,10,744,262.62
Jevon Carter,PG,23,MEM,39,577,185,34,102,32,66,26,11,172,71.88
Vince Carter,PF,42,ATL,76,1330,468,123,316,66,194,44,27,562,204.88
Wendell Carter Jr.,C,19,CHI,44,1110,371,6,32,112,307,26,58,455,164.67
Michael Carter-Williams,PG,27,TOT,28,372,123,10,38,53,70,20,15,134,53.65
Alex Caruso,PG,24,LAL,25,531,173,24,50,64,67,24,9,229,72.75
Omri Casspi,SF,30,MEM,36,520,161,15,43,58,115,20,9,226,76.65
Willie Cauley-Stein,C,25,SAC,81,2213,741,1,2,254,678,96,51,965,337.53
Troy Caupain,PG,23,ORL,4,16,8,2,3,0,3,1,0,10,3.42
Tyler Cavanaugh,PF,24,UTA,11,39,10,1,5,2,8,0,0,9,4.75
Tyson Chandler,C,36,TOT,55,875,99,0,1,87,307,21,23,173,92.72
Wilson Chandler,PF-SF,31,TOT,51,1177,273,59,158,25,215,25,21,305,128.88
Joe Chealey,PG,23,CHO,1,8,3,0,0,0,0,0,0,2,0.62
Chris Chiozza,PG,23,HOU,7,33,8,2,5,0,4,1,1,6,3.6
Marquese Chriss,PF,21,TOT,43,499,180,16,72,45,142,17,11,182,79.12
Gary Clark,PF,24,HOU,51,641,151,41,138,7,116,20,26,148,77.55
Ian Clark,SG,27,NOP,60,973,383,66,202,37,89,22,8,401,136.02
Jordan Clarkson,SG,26,CLE,81,2214,1180,144,445,192,270,57,13,1364,406.55
John Collins,PF,21,ATL,61,1829,831,55,158,266,595,22,39,1188,366.6
Zach Collins,C,21,POR,77,1356,400,40,121,126,324,25,66,512,192.4
Darren Collison,PG,31,IND,76,2143,659,79,194,190,232,110,9,853,264.8
Bonzie Colson,SF,23,MIL,8,98,39,5,21,9,30,5,1,39,17.42
Mike Conley,PG,31,MEM,70,2342,1120,155,426,406,239,94,22,1478,426.88
Pat Connaughton,SG,26,MIL,61,1261,350,66,200,40,258,33,25,421,164.85
Quinn Cook,PG,25,GSW,74,1059,439,81,200,26,157,20,3,509,166.5
DeMarcus Cousins,C,28,GSW,30,771,371,26,95,144,247,40,44,488,167.57
Robert Covington,SF,28,TOT,35,1203,362,85,225,89,193,74,47,465,176
Allen Crabbe,SG,26,BRK,43,1133,373,98,259,56,148,23,13,413,154.23
Torrey Craig,SF,28,DEN,75,1503,362,61,188,70,263,37,46,430,172.7
Jamal Crawford,SG,38,PHO,64,1211,438,67,202,110,85,33,12,508,160.62
Mitch Creek,SF,26,TOT,5,48,16,0,2,7,12,2,0,21,7.2
Jae Crowder,SF,28,UTA,80,2166,797,173,522,197,384,64,31,951,347.05
Dante Cunningham,PF,31,SAS,64,928,158,30,65,18,188,27,13,194,88.58
Seth Curry,SG,28,POR,74,1399,465,113,251,52,120,36,12,581,185.42
Stephen Curry,PG,30,GSW,69,2331,1340,354,810,287,369,92,25,1881,566.55
Troy Daniels,SG,27,PHO,51,760,275,74,194,23,73,26,5,318,111.62
Anthony Davis,C,25,NOP,56,1850,1026,48,145,433,672,88,135,1452,461.08
Deyonta Davis,C,22,ATL,9,118,22,0,1,10,36,3,5,36,14.55
Ed Davis,C,29,BRK,81,1446,302,0,2,162,694,35,33,472,217.82
Tyler Davis,C,21,OKC,1,1,1,0,0,0,1,0,0,0,0.32
Dewayne Dedmon,C,29,ATL,64,1609,526,83,217,113,480,69,71,693,269.32
Sam Dekker,PF,24,TOT,47,788,256,19,62,46,148,38,7,287,103.27
Ángel Delgado,C,24,LAC,2,15,5,0,0,2,4,1,0,3,1.88
Matthew Dellavedova,PG,28,TOT,48,812,242,44,130,52,77,14,2,282,94.85
Luol Deng,SF,33,MIN,22,392,118,14,44,35,73,15,8,157,54.27
DeMar DeRozan,SG,29,SAS,77,2688,1313,7,45,441,462,86,36,1635,455.35
Marcus Derrickson,PF,22,GSW,11,67,33,10,20,5,13,0,1,46,14.98
Cheick Diallo,PF,22,NOP,64,896,271,1,4,67,332,29,33,387,143.15
Hamidou Diallo,SG,20,OKC,51,526,165,4,24,59,97,21,10,190,68.52
Gorgui Dieng,C,29,MIN,76,1031,377,19,56,106,311,48,41,485,175.9
Spencer Dinwiddie,PG,25,BRK,68,1914,828,124,370,356,166,40,17,1143,325.28
Donte DiVincenzo,SG,22,MIL,27,411,124,22,83,12,65,13,6,131,52.98
Luka Dončić,SG,19,DAL,72,2318,1186,168,514,485,563,77,25,1526,498.3
Tyler Dorsey,SG,22,TOT,48,698,264,44,132,61,113,14,2,296,104.8
Damyean Dotson,SG,24,NYK,73,2004,698,126,342,98,262,58,10,779,268.45
PJ Dozier,SG,22,BOS,6,51,21,2,8,2,17,2,0,19,8.72
Goran Dragić,PG,32,MIA,36,991,433,57,164,101,111,30,5,494,154.12
Andre Drummond,C,25,DET,79,2647,1052,5,38,412,1232,136,138,1370,532.35
Jared Dudley,PF,33,BRK,59,1220,239,53,151,46,155,36,16,287,115.5
Kris Dunn,PG,24,CHI,46,1389,506,34,96,69,187,68,21,519,175.23
Kevin Durant,SF,30,GSW,78,2702,1383,137,388,506,497,58,84,2027,564.9
Trevon Duval,PG,20,MIL,3,6,3,1,1,0,1,0,0,5,1.5
Vince Edwards,SF,22,HOU,2,16,4,1,4,0,2,0,0,3,1.65
Henry Ellenson,PF,22,TOT,19,259,95,17,38,25,66,7,2,114,42.65
Wayne Ellington,SG,31,TOT,53,1297,457,138,372,49,107,54,6,545,190.45
Joel Embiid,C,24,PHI,64,2154,1199,79,263,649,871,46,122,1761,562.73
James Ennis,SF,28,TOT,58,1230,294,55,156,81,182,41,23,389,141.9
Drew Eubanks,PF,21,SAS,23,113,26,0,0,13,34,2,5,41,16.25
Jacob Evans,SG,21,GSW,30,204,53,4,15,1,25,5,3,40,19.18
Jawun Evans,PG,22,TOT,8,65,14,0,3,0,12,3,0,6,5.22
Tyreke Evans,SG,29,IND,69,1402,660,77,216,160,201,58,18,706,234.8
Dante Exum,PG,23,UTA,42,664,241,18,62,86,68,14,5,288,87.5
Kenneth Faried,C,29,TOT,37,728,265,8,25,99,250,17,23,384,128.6
Derrick Favors,C,27,UTA,76,1766,619,17,78,228,560,56,106,897,307.4
Cristiano Felício,C,26,CHI,60,746,179,0,4,73,218,11,7,240,91.75
Raymond Felton,PG,34,OKC,33,379,135,20,61,13,34,10,6,142,48.95
Terrance Ferguson,SG,20,OKC,74,1931,431,106,290,51,141,40,16,513,179.88
Yogi Ferrell,PG,25,SAC,71,1067,352,54,149,67,109,36,4,420,136.65
Dorian Finney-Smith,SF,25,DAL,81,1985,528,79,254,103,389,69,36,608,243.05
Bryn Forbes,SG,25,SAS,82,2293,791,176,413,78,239,45,4,967,306.2
Evan Fournier,SG,26,ORL,81,2553,1069,153,450,170,258,71,12,1226,378.75
De'Aaron Fox,PG,21,SAC,81,2546,1102,86,232,417,304,133,45,1399,412.45
Melvin Frazier,SG,22,ORL,10,44,21,0,6,4,5,1,0,15,6.28
Tim Frazier,PG,28,TOT,59,1120,261,37,101,54,168,30,5,310,114.62
Jimmer Fredette,SG,29,PHO,6,65,29,0,13,6,7,3,0,22,8.88
Channing Frye,C,35,CLE,36,341,117,32,79,14,52,6,5,129,50.6
Markelle Fultz,SG,20,PHI,19,427,155,4,14,37,70,17,5,155,53.5
Danilo Gallinari,SF,30,LAC,68,2059,884,161,372,406,417,49,23,1346,403.42
Langston Galloway,SG,27,DET,80,1745,587,135,380,96,171,37,8,672,231.28
Billy Garrett,SG,24,NYK,4,63,27,0,8,4,3,1,1,26,7.8
Marc Gasol,C,34,TOT,79,2436,870,99,273,253,627,84,86,1071,391.85
Pau Gasol,C,38,TOT,30,360,94,6,13,40,137,5,15,118,53.68
Rudy Gay,PF,32,SAS,69,1842,746,74,184,147,470,54,34,946,312.12
Paul George,SF,28,OKC,77,2841,1614,292,757,540,628,170,34,2159,682.12
Taj Gibson,PF,33,MIN,70,1686,537,11,34,177,458,53,39,753,248.35
Harry Giles,PF,20,SAC,58,820,348,0,6,91,222,31,22,408,136.4
Shai Gilgeous-Alexander,PG,20,LAC,82,2174,716,51,139,195,232,96,45,889,271.38
Rudy Gobert,C,26,UTA,81,2577,712,0,0,522,1041,66,187,1284,457.98
Brandon Goodwin,PG,23,DEN,16,57,23,2,6,11,3,0,0,23,8.08
Aaron Gordon,PF,23,ORL,78,2633,1046,121,347,253,574,57,56,1246,423.05
Eric Gordon,SG,30,HOU,68,2158,938,216,600,152,148,41,27,1103,348.78
Marcin Gortat,C,34,LAC,47,751,186,0,0,48,261,6,24,233,97.3
Devonte' Graham,PG,23,CHO,46,676,216,34,121,46,63,23,2,217,81
Treveon Graham,SG,25,BRK,35,715,191,38,128,22,107,13,7,184,79.22
Jerami Grant,PF,24,OKC,80,2612,823,115,293,221,417,61,100,1090,358.65
Jerian Grant,PG,26,ORL,60,939,220,40,110,40,98,44,6,250,95.2
Donte Grantham,SF,23,OKC,3,2,2,0,2,0,0,0,0,0,0.58
Danny Green,SG,31,TOR,80,2216,630,198,435,44,317,73,53,821,297.65
Draymond Green,PF,28,GSW,66,2065,422,47,165,91,481,95,70,486,227.6
Gerald Green,SG,33,HOU,73,1473,578,156,441,68,182,33,27,675,239.93
JaMychal Green,PF,28,TOT,65,1371,476,71,176,101,409,45,34,611,229.17
Jeff Green,PF,32,WAS,77,2097,687,111,320,206,309,43,39,946,299.55
Blake Griffin,PF,29,DET,75,2622,1341,189,522,550,565,52,28,1841,556.88
Daniel Hamilton,SG,23,ATL,19,204,60,8,23,6,47,6,1,57,25.67
Dusty Hannahs,SG,25,MEM,2,26,12,0,5,2,1,1,0,8,3.12
Tim Hardaway Jr.,SG,26,TOT,65,2057,993,162,477,276,222,54,8,1174,363.35
James Harden,PG,29,HOU,78,2867,1909,378,1028,858,518,158,58,2818,826.35
Maurice Harkless,SF,25,POR,60,1415,388,33,120,73,269,67,53,460,175.93
Montrezl Harrell,C,25,LAC,82,2158,888,3,17,414,535,71,110,1361,394.82
Devin Harris,PG,35,DAL,68,1071,347,62,200,134,112,35,16,428,147.2
Gary Harris,SG,24,DEN,57,1639,637,82,242,144,160,55,19,737,230.8
Joe Harris,SG,27,BRK,76,2293,748,183,386,133,291,38,17,1041,321
Tobias Harris,PF,26,TOT,82,2847,1254,156,393,307,645,51,37,1644,511.33
Andrew Harrison,PG,24,TOT,17,187,53,5,25,18,20,4,2,54,20.62
Shaquille Harrison,SG,25,CHI,73,1430,426,24,89,123,222,89,30,474,174.3
Josh Hart,SG,23,LAL,67,1715,464,92,274,80,248,64,40,525,205.9
Isaiah Hartenstein,PF,20,HOU,28,221,41,2,6,14,47,7,12,53,24.12
Udonis Haslem,C,38,MIA,10,74,33,0,12,4,27,0,0,25,12.33
Gordon Hayward,PF,28,BOS,72,1863,635,77,231,187,322,62,23,825,269.38
John Henson,C,28,MIL,14,188,67,11,31,10,71,7,11,79,35.17
Juan Hernangómez,PF,23,DEN,70,1358,314,66,181,86,265,27,24,408,161.18
Willy Hernangómez,C,24,CHO,58,812,295,15,39,144,311,16,20,421,150.52
Mario Hezonja,SF,23,NYK,58,1206,464,42,152,114,239,57,8,511,182.57
Isaiah Hicks,PF,24,NYK,3,32,8,0,0,5,7,1,3,12,4.42
Buddy Hield,SG,26,SAC,82,2615,1360,278,651,193,412,58,33,1695,522.7
Haywood Highsmith,SF,22,PHI,5,40,10,1,5,2,5,1,0,9,4
Nenê,C,36,HOU,42,546,116,0,3,47,123,18,15,151,59.6
George Hill,PG,32,TOT,60,1302,376,48,153,85,148,52,8,458,152.27
Solomon Hill,SF,27,NOP,44,878,178,32,101,32,133,23,10,191,83.05
Aaron Holiday,PG,22,IND,50,646,262,43,127,50,67,21,13,294,99.25
Jrue Holiday,SG,28,NOP,67,2402,1159,118,363,271,334,109,54,1420,428.5
Justin Holiday,SG,29,TOT,82,2607,777,162,465,106,323,121,36,857,323.4
John Holland,SF,30,CLE,1,1,0,0,0,0,0,0,0,0,0.07
Rondae Hollis-Jefferson,SF,24,BRK,59,1234,487,9,49,183,310,44,27,527,190.1
Richaun Holmes,C,25,PHO,70,1184,365,0,0,175,331,42,79,572,189.8
Rodney Hood,SG,26,TOT,72,1893,671,84,236,155,157,59,12,805,243.28
Al Horford,C,32,BOS,68,1973,723,73,203,95,458,59,86,925,312.58
Danuel House,SF,25,HOU,39,979,252,74,178,71,140,21,11,366,125.83
Dwight Howard,C,33,WAS,9,230,69,0,0,48,83,7,4,115,38.45
Kevin Huerter,SG,20,ATL,75,2048,657,136,353,56,245,65,25,727,258.72
Isaac Humphries,C,21,ATL,5,56,21,3,11,0,11,1,0,15,7.35
R.J. Hunter,SG,25,BOS,1,26,13,4,10,2,3,1,0,17,5.45
Chandler Hutchison,SF,22,CHI,44,895,209,14,50,38,185,23,6,229,92.33
Serge Ibaka,C,29,TOR,74,2010,877,49,169,177,601,29,103,1112,369.85
Andre Iguodala,SF,35,GSW,68,1578,302,48,144,67,252,61,51,389,158.67
Ersan İlyasova,PF,31,MIL,67,1231,381,58,160,74,302,32,20,453,175.8
Joe Ingles,PF,31,UTA,82,2568,802,189,483,123,330,98,20,994,343.8
Andre Ingram,SG,33,LAL,4,15,6,0,3,0,2,1,0,0,1.58
Brandon Ingram,SF,21,LAL,52,1760,729,31,94,289,267,28,31,950,269.82
Kyrie Irving,PG,26,BOS,67,2214,1241,174,434,245,335,103,34,1596,465.98
Jonathan Isaac,PF,21,ORL,75,1996,611,86,266,135,411,59,98,720,279.38
Wesley Iwundu,SF,24,ORL,68,1233,274,29,79,103,184,28,22,339,124.67
Demetrius Jackson,PG,24,PHI,6,39,15,2,6,4,3,2,0,22,6.35
Frank Jackson,PG,20,NOP,61,1169,447,53,169,73,134,25,2,495,158.25
Jaren Jackson Jr.,PF,19,MEM,58,1515,589,51,142,197,272,52,82,798,250.78
Josh Jackson,SG,21,PHO,79,1988,841,73,225,213,347,74,56,910,311.97
Justin Jackson,SF,23,TOT,81,1614,485,87,245,79,212,32,14,583,199.35
Reggie Jackson,PG,28,DET,82,2289,1047,174,471,236,216,55,9,1260,379.22
LeBron James,SF,34,LAL,55,1937,1095,111,327,418,465,72,33,1505,446.55
Amile Jefferson,PF,25,ORL,12,68,16,0,0,8,21,3,3,27,10.33
John Jenkins,SG,27,TOT,26,333,105,22,58,18,37,0,2,121,41.43
Jonas Jerebko,PF,31,GSW,73,1218,355,69,188,80,288,27,18,459,175.02
Alize Johnson,PF,22,IND,14,64,16,1,2,8,19,1,3,13,8.4
Amir Johnson,C,31,PHI,51,529,157,12,40,41,147,16,13,201,77.6
B.J. Johnson,SF,23,TOT,7,49,18,3,7,2,8,2,0,23,7.7
James Johnson,PF,31,MIA,55,1164,379,50,149,70,176,35,27,428,152.15
Stanley Johnson,SF,22,TOT,66,1208,440,62,215,64,217,60,14,454,176.42
Tyler Johnson,PG,26,TOT,57,1529,526,90,260,127,173,54,27,619,209.45
Wesley Johnson,SF,31,TOT,38,534,128,25,76,19,72,14,12,128,56.12
Nikola Jokić,C,23,DEN,80,2504,1206,83,270,352,865,108,55,1604,529.52
Damian Jones,C,23,GSW,24,410,74,0,0,37,75,12,25,130,44.1
Derrick Jones Jr.,SF,21,MIA,60,1153,324,28,91,122,240,46,42,422,155.28
Jalen Jones,SF,25,CLE,16,214,62,10,28,27,34,9,2,81,28.98
Jemerrio Jones,SF,23,LAL,6,143,33,2,10,2,49,7,5,27,17.38
Terrence Jones,PF,27,HOU,2,5,4,0,2,1,4,0,0,2,1.6
Tyus Jones,PG,22,MIN,68,1560,446,40,126,69,134,81,5,468,159.1
DeAndre Jordan,C,30,TOT,69,2047,446,0,0,264,902,42,73,758,310.28
Cory Joseph,PG,27,IND,82,2063,548,55,171,43,279,94,22,537,209.18
Frank Kaminsky,C,25,CHO,47,755,298,50,139,107,163,12,12,405,134.02
Enes Kanter,C,26,TOT,67,1640,683,10,34,197,659,32,26,915,308.9
Luke Kennard,SG,22,DET,63,1437,520,106,269,61,183,26,10,613,202.68
Michael Kidd-Gilchrist,PF,25,CHO,64,1179,332,16,47,123,246,32,39,427,150.6
George King,SF,25,PHO,1,6,0,0,0,0,1,0,0,0,0.22
Maxi Kleber,PF,27,DAL,71,1502,386,77,218,74,329,36,78,485,200.68
Brandon Knight,PG,27,TOT,39,736,260,41,129,34,59,21,2,266,90.97
Kevin Knox,PF,19,NYK,75,2158,914,125,364,226,335,43,24,963,331.92
Furkan Korkmaz,SG,21,PHI,48,679,245,47,144,44,107,29,2,279,102.55
Luke Kornet,PF,23,NYK,46,784,283,70,193,46,135,27,42,322,128.12
Kyle Korver,SG-PF,37,TOT,70,1334,483,138,348,73,162,25,12,600,205.4
Kosta Koufos,C,29,SAC,42,502,153,0,0,24,177,15,18,156,70.65
Rodions Kurucs,SF,20,BRK,63,1294,449,58,184,92,246,41,25,534,188.83
Kyle Kuzma,PF,23,LAL,70,2314,1087,128,422,250,382,41,26,1308,404.95
Skal Labissière,PF,22,TOT,22,176,49,6,13,17,43,5,6,67,25.6
Jeremy Lamb,SG,26,CHO,79,2250,979,115,330,260,434,88,32,1208,390.05
Zach LaVine,SG,23,CHI,63,2171,1135,120,321,375,294,60,26,1492,419.55
Jake Layman,SF,24,POR,71,1327,424,59,181,71,217,31,30,541,181.55
T.J. Leaf,PF,21,IND,58,522,183,8,31,31,125,9,19,225,78.6
Courtney Lee,SG,33,TOT,34,428,129,16,55,21,54,21,3,136,51.32
Damion Lee,SG,26,GSW,32,375,127,27,68,22,64,13,0,158,55.98
Walt Lemon Jr.,PG,26,CHI,6,167,87,2,5,11,27,11,1,86,26.92
Alex Len,C,25,ATL,77,1544,648,74,204,216,424,27,69,854,290.68
Kawhi Leonard,SF,27,TOR,60,2040,1129,112,302,426,439,106,24,1596,460.2
Meyers Leonard,C,26,POR,61,878,242,50,111,51,233,13,9,357,128.78
Jon Leuer,PF,29,DET,41,402,113,1,11,31,97,12,4,156,53.32
Caris LeVert,SF,24,BRK,40,1063,483,48,154,123,151,42,14,547,174.42
Damian Lillard,PG,28,POR,80,2838,1533,237,643,513,371,88,34,2067,595.12
Jeremy Lin,PG,30,TOT,74,1436,541,55,187,210,179,47,13,707,215.28
Shaun Livingston,PG,33,GSW,64,967,210,0,2,51,117,31,27,258,87
Zach Lofton,SG,26,DET,1,4,1,0,1,0,0,1,0,0,0.4
Kevon Looney,C,22,GSW,80,1481,347,1,10,105,417,46,53,500,186.73
Brook Lopez,C,30,MIL,81,2322,786,187,512,133,396,51,179,1009,373.12
Robin Lopez,C,30,CHI,74,1606,535,7,31,123,286,11,78,704,212.65
Kevin Love,PF,30,CLE,22,598,283,53,147,114,239,6,5,374,137.55
Kyle Lowry,PG,32,TOR,65,2213,739,157,453,194,312,91,31,926,322.92
Jordan Loyd,PG,25,TOR,12,55,18,4,8,11,9,0,0,29,9.32
Kalin Lucas,PG,29,DET,1,6,1,0,1,2,3,0,0,2,1.05
Timothé Luwawu-Cabarrot,SF,23,TOT,50,669,218,36,116,41,97,19,8,231,88.27
Tyler Lydon,PF,22,DEN,25,94,18,4,10,3,18,2,0,23,10.95
Trey Lyles,PF,23,DEN,64,1120,495,51,200,116,246,30,23,546,194.57
Scott Machado,PG,28,LAL,4,19,6,1,1,1,0,1,0,10,2.55
Shelvin Mack,PG,28,TOT,57,1246,403,46,130,84,104,47,4,430,141.27
Daryl Macon,SG,23,DAL,8,90,27,5,11,7,12,1,0,29,10.67
J.P. Macura,SG,23,CHO,2,17,9,0,4,0,3,0,0,6,2.55
Ian Mahinmi,C,32,WAS,34,498,104,3,16,61,128,25,16,139,60.3
Thon Maker,C-PF,21,TOT,64,972,268,49,153,84,202,21,51,323,134.88
Boban Marjanović,C,30,TOT,58,681,260,4,10,131,265,16,27,422,137.1
Lauri Markkanen,PF,21,CHI,52,1682,795,120,332,195,470,37,33,974,335.8
Jarell Martin,PF,24,ORL,42,328,104,20,57,11,73,3,8,115,47.85
Frank Mason III,PG,24,SAC,38,435,169,14,64,57,43,16,4,195,62.98
