Player,Pos,Age,Tm,G2018,MP,FGA,3P,3PA,FTA,TRB,STL,BLK,PTS,puntASTFV
Álex Abrines,SG,25,OKC,31,588,157,41,127,13,48,17,6,165,64.6
Quincy Acy,PF,28,PHO,10,123,18,2,15,10,25,1,4,17,11.05
Jaylen Adams,PG,22,ATL,34,428,110,25,74,9,60,14,5,108,48.03
Steven Adams,C,25,OKC,80,2669,809,0,2,292,760,117,76,1108,383.1
Bam Adebayo,C,21,MIA,82,1913,486,3,15,226,597,71,65,729,268.63
Deng Adel,SF,21,CLE,19,194,36,6,23,4,19,1,4,32,15.3
DeVaughn Akoon-Purcell,SG,25,DEN,7,22,10,0,4,2,4,2,0,7,3.7
LaMarcus Aldridge,C,33,SAS,81,2687,1319,10,42,412,744,43,107,1727,512.95
Rawle Alkins,SG,21,CHI,10,120,39,3,12,12,26,1,0,37,15.2
Grayson Allen,SG,23,UTA,38,416,178,32,99,60,23,6,6,211,66.7
Jarrett Allen,C,20,BRK,80,2096,568,6,45,278,672,43,120,873,315.2
Kadeem Allen,SG,26,NYK,19,416,141,17,36,54,51,16,4,189,57.33
Al-Farouq Aminu,PF,28,POR,81,2292,593,96,280,173,610,68,33,760,308.67
Justin Anderson,SF,25,ATL,48,463,157,24,77,35,84,22,13,178,69.92
Kyle Anderson,SF,25,MEM,43,1281,276,9,34,64,251,54,37,346,132.25
Ryan Anderson,PF,30,TOT,25,322,69,9,40,16,54,4,1,63,30.42
Ike Anigbogu,C,20,IND,3,6,3,0,0,0,3,0,1,0,1.12
Giannis Antetokounmpo,PF,24,MIL,72,2358,1247,52,203,686,898,92,110,1994,600.38
Kostas Antetokounmpo,PF,21,DAL,2,11,3,0,0,4,1,2,0,2,1.35
Carmelo Anthony,PF,34,HOU,10,294,121,21,64,22,54,4,7,134,47.88
OG Anunoby,SF,21,TOR,67,1352,404,67,202,62,197,46,22,469,170.42
Ryan Arcidiacono,PG,24,CHI,81,1961,418,81,217,102,219,65,4,544,190.57
Trevor Ariza,SF,33,TOT,69,2349,736,145,434,164,371,91,21,863,317.98
D.J. Augustin,PG,31,ORL,81,2269,677,131,311,209,203,52,4,948,281.28
Deandre Ayton,C,20,PHO,71,2183,870,0,4,189,729,61,67,1159,375.5
Dwayne Bacon,SG,23,CHO,43,759,257,38,87,46,89,12,5,316,97.9
Marvin Bagley III,PF,19,SAC,62,1567,706,30,96,262,471,33,59,923,299.12
Ron Baker,SG,25,TOT,15,152,20,1,13,6,11,6,1,14,8.98
Wade Baldwin,PG,22,POR,16,94,33,2,9,11,15,1,2,30,12.43
Lonzo Ball,PG,21,LAL,47,1423,456,75,228,48,251,69,19,465,186.98
Mo Bamba,C,20,ORL,47,766,243,21,70,63,233,13,64,292,121.85
J.J. Barea,PG,34,DAL,38,752,385,38,128,78,95,22,1,415,129.18
Harrison Barnes,PF-SF,26,TOT,77,2533,1027,174,441,278,361,50,13,1265,398.92
Will Barton,SF,28,DEN,43,1189,460,67,196,74,199,18,22,494,173.6
Keita Bates-Diop,SF,23,MIN,30,503,142,13,52,28,83,18,14,151,59.5
Nicolas Batum,SF,30,CHO,75,2354,562,116,298,89,390,71,43,699,266.1
Jerryd Bayless,PG,30,MIN,34,657,230,29,98,28,62,18,2,209,76.35
