Player,Pos,Age,Tm,G,MP,FGA,3P,3PA,2PA,FTA,TRB,AST,STL,BLK,PTS,FV
Bismack Biyombo,C,27,CHO,53,1029,278,0,0,278,151,308,50,10,49,393,264.75
Nemanja Bjelica,PF,31,SAC,72,2011,653,134,320,333,84,458,203,62,40,831,538.1
Eric Bledsoe,PG,30,MIL,61,1646,703,74,215,488,214,282,328,57,26,911,480.44999999999993
Bogdan Bogdanović,SG,27,SAC,61,1766,766,164,441,325,116,207,207,64,15,924,498.2999999999999
Bojan Bogdanović,SF,30,UTA,63,2083,935,189,457,478,277,259,131,34,7,1275,594.8499999999999
Bol Bol,SF,20,DEN,7,87,28,4,9,19,10,19,6,2,6,40,24.15
Jonah Bolden,PF,24,TOT,7,47,11,0,4,7,4,9,0,3,2,10,11.45
Jonah Bolden,PF,24,PHI,4,14,3,0,1,2,2,1,0,1,0,4,3.6
Jonah Bolden,PF,24,PHO,3,33,8,0,3,5,2,8,0,2,2,6,7.850000000000001
Marques Bolden,C,21,CLE,1,3,0,0,0,0,0,2,0,1,0,0,0.9
Jordan Bone,PG,22,DET,10,53,20,2,10,10,0,4,8,1,0,12,13.649999999999999
Isaac Bonga,SF,20,WAS,66,1250,234,25,71,163,85,222,76,45,22,330,288.9
Devin Booker,SG,23,PHO,70,2512,1283,141,398,885,509,297,456,49,18,1863,779.1999999999999
Chris Boucher,PF,27,TOR,62,819,299,38,118,181,116,277,26,22,61,411,242.3
Brian Bowen,SG,21,IND,6,31,10,0,2,8,0,7,0,0,1,6,7.549999999999999
Ky Bowman,PG,22,GSW,45,1015,321,33,107,214,41,121,131,44,10,335,249.85000000000002
Avery Bradley,SG,29,LAL,49,1186,383,63,173,210,24,115,63,43,5,423,285.45000000000005
Tony Bradley,C,22,UTA,58,663,189,3,3,186,46,267,23,14,33,285,182.55000000000007
Jarrell Brantley,PF,23,UTA,9,96,28,3,13,15,2,20,11,3,5,24,24.500000000000004
Ignas Brazdeikis,SF,21,NYK,9,53,22,1,9,13,5,5,4,0,1,17,13.899999999999997
Corey Brewer,SG,33,SAC,5,33,4,0,1,3,3,8,2,4,0,5,8
Mikal Bridges,SF,23,PHO,73,2042,484,70,194,290,122,292,129,102,46,667,487.84999999999997
