Player,Pos,Age,Tm,G,MP,FGA,3P,3PA,2PA,FTA,TRB,AST,STL,BLK,PTS,FV
George Hill,PG,33,MIL,59,1271,376,81,176,200,101,177,180,47,5,554,336.55
Solomon Hill,SF,28,TOT,59,1088,278,63,171,107,54,165,104,43,12,323,268.2
Solomon Hill,SF,28,MEM,48,901,233,56,147,86,38,144,94,31,7,274,223.85
Solomon Hill,SF,28,MIA,11,187,45,7,24,21,16,21,10,12,5,49,44.35
Jaylen Hoard,SF,20,POR,13,103,32,0,3,29,13,32,4,5,0,38,27.699999999999996
Aaron Holiday,PG,23,IND,66,1617,563,87,221,342,87,156,225,55,16,627,412.6
Jrue Holiday,SG,29,NOP,61,2117,1006,122,346,660,182,293,408,99,48,1167,617.1000000000001
Justin Holiday,SG,30,IND,73,1826,486,134,331,155,67,238,93,87,46,603,449.15000000000003
Rondae Hollis-Jefferson,SF,25,TOR,60,1122,329,3,23,306,143,283,106,46,23,418,289.95
Richaun Holmes,C,26,SAC,44,1242,344,0,0,344,118,358,42,41,56,539,319.5999999999999
Rodney Hood,SF,27,POR,21,619,172,35,71,101,27,72,32,17,4,230,148.5
Al Horford,C,33,PHI,67,2025,709,99,283,426,80,456,270,52,61,798,541
Talen Horton-Tucker,SG,19,LAL,6,81,30,4,13,17,4,7,6,8,1,34,21.400000000000002
Danuel House,SF,26,HOU,63,1913,539,129,355,184,90,267,85,67,34,662,469.9999999999999
Dwight Howard,C,34,LAL,69,1306,277,3,5,272,214,507,45,31,79,517,349.25
William Howard,PF,26,HOU,2,13,4,0,4,0,0,2,1,0,0,0,2.9500000000000006
Kevin Huerter,SG,21,ATL,56,1760,610,127,334,276,64,228,213,51,27,684,455.79999999999995
De'Andre Hunter,SF,22,ATL,63,2018,683,108,304,379,144,286,112,44,18,778,503.29999999999995
Chandler Hutchison,SF,23,CHI,28,527,175,12,38,137,78,108,26,27,7,218,137.6
Serge Ibaka,C,30,TOR,55,1485,670,70,182,488,124,452,77,28,46,845,431.6
Andre Iguodala,SG,36,MIA,21,418,88,14,47,41,15,78,51,14,21,96,100.75
Ersan İlyasova,PF,32,MIL,63,986,313,50,137,176,87,302,49,24,17,414,269.8
Joe Ingles,SF,32,UTA,72,2137,553,141,353,200,94,278,373,65,11,707,538.8500000000001
Brandon Ingram,PF,22,NOP,62,2104,1096,150,384,712,368,380,259,61,38,1477,653.8
Kyrie Irving,PG,27,BRK,20,658,416,56,142,274,102,103,128,27,10,548,221.9
Jonathan Isaac,SF,22,ORL,34,980,332,32,94,238,77,231,48,53,78,404,261.85
Wesley Iwundu,SF,25,ORL,52,953,233,28,82,151,97,131,60,25,13,300,227.05
Frank Jackson,PG,21,NOP,59,797,331,47,144,187,75,83,61,17,4,371,214.2
Jaren Jackson Jr.,C,20,MEM,57,1622,753,145,368,385,186,262,78,40,92,990,477.9
Josh Jackson,SG,22,MEM,22,381,159,23,72,87,50,66,35,18,9,198,109.39999999999998
Justin Jackson,PF,24,DAL,65,1045,341,48,163,178,50,154,52,15,10,360,258.1
Reggie Jackson,PG,29,TOT,31,743,326,57,145,181,54,92,126,13,5,370,208.64999999999998
Reggie Jackson,PG,29,DET,14,381,198,31,82,116,33,41,72,8,1,209,111.1
Reggie Jackson,PG,29,LAC,17,362,128,26,63,65,21,51,54,5,4,161,97.55
Justin James,SG,23,SAC,36,232,84,9,29,55,21,32,18,6,9,89,63.199999999999996
LeBron James,PG,35,LAL,67,2316,1303,148,425,878,381,525,684,78,36,1698,779.8
Amile Jefferson,PF,26,ORL,18,74,14,0,0,14,14,23,4,1,3,15,19.799999999999997
DaQuan Jeffries,SG,22,SAC,13,141,40,5,18,22,6,18,7,4,1,50,34.8
Ty Jerome,PG,22,PHO,31,328,113,14,50,63,16,46,44,15,3,102,85.2
Alize Johnson,SF,23,IND,17,118,29,3,8,21,10,48,7,3,2,34,32.3
B.J. Johnson,SF,24,ORL,10,83,32,3,9,23,10,15,3,3,0,30,21.9
Cameron Johnson,PF,23,PHO,57,1255,405,106,272,133,57,187,69,36,20,504,325.70000000000005
James Johnson,PF,32,TOT,32,619,215,33,91,124,48,118,74,25,32,270,170.54999999999998
James Johnson,PF,32,MIA,18,281,87,16,45,42,14,52,21,6,13,102,73.15
James Johnson,PF,32,MIN,14,338,128,17,46,82,34,66,53,19,19,168,97.4
Keldon Johnson,SF,20,SAS,17,301,89,13,22,67,44,57,15,14,2,154,80.95
Stanley Johnson,PF,23,TOR,25,150,59,7,24,35,16,37,20,6,4,60,44.6
Tyler Johnson,SG,27,TOT,39,709,250,38,119,131,50,76,74,16,9,274,181.85
Tyler Johnson,SG,27,PHO,31,515,171,24,83,88,32,52,50,12,8,178,128.60000000000002
Tyler Johnson,SG,27,BRK,8,194,79,14,36,43,18,24,24,4,1,96,53.24999999999999
Nikola Jokić,C,24,DEN,73,2336,1071,80,255,816,301,711,512,85,44,1456,731.5
Damian Jones,C,24,ATL,55,887,178,2,9,169,84,206,35,26,40,306,216.34999999999994
Derrick Jones Jr.,SF,22,MIA,59,1375,349,37,132,217,123,233,62,58,38,500,338.09999999999997
Tyus Jones,PG,23,MEM,65,1232,429,47,124,305,58,103,285,59,6,484,323.49999999999994
DeAndre Jordan,C,31,BRK,56,1234,287,0,0,287,122,561,105,18,52,465,334.05
Cory Joseph,PG,28,SAC,72,1759,412,56,159,253,70,188,251,53,21,458,409.4000000000001
Mfiondu Kabengele,C,22,LAC,12,64,32,9,20,12,5,11,2,2,2,42,21.049999999999994
Frank Kaminsky,C,26,PHO,39,777,307,41,124,183,90,176,75,14,10,378,217.85
Enes Kanter,C,27,BOS,58,983,348,1,7,341,99,431,56,22,41,469,280.84999999999997
Luke Kennard,SG,23,DET,28,922,342,73,183,159,75,98,115,12,6,442,247.09999999999997
Stanton Kidd,SF,27,UTA,4,15,3,0,1,2,0,3,1,0,0,0,3.4499999999999997
Michael Kidd-Gilchrist,SF-PF,26,TOT,25,281,66,5,20,46,14,67,14,2,6,60,66.3
Michael Kidd-Gilchrist,PF,26,CHO,12,160,53,5,17,36,9,35,10,0,3,48,39.85000000000001
Michael Kidd-Gilchrist,SF,26,DAL,13,121,13,0,3,10,5,32,4,2,3,12,26.449999999999992
Louis King,SF,20,DET,10,62,21,4,11,10,3,10,5,2,0,20,16.65
Maxi Kleber,C,28,DAL,74,1890,514,119,319,195,93,388,88,25,83,672,478.4
Brandon Knight,PG,28,TOT,25,462,167,45,131,36,34,41,69,10,3,183,124.74999999999999
Brandon Knight,PG,28,CLE,16,241,86,19,64,22,13,20,31,5,2,79,62.3
Brandon Knight,PG,28,DET,9,221,81,26,67,14,21,21,38,5,1,104,62.449999999999996
Kevin Knox,SF,20,NYK,65,1166,401,65,199,202,101,184,61,23,28,419,297.70000000000005
John Konchar,SG,23,MEM,19,181,37,5,10,27,2,47,22,7,3,54,46.25000000000001
Furkan Korkmaz,SG,22,PHI,72,1559,563,143,356,207,102,168,79,41,16,704,410.8000000000001
Luke Kornet,C,24,CHI,36,559,187,31,108,79,28,84,32,11,26,215,145.3
Kyle Korver,SF,38,MIL,58,960,293,99,237,56,41,122,68,26,12,386,252.54999999999998
Rodions Kurucs,PF,21,BRK,47,684,177,33,90,87,38,137,51,25,5,215,171.5
Kyle Kuzma,PF,24,LAL,61,1526,668,86,272,396,155,273,80,28,26,782,420.30000000000007
Skal Labissière,C,23,POR,33,567,147,3,13,134,33,169,42,7,31,190,143.85000000000002
Jeremy Lamb,SG,27,IND,46,1291,479,53,158,321,110,200,96,55,22,577,338.2
Romeo Langford,SG,20,BOS,32,370,80,5,27,53,25,41,13,8,8,79,82.29999999999998
Zach LaVine,SG,24,CHI,60,2085,1199,184,484,715,334,289,254,88,28,1530,659.9
Vic Law,SF,24,ORL,8,62,18,1,7,11,6,11,3,2,0,15,15.249999999999998
Jake Layman,PF,25,MIN,23,505,179,24,72,107,32,57,15,17,10,210,126.65
T.J. Leaf,PF,22,IND,28,222,86,5,18,68,16,71,9,10,4,84,61.79999999999999
Jalen Lecque,PG,19,PHO,5,32,10,0,4,6,2,2,2,0,0,10,7.75
Courtney Lee,SG,34,DAL,24,345,82,21,47,35,7,32,12,18,6,107,81.74999999999999
Damion Lee,SG,27,GSW,49,1423,511,85,239,272,126,239,133,50,6,621,378.00000000000006
Alex Len,C,26,TOT,55,970,319,16,59,260,105,321,50,23,48,438,267.5
Alex Len,C,26,ATL,40,745,260,14,56,204,81,230,42,20,33,349,206.40000000000003
Alex Len,C,26,SAC,15,225,59,2,3,56,24,91,8,3,15,89,61.1
Kawhi Leonard,SF,28,LAC,57,1848,1133,123,325,808,402,402,280,103,33,1543,627.15
Meyers Leonard,C,27,MIA,51,1034,234,53,128,106,28,260,55,14,15,309,252.85000000000002
Caris LeVert,SG,25,BRK,45,1330,732,80,220,512,197,189,199,53,10,842,401
Damian Lillard,PG,29,POR,66,2474,1349,270,674,675,518,284,530,70,22,1978,823.4499999999999
Nassir Little,PF,19,POR,48,573,151,14,59,92,44,108,22,13,14,172,140.15
Kevon Looney,C,23,GSW,20,262,79,1,14,65,12,66,20,12,6,68,64.85
Brook Lopez,C,31,MIL,68,1817,671,102,325,346,152,312,99,46,163,813,493.65000000000003
Robin Lopez,C,31,MIL,66,958,299,35,105,194,53,161,45,10,45,357,241.74999999999997
Kevin Love,PF,31,CLE,56,1780,727,146,390,337,219,547,178,33,19,987,533.2
Kyle Lowry,PG,33,TOR,58,2098,803,164,466,337,343,292,433,82,26,1126,616.3
Timothé Luwawu-Cabarrot,SG,24,BRK,47,853,269,62,160,109,81,127,29,18,7,365,221.29999999999998
Trey Lyles,PF,24,SAS,63,1271,343,65,168,175,45,361,69,28,28,404,323.4
Daryl Macon,SG,24,MIA,4,14,3,1,2,1,0,0,1,0,0,3,3.4500000000000006
J.P. Macura,SG,24,CLE,1,1,0,0,0,0,0,0,0,0,0,0,0.3
Josh Magette,PG,30,ORL,8,38,15,1,4,11,2,6,5,3,1,12,10.75
Ian Mahinmi,C,33,WAS,38,808,210,5,26,184,113,218,49,31,44,283,207.35000000000002
Thon Maker,C,22,DET,60,776,193,22,64,129,110,167,43,25,39,281,201.44999999999996
Terance Mann,SG,23,LAC,41,362,79,7,20,59,27,55,53,11,5,99,89.74999999999999
Boban Marjanović,C,31,DAL,44,422,211,4,17,194,57,197,20,8,10,289,136.95
Lauri Markkanen,PF,22,CHI,50,1492,591,109,317,274,153,313,74,42,23,737,414.1499999999999
Caleb Martin,SF,24,CHO,18,317,84,20,37,47,21,38,23,12,7,111,78.45
Cody Martin,SF,24,CHO,48,903,207,18,77,130,65,158,95,39,9,238,215.8
Jeremiah Martin,PG,23,BRK,9,99,53,5,18,35,14,10,18,7,2,64,31.05
Kelan Martin,SF,24,MIN,31,495,181,25,96,85,31,96,23,7,9,197,130.00000000000003
Frank Mason III,PG,25,MIL,9,118,51,6,21,30,17,19,29,5,1,62,35.70000000000001
Garrison Mathews,SG,23,WAS,18,227,56,19,46,10,34,24,10,8,1,98,59.54999999999999
Wesley Matthews,SG,33,MIL,67,1635,422,108,297,125,68,166,92,38,9,494,385.3500000000001
Luc Mbah a Moute,PF,33,HOU,3,25,5,0,2,3,2,2,0,2,0,5,5.55
Patrick McCaw,SF,24,TOR,37,908,162,23,71,91,18,86,79,39,4,170,194.40000000000003
CJ McCollum,SG,28,POR,70,2556,1356,194,512,844,185,297,310,54,42,1556,741.85
T.J. McConnell,PG,27,IND,71,1326,411,5,17,394,42,189,355,56,11,464,341.05000000000007
Jalen McDaniels,PF,22,CHO,16,293,70,9,24,46,17,65,13,8,3,89,70.6
Doug McDermott,PF,28,IND,69,1372,547,128,294,253,58,174,78,12,5,710,371.79999999999995
JaVale McGee,C,32,LAL,68,1130,306,3,6,300,82,390,37,36,94,446,300.00000000000006
Rodney McGruder,SG,28,LAC,56,871,181,24,89,92,34,151,36,26,8,187,197.45
Alfonzo McKinnie,SF,27,CLE,40,593,171,14,65,106,31,113,14,23,8,182,143.70000000000002
Jordan McLaughlin,PG,23,MIN,30,590,178,29,76,102,39,49,125,34,4,229,154.65
Ben McLemore,SG,26,HOU,71,1619,545,181,452,93,67,157,58,45,16,715,423.9000000000001
Jordan McRae,SG,28,TOT,37,784,366,45,126,240,109,124,93,21,16,426,225.7
Jordan McRae,SG,28,WAS,29,654,317,40,106,211,83,104,82,19,15,370,190.75
Jordan McRae,SG,28,DEN,4,32,6,2,4,2,4,5,4,2,1,9,8.399999999999999
Jordan McRae,SG,28,DET,4,98,43,3,16,27,22,15,7,0,0,47,26.55
Nicolò Melli,C,29,NOP,60,1042,323,69,206,117,73,180,82,34,23,395,273.69999999999993
De'Anthony Melton,PG,21,MEM,60,1167,401,40,140,261,121,220,175,77,20,455,315.85
Chimezie Metu,PF,22,SAS,18,105,42,0,2,40,13,33,10,3,6,58,32.300000000000004
Khris Middleton,SF,28,MIL,62,1853,947,147,354,593,227,382,265,53,7,1297,578.7500000000001
Eric Mika,PF,25,SAC,1,19,3,0,0,3,2,7,0,0,0,6,4.55
C.J. Miles,SG,32,WAS,10,161,59,11,35,24,20,12,12,10,4,64,42.65
Malcolm Miller,SF,26,TOR,28,162,29,8,22,7,8,16,11,5,2,35,39.15
Patty Mills,PG,31,SAS,66,1485,598,154,403,195,112,108,118,53,6,767,408.90000000000003
Paul Millsap,PF,34,DEN,51,1240,438,54,124,314,141,293,83,44,30,591,338.3
Shake Milton,SG,23,PHI,40,805,277,58,135,142,65,88,104,20,7,377,216
Donovan Mitchell,SG,23,UTA,69,2364,1342,173,473,869,322,304,294,70,14,1655,722.8
Naz Mitrou-Long,SG,26,IND,5,47,17,2,12,5,0,7,8,1,1,14,12.549999999999999
Adam Mokoka,SG,21,CHI,11,112,28,6,15,13,4,10,4,4,0,32,26.399999999999995
Malik Monk,SG,21,CHO,55,1169,488,58,204,284,100,157,114,25,16,564,316.59999999999997
Matt Mooney,SG,22,CLE,4,19,4,0,2,2,0,3,1,2,1,2,4.6499999999999995
E'Twaun Moore,SG,30,NOP,56,1020,437,63,167,270,45,131,78,32,11,466,271.95
Ja Morant,PG,20,MEM,67,2074,937,60,179,758,308,259,488,58,18,1193,599.9499999999999
Juwan Morgan,PF,22,UTA,21,134,26,3,8,18,4,29,6,1,2,36,32.849999999999994
Marcus Morris,SF-PF,30,TOT,62,1936,810,142,348,462,220,311,86,47,30,1033,533.5
Marcus Morris,SF,30,NYK,43,1387,636,116,264,372,198,233,59,34,17,841,399.3999999999999
Marcus Morris,PF,30,LAC,19,549,174,26,84,90,22,78,27,13,13,192,134.09999999999997
Markieff Morris,PF,30,TOT,58,1187,458,88,228,230,85,218,77,31,17,560,324.4
Markieff Morris,PF,30,DET,44,988,389,75,189,200,79,173,69,26,11,486,271.65
Markieff Morris,PF,30,LAL,14,199,69,13,39,30,6,45,8,5,6,74,52.74999999999999
Monte Morris,PG,24,DEN,73,1636,566,65,172,394,89,137,255,55,17,660,416.59999999999997
Johnathan Motley,PF,24,LAC,13,41,15,1,1,14,7,10,8,3,0,28,14.250000000000002
Emmanuel Mudiay,PG,23,UTA,54,850,327,30,87,240,83,126,116,24,10,395,230.54999999999998
Mychal Mulder,SG,25,GSW,7,204,67,16,52,15,12,23,8,2,1,77,50.900000000000006
Dejounte Murray,PG,23,SAS,66,1687,637,41,111,526,114,383,271,111,17,720,460.3500000000001
Jamal Murray,PG,22,DEN,59,1904,894,112,324,570,185,236,284,67,17,1091,545.3
Džanan Musa,SF,20,BRK,40,487,172,19,78,94,60,86,43,15,1,192,130.14999999999998
Mike Muscala,C,28,OKC,47,572,189,54,143,46,22,108,40,9,12,226,155.45000000000002
Sviatoslav Mykhailiuk,SF,22,DET,56,1265,405,115,285,120,70,104,106,41,4,504,323.54999999999995
Abdel Nader,SF,26,OKC,55,867,263,48,128,135,66,100,38,23,20,345,218.55000000000004
Larry Nance Jr.,C,27,CLE,56,1472,431,56,159,272,74,409,123,56,22,564,385.40000000000003
Shabazz Napier,PG,28,TOT,56,1344,456,76,240,216,153,158,262,69,11,578,367.85
Shabazz Napier,PG,28,MIN,36,856,283,47,159,124,88,110,187,40,7,347,234.1
Shabazz Napier,PG,28,WAS,20,488,173,29,81,92,65,48,75,29,4,231,133.75000000000003
Raul Neto,PG,27,PHI,54,668,222,34,88,134,47,61,95,24,6,275,175.65
Malik Newman,SG,22,CLE,1,4,2,0,1,1,2,0,0,0,0,2,1.2000000000000002
Georges Niang,PF,26,UTA,66,923,322,90,225,97,24,127,44,18,5,392,244.5
Joakim Noah,C,34,LAC,5,50,8,0,0,8,8,16,7,1,1,14,12.95
Nerlens Noel,C,25,OKC,61,1127,269,1,3,266,106,300,57,59,91,449,292.8
Zach Norvell,SG,22,TOT,5,41,12,3,8,4,1,6,3,2,0,10,10.350000000000001
Zach Norvell,SG,22,LAL,2,5,1,0,0,1,0,1,0,0,0,0,1.2000000000000002
Zach Norvell,SG,22,GSW,3,36,11,3,8,3,1,5,3,2,0,10,9.150000000000002
Jaylen Nowell,SG,20,MIN,15,151,53,3,26,27,17,13,19,3,1,57,39.3
Frank Ntilikina,PG,21,NYK,57,1187,333,44,137,196,59,121,172,54,16,357,289.44999999999993
Kendrick Nunn,SG,24,MIA,67,1962,914,137,391,523,100,180,220,56,15,1024,537.8000000000001
Jusuf Nurkić,C,25,POR,8,253,109,2,10,99,35,82,32,11,16,141,75.25000000000001
David Nwaba,SF,27,BRK,20,268,71,12,28,43,27,45,8,11,12,104,68.69999999999999
Royce O'Neale,PF,26,UTA,71,2049,365,92,244,121,55,389,180,59,32,450,471.3999999999999
Kyle O'Quinn,C,29,PHI,29,313,85,7,27,58,20,116,51,7,24,102,88.60000000000001
Semi Ojeleye,PF,25,BOS,69,1011,196,48,127,69,32,145,37,21,5,236,228.95
Jahlil Okafor,C,24,NOP,30,467,162,1,3,159,62,127,37,7,22,243,129.6
Elie Okobo,PG,22,PHO,55,719,181,25,71,110,71,90,115,24,4,219,179.95000000000002
Josh Okogie,SG,21,MIN,62,1547,398,41,154,244,191,268,99,68,26,533,382.00000000000006
KZ Okpala,SF,20,MIA,5,26,5,0,1,4,2,5,1,2,1,7,6.6499999999999995
Victor Oladipo,SG,27,IND,19,528,246,33,104,142,59,75,56,17,4,275,148.5
Kelly Olynyk,C,28,MIA,67,1300,398,95,234,164,100,305,116,45,23,549,354.95000000000005
Miye Oni,SG,22,UTA,10,109,32,7,19,13,5,17,4,4,2,35,27.549999999999994
Cedi Osman,SF,24,CLE,65,1910,609,123,321,288,94,231,154,54,16,718,477.05
Kelly Oubre Jr.,SF,24,PHO,56,1933,826,108,307,519,246,361,85,71,40,1046,538.4
Tariq Owens,PF,24,PHO,3,15,5,0,2,3,2,3,0,1,0,4,3.95
Jeremy Pargo,PG,33,GSW,3,44,22,3,7,15,1,3,8,1,0,25,12.550000000000002
Jabari Parker,PF,24,TOT,38,917,429,32,119,310,81,214,68,45,16,531,265.3
Jabari Parker,PF,24,ATL,32,837,393,31,115,278,72,191,58,42,15,480,241.04999999999998
Jabari Parker,PF,24,SAC,6,80,36,1,4,32,9,23,10,3,1,51,24.250000000000004
Chandler Parsons,SF,31,ATL,5,54,18,4,14,4,0,7,3,4,1,14,13.75
Eric Paschall,PF,23,GSW,60,1654,640,37,129,511,212,275,127,32,13,837,438.25
Anžejs Pasečņiks,C,24,WAS,27,437,116,0,3,113,58,107,18,9,12,156,108.65
Patrick Patterson,PF,30,LAC,59,776,233,67,172,61,43,151,41,7,3,292,203.74999999999997
Justin Patton,C,22,OKC,5,24,10,1,4,6,0,5,2,0,0,9,6.75
Chris Paul,PG,34,OKC,70,2208,887,111,304,583,279,349,472,111,11,1232,643.8000000000001
Cameron Payne,PG,25,PHO,8,183,68,15,29,39,7,31,24,8,2,87,50.550000000000004
Elfrid Payton,PG,25,NYK,45,1246,440,14,69,371,86,212,323,70,17,449,331.90000000000003
Gary Payton II,PG,27,WAS,29,432,116,13,46,70,8,80,48,33,7,113,107.04999999999998
Norvel Pelle,C,26,PHI,24,232,48,0,1,47,14,72,8,3,31,57,58.65
Theo Pinson,SG,24,BRK,33,365,155,15,80,75,16,54,56,17,4,120,98.85000000000001
Mason Plumlee,C,29,DEN,61,1057,288,0,5,283,155,317,154,33,38,437,288.00000000000006
Jakob Poeltl,C,24,SAS,66,1171,266,0,0,266,86,375,116,37,95,372,302.65
Vincent Poirier,C,26,BOS,22,130,36,1,2,34,7,43,8,2,9,41,35.45
Shamorie Ponds,PG,21,TOR,4,11,5,1,2,3,2,1,2,0,1,9,4.1
Jordan Poole,SG,20,GSW,57,1274,502,74,265,237,119,118,134,35,10,503,331.34999999999997
Kevin Porter Jr.,SF,19,CLE,50,1162,421,53,158,263,101,162,109,46,14,498,304
Michael Porter Jr.,PF,21,DEN,55,903,383,62,147,236,72,259,46,27,25,512,266.9
Otto Porter,SF,26,CHI,14,331,140,24,62,78,27,48,25,15,6,167,91.69999999999999
Bobby Portis,C,24,NYK,66,1393,589,67,187,402,93,338,98,32,18,668,384.40000000000003
Kristaps Porziņģis,PF,24,DAL,57,1814,932,142,403,529,283,540,102,41,115,1164,571.95
Dwight Powell,C,28,DAL,40,1061,229,10,39,190,111,227,59,34,22,376,256.9
Norman Powell,SG,26,TOR,52,1479,598,109,273,325,153,190,91,60,21,830,410.95
Taurean Prince,SF,25,BRK,64,1857,739,146,431,308,89,381,116,57,25,773,500.9000000000001
Chasson Randle,PG,26,GSW,3,40,4,0,2,2,6,2,5,2,0,5,8.450000000000001
Julius Randle,PF,25,NYK,64,2080,1006,64,231,775,352,622,198,51,22,1248,621.5500000000001
Josh Reaves,SG,22,DAL,4,28,9,0,2,7,2,3,3,0,0,8,6.849999999999999
Cam Reddish,SF,20,ATL,58,1551,554,83,250,304,126,216,87,62,28,610,396.45
J.J. Redick,SG,35,NOP,60,1581,631,180,397,234,185,151,119,20,10,917,446.5
Naz Reid,C,20,MIN,30,495,243,32,97,146,53,124,35,19,22,269,148.5
Josh Richardson,SG,26,PHI,55,1693,646,85,249,397,141,174,162,52,36,755,440.4
Austin Rivers,SG,27,HOU,68,1594,501,96,270,231,111,175,113,49,10,596,397.3
Andre Roberson,SG,28,OKC,7,87,29,3,14,15,2,27,4,1,3,20,22.150000000000002
Duncan Robinson,SG,25,MIA,73,2166,687,270,606,81,72,232,102,35,19,983,568.1999999999999
Glenn Robinson III,SF,26,TOT,62,1786,592,77,197,395,86,270,96,54,16,727,444.95000000000005
Glenn Robinson III,SF,26,GSW,48,1516,507,68,170,337,74,226,85,45,14,619,377.85
Glenn Robinson III,SF,26,PHI,14,270,85,9,27,58,12,44,11,9,2,108,67.10000000000001
Jerome Robinson,SG,22,TOT,63,979,310,49,153,157,57,129,87,28,17,319,245.2
Jerome Robinson,SG,22,LAC,42,476,136,19,67,69,19,60,46,13,8,122,115.59999999999998
Jerome Robinson,SG,22,WAS,21,503,174,30,86,88,38,69,41,15,9,197,129.60000000000002
Justin Robinson,PG,22,WAS,9,49,12,3,5,7,0,5,7,0,1,13,12.45
Mitchell Robinson,C,21,NYK,61,1412,341,0,0,341,148,428,36,52,119,590,367.9
Isaiah Roby,SF,21,OKC,3,11,1,0,0,1,0,2,0,0,0,0,2.3499999999999996
Rajon Rondo,PG,33,LAL,48,984,328,41,125,203,41,142,240,40,2,342,260.2
Derrick Rose,PG,31,DET,50,1298,753,45,147,606,139,121,278,40,16,904,394.55
Terrence Ross,SG,28,ORL,69,1889,846,177,504,342,184,222,82,77,24,1016,530.2
Terry Rozier,PG,25,CHO,63,2164,941,172,423,518,190,276,259,61,10,1134,602.95
Ricky Rubio,PG,29,PHO,65,2016,692,78,216,476,226,304,570,94,11,847,559.2499999999999
D'Angelo Russell,PG,23,TOT,45,1452,846,158,431,415,199,177,285,48,13,1039,470.35
D'Angelo Russell,PG,23,GSW,33,1060,635,120,321,314,144,122,206,31,9,779,345.65
D'Angelo Russell,PG,23,MIN,12,392,211,38,110,101,55,55,79,17,4,260,124.7
Domantas Sabonis,PF,23,IND,62,2159,848,17,67,781,296,771,310,47,30,1147,625.9
Luka Šamanić,PF,20,SAS,3,48,16,3,8,8,4,10,6,0,2,16,12.749999999999998
JaKarr Sampson,SF,26,IND,34,471,115,2,13,102,27,88,21,16,12,156,112.99999999999999
Dario Šarić,PF,25,PHO,66,1632,538,84,235,303,128,406,123,37,16,704,436.75
Tomáš Satoranský,PG,28,CHI,65,1878,551,64,199,352,121,254,354,80,7,644,475.2999999999999
Admiral Schofield,SF,22,WAS,33,368,92,19,61,31,15,47,15,8,4,99,87.75000000000001
Dennis Schröder,PG,26,OKC,65,1999,965,125,325,640,236,236,262,45,14,1229,576.9999999999999
Mike Scott,PF,31,PHI,68,1207,350,80,217,133,37,248,56,21,5,408,303.25
Thabo Sefolosha,PF,35,HOU,41,436,91,15,54,37,8,93,25,24,12,92,105.30000000000001
Collin Sexton,SG,21,CLE,65,2143,1086,97,255,831,267,204,192,65,7,1349,603
Landry Shamet,SG,22,LAC,53,1452,391,111,296,95,76,100,99,20,10,492,347.09999999999997
Marial Shayok,SG,24,PHI,4,28,12,2,6,6,4,7,1,0,1,11,8.1
Iman Shumpert,SG,29,BRK,13,241,64,8,33,31,7,34,12,12,2,54,55.50000000000001
Pascal Siakam,PF,25,TOR,60,2110,1104,131,365,739,303,439,207,61,53,1371,640.3000000000001
Chris Silva,PF,23,MIA,44,346,78,0,3,75,55,126,23,9,21,133,96.5
Ben Simmons,PG,23,PHI,57,2017,647,2,7,640,298,444,455,119,33,937,557.7
Anfernee Simons,SG,20,POR,70,1449,536,75,226,310,92,152,97,26,10,579,364.45000000000005
Alen Smailagić,PF,19,GSW,14,139,40,3,13,27,19,27,13,3,4,59,37.449999999999996
Marcus Smart,SG,25,BOS,60,1919,682,137,395,287,152,225,291,101,29,776,514.2
Dennis Smith Jr.,PG,22,NYK,34,537,211,16,54,157,53,78,98,28,8,187,143.04999999999998
Ish Smith,PG,31,WAS,68,1787,689,62,169,520,86,219,334,59,30,740,469.8499999999999
J.R. Smith,SG,34,LAL,6,79,22,1,11,11,2,5,3,1,0,17,17.200000000000003
Zhaire Smith,SG,20,PHI,7,32,11,0,3,8,4,2,2,3,0,8,8.25
Tony Snell,SF,28,DET,59,1641,382,102,254,128,32,111,127,32,15,474,374.49999999999994
Omari Spellman,PF,22,GSW,49,886,295,43,110,185,92,219,47,33,24,370,238.70000000000002
Max Strus,SG,23,CHI,2,6,3,0,1,2,1,1,0,0,0,5,2.05
Edmond Sumner,PG,24,IND,31,447,142,14,53,89,29,46,55,15,9,152,112.00000000000001
Caleb Swanigan,PF,22,TOT,27,288,47,0,2,45,17,100,31,3,7,65,71.14999999999999
Caleb Swanigan,PF,22,SAC,7,23,4,0,0,4,2,7,2,1,2,5,6.5
Caleb Swanigan,PF,22,POR,20,265,43,0,2,41,15,93,29,2,5,60,64.65
Jayson Tatum,PF,21,BOS,66,2265,1226,189,469,757,313,460,200,93,57,1547,704.65
Jeff Teague,PG,31,TOT,59,1464,489,43,117,372,197,142,308,44,19,641,388.3
Jeff Teague,PG,31,MIN,34,945,324,33,87,237,144,88,208,25,13,448,256.1
Jeff Teague,PG,31,ATL,25,519,165,10,30,135,53,54,100,19,6,193,132.20000000000002
Garrett Temple,SG,33,BRK,62,1730,587,127,386,201,87,218,156,49,29,641,443.80000000000007
Daniel Theis,C,27,BOS,65,1566,426,32,96,330,114,426,111,37,84,601,405.55
Isaiah Thomas,PG,30,WAS,40,925,426,78,189,237,76,68,146,13,6,488,259.20000000000005
Khyri Thomas,SG,23,DET,8,61,17,5,14,3,4,1,3,3,0,17,15
Lance Thomas,SF,31,BRK,7,98,23,4,13,10,4,13,6,0,0,24,22.45
Matt Thomas,SG,25,TOR,41,440,150,47,99,51,12,61,22,10,1,202,119.5
