Player,Pos,Age,Tm,G2019,MP,zAge,zGPlayed,zMP,zFGA,z3PA,zFTA,zTRB,zAST,zSTL,zBLK,zPTS,puntPctFV
Willie Cauley-Stein,C,26,TOT,54,1097,0.11,0.52,0.18,-0.16,-0.94,-0.24,0.82,-0.24,0.68,1.68,-0.14,146.58
Marquese Chriss,PF,22,GSW,59,1196,-0.86,0.74,0.31,0.09,-0.68,0.58,1.12,0.14,0.31,1.72,0.24,190.78
Brandon Clarke,PF,23,MEM,58,1300,-0.62,0.69,0.46,0.38,-0.5,0.18,1,-0.15,0.05,1.15,0.59,211.88
Jordan Clarkson,SG,27,TOT,71,1705,0.35,1.27,1.02,1.57,1.92,0.66,0.05,0.34,0.57,-0.15,1.48,318.68
Pat Connaughton,SG,27,MIL,67,1243,0.35,1.09,0.38,-0.17,0.2,-0.48,0.63,0.08,-0.21,0.46,-0.21,152.18
Robert Covington,PF-C,29,TOT,70,2137,0.83,1.22,1.61,1.13,2.38,0.29,1.72,-0.09,3.14,2.98,0.99,328.4
Torrey Craig,SF,29,DEN,58,1072,0.83,0.69,0.14,-0.27,0.01,-0.52,0.06,-0.45,-0.28,0.66,-0.31,120.93
Jae Crowder,SF,29,TOT,65,1875,0.83,1,1.25,0.64,1.79,0.3,1.24,0.56,1.54,0.18,0.55,266.5
Jarrett Culver,SG,20,MIN,63,1506,-1.35,0.91,0.74,0.66,0.59,0.22,0.2,0.11,0.98,0.75,0.31,208.48
Seth Curry,SG,29,DAL,64,1576,0.83,0.96,0.84,0.67,1.28,0.04,-0.21,0.23,0.27,-0.43,0.81,237.43
Anthony Davis,PF,26,LAL,62,2131,0.11,0.87,1.6,2.28,0.56,3.94,2.41,0.91,2.25,5.01,2.74,475.9
Terence Davis,SG,22,TOR,72,1209,-0.86,1.31,0.33,0.25,0.73,-0.31,0.35,0.15,0.31,-0.23,0.22,192.82
Matthew Dellavedova,PG,29,CLE,57,821,0.83,0.65,-0.2,-0.56,-0.32,-0.51,-0.63,0.73,-0.4,-0.72,-0.63,86.62
DeMar DeRozan,SF,30,SAS,68,2316,1.08,1.13,1.86,2.13,-0.7,3.27,1.18,2.5,1.47,0.02,2.48,417.78
Gorgui Dieng,C,30,TOT,63,1096,1.08,0.91,0.18,0.03,0.11,0.08,1.06,-0.22,0.76,1.6,0.04,183.12
Spencer Dinwiddie,SG,26,BRK,64,1994,0.11,0.96,1.42,2.05,1.83,3.22,0.25,2.96,0.35,0.06,2.04,407.42
Donte DiVincenzo,SG,23,MIL,66,1520,-0.62,1.05,0.76,0.48,0.77,-0.06,0.84,0.5,2.03,0.02,0.38,229.2
Luka Dončić,PG,20,DAL,61,2047,-1.35,0.82,1.49,2.77,2.81,4.28,2.38,3.9,1.17,-0.23,3.08,560.8
Goran Dragić,PG,33,MIA,59,1663,1.81,0.74,0.96,1.13,1.4,1.4,0.05,1.8,0.35,-0.39,1.19,301.75
Andre Drummond,C,26,TOT,57,1879,0.11,0.65,1.26,1.32,-0.7,1.84,4.15,0.48,2.92,2.98,1.32,370.9
Kris Dunn,PG,25,CHI,51,1269,-0.14,0.38,0.42,-0.04,-0.17,-0.35,0.04,0.67,2.62,-0.11,-0.17,154.85
Joel Embiid,C,25,PHI,51,1506,-0.14,0.38,0.74,1.37,0.25,3.12,2.5,0.48,0.54,1.84,1.7,363.9
James Ennis,SF,29,TOT,69,1265,0.83,1.18,0.41,0.01,0.22,0.05,0.4,-0.31,0.16,0.1,0.01,161.22
Derrick Favors,C,28,NOP,51,1243,0.59,0.38,0.38,-0.05,-0.9,-0.2,1.95,-0.15,-0.02,1.07,0.03,179.6
Terrance Ferguson,SF,21,OKC,56,1257,-1.11,0.6,0.4,-0.42,0.22,-0.66,-0.64,-0.41,-0.13,-0.11,-0.53,89.85
Bruno Fernando,C,21,ATL,56,713,-1.11,0.6,-0.35,-0.48,-0.69,-0.38,0.11,-0.43,-0.47,-0.11,-0.49,93.1
Dorian Finney-Smith,PF,26,DAL,71,2120,0.11,1.27,1.59,0.51,1.15,0.14,1.37,0.14,0.54,0.79,0.54,249.75
Bryn Forbes,SG,26,SAS,63,1579,0.11,0.91,0.84,0.69,1.7,-0.02,-0.32,0.09,0.09,-0.8,0.61,224.38
Evan Fournier,SG,27,ORL,66,2076,0.35,1.05,1.53,1.76,2.06,1.16,-0.05,0.99,1.5,-0.19,1.81,357.55
De'Aaron Fox,PG,22,SAC,51,1634,-0.86,0.38,0.92,1.41,0.34,2.27,0.1,2.22,1.62,0.22,1.48,324.88
Markelle Fultz,PG,21,ORL,72,1996,-1.11,1.31,1.42,1.28,-0.01,0.61,0.35,2.4,2.21,-0.35,0.99,295.08
Danilo Gallinari,PF,31,OKC,62,1834,1.32,0.87,1.19,1.42,2.1,1.87,0.86,0.19,0.42,-0.59,1.67,344
Langston Galloway,SG,28,DET,66,1702,0.59,1.05,1.01,0.57,1.35,-0.07,-0.18,0.03,0.65,-0.35,0.54,217.57
Darius Garland,PG,20,CLE,59,1824,-1.35,0.74,1.18,1.06,1.11,-0.19,-0.41,1.16,0.42,-0.63,0.66,243.3
Rudy Gay,PF,33,SAS,67,1461,1.81,1.09,0.68,0.74,0.58,0.4,1.11,0.14,0.16,0.54,0.65,247.02
Taj Gibson,C,34,NYK,62,1025,2.05,0.87,0.08,-0.21,-0.85,-0.33,0.53,-0.4,-0.13,0.42,-0.16,130.22
Shai Gilgeous-Alexander,SG,21,OKC,70,2428,-1.11,1.22,2.01,2.03,0.79,2.41,1.41,1.19,1.8,1.11,2.07,401.72
Rudy Gobert,C,27,UTA,68,2333,0.35,1.13,1.88,0.62,-0.95,2.83,4.46,0.03,0.76,4.68,1.36,349.5
Aaron Gordon,PF,24,ORL,62,2017,-0.38,0.87,1.45,1.27,0.7,1.2,1.79,1.15,0.76,0.79,1.05,318.8
Devonte' Graham,PG,24,CHO,63,2211,-0.38,0.91,1.71,1.87,3.11,1.28,0.2,3.31,1.17,-0.19,1.64,401.47
Treveon Graham,SG,26,TOT,55,929,0.11,0.56,-0.05,-0.35,-0.12,-0.33,-0.18,-0.47,-0.25,-0.55,-0.48,98.35
Jerami Grant,PF,25,DEN,71,1892,-0.14,1.27,1.27,0.86,0.8,0.94,0.41,-0.09,0.72,1.52,0.95,260.22
Danny Green,SG,32,LAL,68,1687,1.56,1.13,0.99,0.36,1.32,-0.41,0.28,-0.06,2.03,0.5,0.23,207.55
JaMychal Green,PF,29,LAC,63,1307,0.83,0.91,0.47,-0.01,0.7,-0.41,1.26,-0.43,-0.06,0.18,-0.04,179.52
Tim Hardaway Jr.,SG,27,DAL,71,2091,0.35,1.27,1.55,1.63,2.61,0.82,0.32,0.35,0.39,-0.59,1.58,341.42
James Harden,SG,30,HOU,68,2483,1.08,1.13,2.09,3.56,4.9,6.45,1.61,3.67,3.52,1.64,4.43,690.78
Maurice Harkless,SF,26,TOT,62,1427,0.11,0.87,0.63,-0.22,-0.27,-0.24,0.37,-0.26,1.02,0.54,-0.21,138.25
Montrezl Harrell,C,26,LAC,63,1749,0.11,0.91,1.08,1.4,-0.82,2.36,1.61,0.08,0.31,2.13,1.7,325.1
Gary Harris,SG,25,DEN,56,1780,-0.14,0.6,1.12,0.5,0.51,-0,-0.1,0.18,1.69,-0.23,0.31,196.65
Joe Harris,SF,28,BRK,69,2123,0.59,1.18,1.59,1.32,1.87,-0.03,0.72,0.41,0.39,-0.11,1.29,314.85
Tobias Harris,PF,27,PHI,72,2469,0.35,1.31,2.07,2.52,1.53,1.13,1.91,1.15,0.83,0.83,2.26,440.58
Josh Hart,SF,24,NOP,65,1755,-0.38,1,1.09,0.54,1.51,0.2,1.49,0.09,1.21,0.14,0.49,253.15
Jaxson Hayes,C,19,NOP,64,1080,-1.59,0.96,0.15,-0.3,-0.92,0.89,0.48,-0.37,-0.17,1.44,0.06,144.28
Gordon Hayward,SF,29,BOS,52,1740,0.83,0.43,1.06,1.06,0.59,0.48,1.02,1.01,0.27,0.1,1.08,290.38
Tyler Herro,SG,20,MIA,55,1508,-1.35,0.56,0.74,0.85,1.12,0.07,0.27,0.21,0.13,-0.43,0.69,240.5
Mario Hezonja,PF,24,POR,53,871,-0.38,0.47,-0.13,-0.42,-0.41,-0.31,0.03,-0.42,0.2,-0.43,-0.45,101.02
Buddy Hield,SG,27,SAC,72,2216,0.35,1.31,1.72,2.48,3.82,0.4,0.9,1.02,1.32,-0.11,2.19,444.02
George Hill,PG,33,MIL,59,1271,1.81,0.74,0.42,0.06,0.27,0.08,-0.02,0.73,0.61,-0.59,0.25,183.85
Solomon Hill,SF,28,TOT,59,1088,0.59,0.74,0.17,-0.24,0.24,-0.35,-0.09,0.06,0.46,-0.31,-0.29,130.88
Aaron Holiday,PG,23,IND,66,1617,-0.62,1.05,0.9,0.64,0.59,-0.05,-0.14,1.13,0.91,-0.15,0.42,220.23
Jrue Holiday,SG,29,NOP,61,2117,0.83,0.82,1.58,2,1.45,0.82,0.69,2.75,2.55,1.15,1.69,394.15
Justin Holiday,SG,30,IND,73,1826,1.08,1.36,1.18,0.4,1.35,-0.23,0.35,-0.04,2.1,1.07,0.36,222.43
Rondae Hollis-Jefferson,SF,25,TOR,60,1122,-0.14,0.78,0.21,-0.08,-0.79,0.46,0.63,0.07,0.57,0.14,-0.07,152
Al Horford,C,33,PHI,67,2025,1.81,1.09,1.46,1.09,1.02,-0.11,1.67,1.53,0.8,1.68,0.82,309.08
Danuel House,SF,26,HOU,63,1913,0.11,0.91,1.3,0.56,1.51,-0.02,0.53,-0.11,1.35,0.58,0.5,234.12
Dwight Howard,C,34,LAL,69,1306,2.05,1.18,0.47,-0.24,-0.91,1.11,1.98,-0.47,0.01,2.41,0.16,186.22
Kevin Huerter,SG,21,ATL,56,1760,-1.11,0.6,1.09,0.78,1.37,-0.26,0.29,1.02,0.76,0.3,0.55,249.75
De'Andre Hunter,SF,22,ATL,63,2018,-0.86,0.91,1.45,1.01,1.16,0.47,0.65,0.13,0.5,-0.07,0.77,260.08
Serge Ibaka,C,30,TOR,55,1485,1.08,0.56,0.71,0.97,0.32,0.29,1.65,-0.18,-0.1,1.07,0.93,273.08
Ersan İlyasova,PF,32,MIL,63,986,1.56,0.91,0.02,-0.13,0,-0.05,0.74,-0.43,-0.25,-0.11,-0.08,152.05
Joe Ingles,SF,32,UTA,72,2137,1.56,1.31,1.61,0.61,1.5,0.01,0.6,2.44,1.28,-0.35,0.61,277.58
Brandon Ingram,PF,22,NOP,62,2104,-0.86,0.87,1.57,2.28,1.72,2.51,1.21,1.43,1.13,0.75,2.41,438.28
Wesley Iwundu,SF,25,ORL,52,953,-0.14,0.43,-0.02,-0.38,-0.38,0.04,-0.29,-0.33,-0.21,-0.27,-0.35,103.35
Frank Jackson,PG,21,NOP,59,797,-1.11,0.74,-0.24,-0.08,0.05,-0.16,-0.58,-0.32,-0.51,-0.63,-0.18,119.47
Jaren Jackson Jr.,C,20,MEM,57,1622,-1.35,0.65,0.9,1.22,1.61,0.85,0.5,-0.17,0.35,2.94,1.27,303.5
Justin Jackson,PF,24,DAL,65,1045,-0.38,1,0.11,-0.04,0.18,-0.39,-0.15,-0.4,-0.58,-0.39,-0.21,128.25
LeBron James,PG,35,LAL,67,2316,2.29,1.09,1.86,2.92,2,2.63,2.09,5.19,1.76,0.66,2.93,562.22
Cameron Johnson,PF,23,PHO,57,1255,-0.62,0.65,0.4,0.15,0.94,-0.32,0.05,-0.25,0.2,0.02,0.13,175.05
Nikola Jokić,C,24,DEN,73,2336,-0.38,1.36,1.89,2.2,0.82,1.9,3.22,3.67,2.03,0.99,2.36,493.85
Damian Jones,C,24,ATL,55,887,-0.38,0.56,-0.11,-0.55,-0.88,-0.08,0.16,-0.55,-0.17,0.83,-0.33,101.35
Derrick Jones Jr.,SF,22,MIA,59,1375,-0.86,0.74,0.56,-0.02,-0.03,0.28,0.32,-0.32,1.02,0.75,0.12,165
Tyus Jones,PG,23,MEM,65,1232,-0.62,1,0.36,0.23,-0.09,-0.31,-0.46,1.66,1.06,-0.55,0.09,178.43
DeAndre Jordan,C,31,BRK,56,1234,1.32,0.6,0.37,-0.21,-0.95,0.27,2.31,0.07,-0.47,1.31,0.04,186.08
Cory Joseph,PG,28,SAC,72,1759,0.59,1.31,1.09,0.17,0.16,-0.21,0.05,1.36,0.83,0.06,0.02,184.68
Enes Kanter,C,27,BOS,58,983,0.35,0.69,0.02,-0.02,-0.9,0.06,1.52,-0.37,-0.32,0.87,0.05,169.48
Maxi Kleber,C,28,DAL,74,1890,0.59,1.4,1.27,0.49,1.27,0,1.26,-0.09,-0.21,2.57,0.53,247.1
Kevin Knox,SF,20,NYK,65,1166,-1.35,1,0.27,0.14,0.43,0.08,0.03,-0.32,-0.28,0.34,-0.07,154.95
Furkan Korkmaz,SG,22,PHI,72,1559,-0.86,1.31,0.82,0.64,1.52,0.09,-0.07,-0.16,0.39,-0.15,0.6,225.93
Kyle Korver,SF,38,MIL,58,960,3.02,0.69,-0.01,-0.19,0.7,-0.47,-0.35,-0.26,-0.17,-0.31,-0.14,135.65
Kyle Kuzma,PF,24,LAL,61,1526,-0.38,0.82,0.77,0.96,0.94,0.57,0.57,-0.16,-0.1,0.26,0.78,248.22
Zach LaVine,SG,24,CHI,60,2085,-0.38,0.78,1.54,2.6,2.41,2.2,0.66,1.38,2.14,0.34,2.54,453.58
Alex Len,C,26,TOT,55,970,0.11,0.56,0,-0.11,-0.54,0.11,0.86,-0.42,-0.28,1.15,-0.02,153.6
Kawhi Leonard,SF,28,LAC,57,1848,0.59,0.65,1.21,2.39,1.31,2.82,1.35,1.61,2.7,0.54,2.57,454.38
Meyers Leonard,C,27,MIA,51,1034,0.35,0.38,0.09,-0.37,-0.06,-0.59,0.49,-0.38,-0.62,-0.19,-0.33,122.58
Damian Lillard,PG,29,POR,66,2474,0.83,1.05,2.08,3.06,3.73,3.88,0.63,3.83,1.47,0.1,3.59,580.75
Brook Lopez,C,31,MIL,68,1817,1.32,1.13,1.17,0.97,1.31,0.54,0.8,0.01,0.57,5.82,0.86,284.12
Robin Lopez,C,31,MIL,66,958,1.32,1.05,-0.01,-0.17,-0.22,-0.36,-0.11,-0.47,-0.77,1.03,-0.21,123.05
Kevin Love,PF,31,CLE,56,1780,1.32,0.6,1.12,1.14,1.76,1.15,2.23,0.71,0.09,-0.03,1.26,340.62
Kyle Lowry,PG,33,TOR,58,2098,1.81,0.69,1.56,1.38,2.28,2.28,0.68,2.97,1.91,0.26,1.59,381.9
Trey Lyles,PF,24,SAS,63,1271,-0.38,0.91,0.42,-0.04,0.22,-0.43,1.1,-0.25,-0.1,0.34,-0.1,167.93
Thon Maker,C,22,DET,60,776,-0.86,0.78,-0.26,-0.5,-0.5,0.16,-0.08,-0.48,-0.21,0.79,-0.39,101.88
Wesley Matthews,SG,33,MIL,67,1635,1.81,1.09,0.92,0.2,1.11,-0.22,-0.08,-0.05,0.27,-0.43,0.11,177.15
CJ McCollum,SG,28,POR,70,2556,0.59,1.22,2.19,3.08,2.6,0.84,0.71,1.88,0.87,0.91,2.6,477.7
T.J. McConnell,PG,27,IND,71,1326,0.35,1.27,0.49,0.17,-0.83,-0.46,0.06,2.28,0.95,-0.35,0.04,183.33
Doug McDermott,PF,28,IND,69,1372,0.59,1.18,0.56,0.59,1.09,-0.31,-0.03,-0.17,-0.69,-0.59,0.62,214.4
JaVale McGee,C,32,LAL,68,1130,1.56,1.13,0.22,-0.15,-0.91,-0.1,1.28,-0.54,0.2,3.02,-0,163.8
Rodney McGruder,SG,28,LAC,56,871,0.59,0.6,-0.13,-0.54,-0.33,-0.53,-0.17,-0.55,-0.17,-0.47,-0.61,81.6
Ben McLemore,SG,26,HOU,71,1619,0.11,1.27,0.9,0.58,2.19,-0.23,-0.14,-0.35,0.54,-0.15,0.63,230.6
Nicolò Melli,C,29,NOP,60,1042,0.83,0.78,0.1,-0.1,0.48,-0.18,0,-0.14,0.13,0.14,-0.12,146.8
De'Anthony Melton,PG,21,MEM,60,1167,-1.11,0.78,0.27,0.14,0.02,0.26,0.25,0.68,1.73,0.02,0.02,178
Khris Middleton,SF,28,MIL,62,1853,0.59,0.87,1.22,1.82,1.51,1.23,1.23,1.48,0.83,-0.51,1.99,391.6
Patty Mills,PG,31,SAS,66,1485,1.32,1.05,0.71,0.75,1.85,0.18,-0.43,0.18,0.83,-0.55,0.75,238.45
Paul Millsap,PF,34,DEN,51,1240,2.05,0.38,0.38,0.25,-0.09,0.44,0.69,-0.13,0.5,0.42,0.34,194.22
Donovan Mitchell,SG,23,UTA,69,2364,-0.62,1.18,1.93,3.04,2.33,2.09,0.75,1.74,1.47,-0.23,2.83,484.83
Malik Monk,SG,21,CHO,55,1169,-1.11,0.56,0.28,0.41,0.47,0.07,-0.14,0.14,-0.21,-0.15,0.27,182.38
E'Twaun Moore,SG,30,NOP,56,1020,1.08,0.6,0.07,0.25,0.21,-0.43,-0.29,-0.17,0.05,-0.35,0.04,155
Ja Morant,PG,20,MEM,67,2074,-1.35,1.09,1.53,1.79,0.29,1.96,0.48,3.46,1.02,-0.07,1.75,374.88
Marcus Morris,SF-PF,30,TOT,62,1936,1.08,0.87,1.34,1.4,1.47,1.16,0.8,-0.1,0.61,0.42,1.37,314.68
Markieff Morris,PF,30,TOT,58,1187,1.08,0.69,0.3,0.32,0.63,-0.07,0.23,-0.18,0.01,-0.11,0.26,187.55
Monte Morris,PG,24,DEN,73,1636,-0.38,1.36,0.92,0.65,0.25,-0.03,-0.26,1.39,0.91,-0.11,0.5,221.52
Emmanuel Mudiay,PG,23,UTA,54,850,-0.62,0.52,-0.16,-0.09,-0.34,-0.09,-0.32,0.16,-0.25,-0.39,-0.12,130.8
Dejounte Murray,PG,23,SAS,66,1687,-0.62,1.05,0.99,0.87,-0.18,0.2,1.23,1.53,2.99,-0.11,0.64,269.92
Jamal Murray,PG,22,DEN,59,1904,-0.86,0.74,1.29,1.66,1.3,0.84,0.34,1.65,1.35,-0.11,1.51,340.52
Sviatoslav Mykhailiuk,SF,22,DET,56,1265,-0.86,0.6,0.41,0.15,1.03,-0.21,-0.46,0.07,0.39,-0.63,0.13,169.95
Abdel Nader,SF,26,OKC,55,867,0.11,0.56,-0.14,-0.28,-0.06,-0.24,-0.48,-0.53,-0.28,0.02,-0.24,110.22
Larry Nance Jr.,C,27,CLE,56,1472,0.35,0.6,0.7,0.23,0.16,-0.17,1.39,0.22,0.95,0.1,0.27,210.85
Shabazz Napier,PG,28,TOT,56,1344,0.59,0.6,0.52,0.31,0.72,0.55,-0.13,1.46,1.43,-0.35,0.31,209.88
Raul Neto,PG,27,PHI,54,668,0.35,0.52,-0.41,-0.41,-0.34,-0.41,-0.72,-0.02,-0.25,-0.55,-0.4,93.7
Georges Niang,PF,26,UTA,66,923,0.11,1.05,-0.06,-0.1,0.61,-0.62,-0.32,-0.47,-0.47,-0.59,-0.13,133.5
Nerlens Noel,C,25,OKC,61,1127,-0.14,0.82,0.22,-0.27,-0.93,0.12,0.73,-0.36,1.06,2.9,0,153.9
Frank Ntilikina,PG,21,NYK,57,1187,-1.11,0.65,0.3,-0.07,0,-0.31,-0.35,0.66,0.87,-0.15,-0.21,141.4
Kendrick Nunn,SG,24,MIA,67,1962,-0.38,1.09,1.37,1.72,1.76,0.07,0,1.08,0.95,-0.19,1.35,322.48
Royce O'Neale,PF,26,UTA,71,2049,0.11,1.27,1.49,0.03,0.75,-0.34,1.27,0.73,1.06,0.5,0.01,205.65
Semi Ojeleye,PF,25,BOS,69,1011,-0.14,1.18,0.06,-0.49,-0.07,-0.55,-0.21,-0.54,-0.36,-0.59,-0.5,93.42
Elie Okobo,PG,22,PHO,55,719,-0.86,0.56,-0.34,-0.54,-0.45,-0.2,-0.54,0.15,-0.25,-0.63,-0.54,87.18
Josh Okogie,SG,21,MIN,62,1547,-1.11,0.87,0.8,0.13,0.12,0.9,0.54,0.01,1.39,0.26,0.2,186.3
Kelly Olynyk,C,28,MIA,67,1300,0.59,1.09,0.46,0.13,0.68,0.07,0.76,0.16,0.54,0.14,0.24,200.65
Cedi Osman,SF,24,CLE,65,1910,-0.38,1,1.3,0.78,1.28,0.01,0.31,0.5,0.87,-0.15,0.63,246.17
Kelly Oubre Jr.,SF,24,PHO,56,1933,-0.38,0.6,1.33,1.45,1.18,1.4,1.1,-0.11,1.5,0.83,1.4,322.17
Eric Paschall,PF,23,GSW,60,1654,-0.62,0.78,0.95,0.88,-0.05,1.09,0.58,0.26,0.05,-0.27,0.91,245.38
