Player,Pos,Age,Tm,G2019,MP,zAge,zGPlayed,zMP,zFGA,z3PA,zFTA,zTRB,zAST,zSTL,zBLK,zPTS,puntPctFV
Steven Adams,C,26,OKC,63,1680,0.11,0.91,0.98,0.38,-0.93,0.99,2.44,0.43,0.76,1.92,0.55,249.2
Bam Adebayo,PF,22,MIA,72,2417,-0.86,1.31,2,1.34,-0.85,2.64,3.36,2.39,1.91,2.98,1.64,397.9
LaMarcus Aldridge,C,34,SAS,53,1754,2.05,0.47,1.08,1.35,0.14,0.9,1.29,0.28,0.2,2.73,1.3,309.15
Jarrett Allen,C,21,BRK,70,1852,-1.11,1.22,1.22,0.34,-0.91,1.62,2.98,0.11,0.35,2.94,0.77,269.8
Kyle Anderson,PF,26,MEM,67,1330,0.11,1.09,0.5,-0.08,-0.36,-0.13,0.64,0.57,0.87,0.71,-0.14,163.32
Giannis Antetokounmpo,PF,25,MIL,63,1917,-0.14,0.91,1.31,2.72,1.08,4.89,4.1,2.27,1.13,1.88,3.3,569.28
Carmelo Anthony,PF,35,POR,58,1902,2.29,0.69,1.29,1.31,0.62,0.62,1.14,-0.11,0.68,0.3,1.05,286.75
OG Anunoby,SF,22,TOR,69,2066,-0.86,1.18,1.51,0.65,0.63,0.09,1.12,0.09,2.44,1.03,0.67,255.1
Ryan Arcidiacono,PG,25,CHI,58,930,-0.14,0.69,-0.05,-0.42,0.01,-0.5,-0.42,-0.01,-0.13,-0.67,-0.44,103.08
Trevor Ariza,SF,34,TOT,53,1493,2.05,0.47,0.72,-0.1,0.49,-0.17,0.4,-0.06,1.43,-0.19,-0.06,163.7
D.J. Augustin,PG,32,ORL,57,1420,1.56,0.65,0.62,0.32,0.45,0.81,-0.35,1.46,0.13,-0.76,0.35,200.95
Lonzo Ball,PG,22,NOP,63,2025,-0.86,0.91,1.46,1.02,1.79,-0.15,1.23,3.01,2.14,0.75,0.7,325.08
Mo Bamba,C,21,ORL,62,878,-1.11,0.87,-0.12,-0.21,-0.21,-0.42,0.74,-0.49,-0.28,2.69,-0.27,142.5
Harrison Barnes,PF,27,SAC,72,2482,0.35,1.31,2.09,1.35,0.91,1.59,1.06,0.54,0.46,-0.31,1.4,319.4
RJ Barrett,SG,19,NYK,56,1704,-1.59,0.6,1.02,1.14,0.42,1.47,0.6,0.4,0.91,-0.11,0.83,263.1
Will Barton,SF,29,DEN,58,1916,0.83,0.69,1.31,1.18,1.05,0.37,1.12,1.01,1.13,0.38,1,302
Kent Bazemore,SF-SG,30,TOT,68,1688,1.08,1.13,0.99,0.55,0.75,0.5,0.69,-0.04,1.62,0.83,0.35,222.12
Darius Bazley,PF,19,OKC,61,1130,-1.59,0.82,0.22,-0.12,0.03,-0.28,0.4,-0.5,-0.28,0.87,-0.25,137.62
Bradley Beal,SG,26,WAS,57,2053,0.11,0.65,1.5,2.92,2.39,3.32,0.38,2.21,1.5,0.14,3.03,494.3
Malik Beasley,SG,23,TOT,55,1209,-0.62,0.56,0.33,0.55,0.97,-0.24,-0.19,-0.2,0.35,-0.47,0.39,197.1
Marco Belinelli,SG,33,SAS,57,883,1.81,0.65,-0.12,-0.13,0.29,-0.31,-0.49,-0.25,-0.69,-0.76,-0.2,122.15
Dāvis Bertāns,PF,27,WAS,54,1583,0.35,0.52,0.85,0.78,2.33,0.27,0.4,-0.05,0.24,0.54,0.91,271.82
Patrick Beverley,PG,31,LAC,51,1342,1.32,0.38,0.52,-0.04,0.48,-0.41,0.52,0.76,0.87,0.22,-0.1,176.03
Goga Bitadze,C,20,IND,54,471,-1.35,0.52,-0.69,-0.63,-0.66,-0.54,-0.45,-0.66,-0.77,0.71,-0.65,66.48
Bismack Biyombo,C,27,CHO,53,1029,0.35,0.47,0.08,-0.24,-0.95,0.53,0.78,-0.42,-0.77,1.19,-0.13,136.8
Nemanja Bjelica,PF,31,SAC,72,2011,1.32,1.31,1.44,0.92,1.27,-0.08,1.69,0.93,1.17,0.83,0.9,304.8
Eric Bledsoe,PG,30,MIL,61,1646,1.08,0.82,0.94,1.07,0.54,1.11,0.62,2.04,0.98,0.26,1.09,300.72
Bogdan Bogdanović,SG,27,SAC,61,1766,0.35,0.82,1.1,1.26,2.11,0.21,0.17,0.97,1.24,-0.19,1.12,303.75
Bojan Bogdanović,SF,30,UTA,63,2083,1.08,0.91,1.54,1.78,2.22,1.68,0.48,0.3,0.13,-0.51,1.94,364.88
Isaac Bonga,SF,20,WAS,66,1250,-1.35,1.05,0.39,-0.37,-0.45,-0.07,0.26,-0.19,0.54,0.1,-0.28,124.03
Devin Booker,SG,23,PHO,70,2512,-0.62,1.22,2.13,2.85,1.81,3.8,0.71,3.17,0.68,-0.07,3.32,519.18
Chris Boucher,PF,27,TOR,62,819,0.35,0.87,-0.21,-0.17,-0.13,0.21,0.59,-0.63,-0.32,1.68,-0.09,147.73
Tony Bradley,C,22,UTA,58,663,-0.86,0.69,-0.42,-0.51,-0.93,-0.42,0.53,-0.66,-0.62,0.54,-0.38,102.68
Mikal Bridges,SF,23,PHO,73,2042,-0.62,1.36,1.48,0.4,0.4,0.27,0.68,0.28,2.66,1.07,0.51,229.88
Miles Bridges,SF,21,CHO,65,1995,-1.11,1,1.42,1.22,1.13,0.35,1.11,0.14,0.35,1.15,0.93,286.7
Malcolm Brogdon,PG,27,IND,54,1666,0.35,0.52,0.96,1.2,0.65,0.85,0.5,2.51,0.16,-0.39,1.04,301.6
Dillon Brooks,SG,24,MEM,73,2112,-0.38,1.36,1.58,2.19,1.9,1.01,0.38,0.46,1.21,0.3,1.72,364.28
Bruce Brown,SG,23,DET,58,1634,-0.62,0.69,0.92,0.28,-0.28,0.24,0.57,1.17,1.21,0.38,0.16,200.08
Jaylen Brown,SF,23,BOS,57,1934,-0.62,0.65,1.33,1.64,1.4,1.37,1.12,0.18,1.28,0.02,1.67,347.82
Sterling Brown,SF,24,MIL,52,767,-0.38,0.43,-0.28,-0.31,-0,-0.48,0.02,-0.41,-0.06,-0.51,-0.43,109.8
Troy Brown Jr.,SG,20,WAS,69,1782,-1.35,1.18,1.12,0.82,0.29,0.42,1.23,0.71,2.03,-0.51,0.63,258.55
Jalen Brunson,PG,23,DAL,57,1022,-0.62,0.65,0.07,0.1,-0.12,-0.16,-0.28,0.8,-0.32,-0.63,0.04,158.07
Alec Burks,SG,28,TOT,66,1754,0.59,1.05,1.08,1.27,1.14,1.57,0.62,0.81,1.17,-0.11,1.28,310.8
Jimmy Butler,SF,30,MIA,58,1959,1.08,0.69,1.37,1.24,-0.12,3.94,1.25,2.23,2.7,0.5,1.66,356.35
Kentavious Caldwell-Pope,SG,26,LAL,69,1762,0.11,1.18,1.1,0.47,0.71,0.09,-0.23,0.12,0.98,-0.23,0.46,203
Jevon Carter,PG,24,PHO,58,945,-0.38,0.69,-0.03,-0.35,0.07,-0.6,-0.37,-0.12,0.61,-0.11,-0.38,113.5
Vince Carter,SF,43,ATL,60,876,4.23,0.78,-0.13,-0.16,0.45,-0.58,-0.34,-0.44,-0.28,0.22,-0.35,118.1
Alex Caruso,PG,25,LAL,64,1175,-0.14,0.96,0.29,-0.2,-0.12,0.01,-0.34,0.23,1.47,-0.07,-0.23,132.75
