Player,Pos,Age,Tm,G2019,puntASTFV2019,G2018,puntASTFV2018,FV%Diff,FVDiff
Jalen Brunson,PG,23,DAL,57,143.45,73,205.68,-0.30255737067289,-62.23
Thomas Bryant,C,22,WAS,46,199.38,72,250.65,-0.2045481747456613,-51.27
Reggie Bullock,SG,28,NYK,29,82.23,63,238.98,-0.6559126286718554,-156.75
Trey Burke,PG,27,TOT,33,75.02,58,184,-0.5922826086956522,-108.98
Alec Burks,SG,28,TOT,66,310.35,64,193.85,0.6009801392829509,116.5
Deonte Burton,SG,26,OKC,39,45.45,32,30.77,0.47708807279818016,14.68
Jimmy Butler,SF,30,MIA,58,341.72,65,363.85,-0.06082176721176307,-22.13
Bruno Caboclo,C,24,TOT,30,39.88,34,109.3,-0.6351326623970722,-69.42
Devontae Cacok,C,23,LAL,1,2.17,0,0,0,2.17
Kentavious Caldwell-Pope,SG,26,LAL,69,202.98,82,307,-0.33882736156351795,-104.02
Vlatko Čančar,SF,22,DEN,14,7.25,0,0,0,7.25
Clint Capela,C,25,HOU,39,211.1,67,379.63,-0.4439322498221953,-168.53
DeMarre Carroll,SF-PF,33,TOT,24,35.05,67,262.62,-0.8665372020409717,-227.57
Jevon Carter,PG,24,PHO,58,111.87,39,71.88,0.5563439065108515,39.99
Vince Carter,SF,43,ATL,60,122.18,76,204.88,-0.4036509176103084,-82.7
Wendell Carter Jr.,C,20,CHI,43,179.65,44,164.67,0.09096981842472836,14.98
Michael Carter-Williams,SG,28,ORL,45,115.57,28,53.65,1.1541472506989747,61.92
Alex Caruso,PG,25,LAL,64,127.88,25,72.75,0.7578006872852233,55.13
Willie Cauley-Stein,C,26,TOT,54,150.12,81,337.53,-0.5552395342636209,-187.41
Tyson Chandler,C,37,HOU,26,20.65,55,92.72,-0.7772864538395168,-72.07
Wilson Chandler,SF,32,BRK,35,87.35,51,128.88,-0.3222377405338299,-41.53
Joe Chealey,PG,24,CHO,4,2.25,1,0.62,2.629032258064516,1.63
Zylan Cheatham,SF,24,NOP,4,4.42,0,0,0,4.42
Chris Chiozza,PG,24,TOT,28,54.58,7,3.6,14.16111111111111,50.98
Marquese Chriss,PF,22,GSW,59,193.05,43,79.12,1.439964610717897,113.93
Gary Clark,PF,25,TOT,42,70.35,51,77.55,-0.09284332688588012,-7.2
Brandon Clarke,PF,23,MEM,58,216.78,0,0,0,216.78
Jordan Clarkson,SG,27,TOT,71,322.35,81,406.55,-0.20710859672856963,-84.2
Nicolas Claxton,PF,20,BRK,15,23.82,0,0,0,23.82
Chris Clemons,SG,22,HOU,33,56.75,0,0,0,56.75
Antonius Cleveland,SG,25,DAL,11,5.73,0,0,0,5.73
Amir Coffey,SG,22,LAC,18,20.18,0,0,0,20.18
John Collins,PF,22,ATL,41,277.05,61,366.6,-0.2442716857610475,-89.55
Zach Collins,PF,22,POR,11,31.8,77,192.4,-0.8347193347193347,-160.6
Mike Conley,PG,32,UTA,47,211.55,70,426.88,-0.5044274737631184,-215.33
Pat Connaughton,SG,27,MIL,67,152.45,61,164.85,-0.07521989687594786,-12.4
Quinn Cook,PG,26,LAL,44,73.4,74,166.5,-0.5591591591591591,-93.1
Tyler Cook,PF,22,TOT,13,8,0,0,0,8
Robert Covington,PF-C,29,TOT,70,349.28,35,176,0.9845454545454544,173.28
Allen Crabbe,SG,27,TOT,37,70.5,43,154.23,-0.5428904882318615,-83.73
Torrey Craig,SF,29,DEN,58,125.6,75,172.7,-0.2727272727272727,-47.1
Jamal Crawford,SG,39,BRK,1,1.38,64,160.62,-0.9914082928651475,-159.24
Jae Crowder,SF,29,TOT,65,271.35,80,347.05,-0.21812418959804059,-75.7
Jarrett Culver,SG,20,MIN,63,210.85,0,0,0,210.85
Seth Curry,SG,29,DAL,64,237.17,74,185.42,0.27909610613741775,51.75
Stephen Curry,PG,31,GSW,5,33,69,566.55,-0.9417527137940164,-533.55
Troy Daniels,SG,28,TOT,47,73.48,51,111.62,-0.3416950367317685,-38.14
Anthony Davis,PF,26,LAL,62,489.75,56,461.08,0.06218009889823895,28.67
Ed Davis,C,30,UTA,28,32.53,81,217.82,-0.8506565053714076,-185.29
Terence Davis,SG,22,TOR,72,193.22,0,0,0,193.22
Dewayne Dedmon,C,30,TOT,44,120.63,64,269.32,-0.5520941630773801,-148.69
Matthew Dellavedova,PG,29,CLE,57,69.75,48,94.85,-0.26462836056931993,-25.1
DeMar DeRozan,SF,30,SAS,68,394.05,77,455.35,-0.13462171955638522,-61.3
Cheick Diallo,C,23,PHO,47,70.5,64,143.15,-0.5075096053091164,-72.65
Hamidou Diallo,SF,21,OKC,46,114.18,51,68.52,0.6663747810858146,45.66
Gorgui Dieng,C,30,TOT,63,191.93,76,175.9,0.09113132461625924,16.03
Spencer Dinwiddie,SG,26,BRK,64,381.63,68,325.28,0.17323536645351706,56.35
Donte DiVincenzo,SG,23,MIL,66,228.85,27,52.98,3.3195545488863725,175.87
Luka Dončić,PG,20,DAL,61,537.35,72,498.3,0.07836644591611482,39.05
Luguentz Dort,SG,20,OKC,36,86.38,0,0,0,86.38
Damyean Dotson,SG,25,NYK,48,111.68,73,268.45,-0.5839821195753399,-156.77
Sekou Doumbouya,SF,19,DET,38,91.88,0,0,0,91.88
PJ Dozier,PG,23,DEN,29,57.38,6,8.72,5.580275229357798,48.66
Goran Dragić,PG,33,MIA,59,284.65,36,154.12,0.8469374513366206,130.53
Andre Drummond,C,26,TOT,57,386.78,79,532.35,-0.27344791960176584,-145.57
Jared Dudley,SF,34,LAL,45,33.88,59,115.5,-0.7066666666666667,-81.62
Kris Dunn,PG,25,CHI,51,144.98,46,175.23,-0.17263025737602009,-30.25
Carsen Edwards,SG,21,BOS,37,49.8,0,0,0,49.8
Henry Ellenson,PF,23,BRK,5,2.52,19,42.65,-0.9409144196951934,-40.13
Wayne Ellington,SG,32,NYK,36,72.9,53,190.45,-0.6172223680756104,-117.55
Joel Embiid,C,25,PHI,51,377.65,64,562.73,-0.32889662893394706,-185.08
James Ennis,SF,29,TOT,69,167.57,58,141.9,0.18090204369274127,25.67
Drew Eubanks,PF,22,SAS,22,39.27,23,16.25,1.4166153846153848,23.02
Jacob Evans,SG,22,TOT,29,47.17,30,19.18,1.4593326381647551,27.99
Dante Exum,SG,24,TOT,35,54.85,42,87.5,-0.3731428571428571,-32.65
Tacko Fall,C,24,BOS,7,7.95,0,0,0,7.95
Derrick Favors,C,28,NOP,51,185.85,76,307.4,-0.3954131424853611,-121.55
Cristiano Felício,PF,27,CHI,22,36.2,60,91.75,-0.6054495912806539,-55.55
Terrance Ferguson,SF,21,OKC,56,91.12,74,179.88,-0.4934400711585501,-88.76
Bruno Fernando,C,21,ATL,56,95,0,0,0,95
Yogi Ferrell,PG,26,SAC,50,71.47,71,136.65,-0.47698499817050866,-65.18
Dorian Finney-Smith,PF,26,DAL,71,258,81,243.05,0.06150997737091129,14.95
Bryn Forbes,SG,26,SAS,63,226.62,82,306.2,-0.2598954931417374,-79.58
Evan Fournier,SG,27,ORL,66,354.2,81,378.75,-0.06481848184818485,-24.55
De'Aaron Fox,PG,22,SAC,51,301.92,81,412.45,-0.2679839980603709,-110.53
Melvin Frazier,SG,23,ORL,19,15.38,10,6.28,1.4490445859872614,9.1
Michael Frazier,SG,25,HOU,13,11.97,0,0,0,11.97
Tim Frazier,PG,29,DET,27,35.9,59,114.62,-0.6867911359274123,-78.72
Markelle Fultz,PG,21,ORL,72,264.78,19,53.5,3.9491588785046723,211.28
Wenyen Gabriel,PF,22,TOT,30,28.78,0,0,0,28.78
Daniel Gafford,C,21,CHI,43,73.38,0,0,0,73.38
Danilo Gallinari,PF,31,OKC,62,356.78,68,403.42,-0.11561152149124991,-46.64
Langston Galloway,SG,28,DET,66,220.55,80,231.28,-0.04639398132134205,-10.73
Darius Garland,PG,20,CLE,59,227.8,0,0,0,227.8
Marc Gasol,C,35,TOR,44,145.3,79,391.85,-0.629194844966186,-246.55
Rudy Gay,PF,33,SAS,67,252.43,69,312.12,-0.1912405485069845,-59.69
Paul George,SF,29,LAC,48,323.98,77,682.12,-0.5250395824781563,-358.14
Taj Gibson,C,34,NYK,62,133.57,70,248.35,-0.4621703241393195,-114.78
Harry Giles,PF,21,SAC,46,104.85,58,136.4,-0.23130498533724347,-31.55
Shai Gilgeous-Alexander,SG,21,OKC,70,401.38,82,271.38,0.47903309013191836,130
Rudy Gobert,C,27,UTA,68,374.5,81,457.98,-0.18227870212673045,-83.48
Brandon Goodwin,PG,24,ATL,34,71.78,16,8.08,7.883663366336634,63.7
Aaron Gordon,PF,24,ORL,62,315.95,78,423.05,-0.25316156482685265,-107.1
Eric Gordon,SF,31,HOU,36,170.12,68,348.78,-0.5122426744652789,-178.66
Devonte' Graham,PG,24,CHO,63,370.28,46,81,3.571358024691358,289.28
Treveon Graham,SG,26,TOT,55,101.62,35,79.22,0.28275687957586476,22.4
Jerami Grant,PF,25,DEN,71,269.3,80,358.65,-0.2491286769831311,-89.35
Jerian Grant,PG,27,WAS,6,8.93,60,95.2,-0.9061974789915967,-86.27
Josh Gray,PG,26,NOP,2,0.9,0,0,0,0.9
Danny Green,SG,32,LAL,68,214.1,80,297.65,-0.2806988073240383,-83.55
Draymond Green,PF,29,GSW,43,149.98,66,227.6,-0.3410369068541301,-77.62
JaMychal Green,PF,29,LAC,63,191.57,65,229.17,-0.16407034079504296,-37.6
Javonte Green,SF,26,BOS,48,61.03,0,0,0,61.03
Jeff Green,PF-C,33,TOT,48,147.35,77,299.55,-0.5080954765481556,-152.2
Blake Griffin,PF,30,DET,18,92.53,75,556.88,-0.8338421203850022,-464.35
Marko Guduric,SG,24,MEM,44,65.22,0,0,0,65.22
Kyle Guy,SG,22,SAC,3,1.6,0,0,0,1.6
Rui Hachimura,PF,21,WAS,48,206.73,0,0,0,206.73
Devon Hall,SG,24,OKC,11,10.3,0,0,0,10.3
Donta Hall,PF,22,TOT,9,15.7,0,0,0,15.7
Dusty Hannahs,SG,26,MEM,2,3.28,2,3.12,0.05128205128205118,0.16
Tim Hardaway Jr.,SG,27,DAL,71,348.62,65,363.35,-0.040539424797027705,-14.73
James Harden,SG,30,HOU,68,683.62,78,826.35,-0.1727234222786955,-142.73
Maurice Harkless,SF,26,TOT,62,142.12,60,175.93,-0.19217870744045928,-33.81
Jared Harper,PG,22,PHO,3,1.02,0,0,0,1.02
Montrezl Harrell,C,26,LAC,63,334.85,82,394.82,-0.15189200141836778,-59.97
Gary Harris,SG,25,DEN,56,195.78,57,230.8,-0.15173310225303296,-35.02
Joe Harris,SF,28,BRK,69,318.12,76,321,-0.008971962616822416,-2.88
Tobias Harris,PF,27,PHI,72,441.22,82,511.33,-0.13711301898969347,-70.11
Shaquille Harrison,SF,26,CHI,43,74.35,73,174.3,-0.5734366035570856,-99.95
Josh Hart,SF,24,NOP,65,264.15,67,205.9,0.2829043224866439,58.25
Isaiah Hartenstein,C,21,HOU,23,40.23,28,24.12,0.6679104477611938,16.11
Udonis Haslem,PF,39,MIA,4,5.85,10,12.33,-0.5255474452554745,-6.48
Jaxson Hayes,C,19,NOP,64,150.62,0,0,0,150.62
Gordon Hayward,SF,29,BOS,52,283.25,72,269.38,0.05148860345979659,13.87
John Henson,PF,29,TOT,40,87.92,14,35.17,1.4998578333807222,52.75
Dewan Hernandez,C,23,TOR,6,6.38,0,0,0,6.38
Juan Hernangómez,PF,24,TOT,48,116.77,70,161.18,-0.2755304628365803,-44.41
Willy Hernangómez,C,25,CHO,31,67.85,58,150.52,-0.5492293382939145,-82.67
Tyler Herro,SG,20,MIA,55,242,0,0,0,242
Kevin Hervey,PF,23,OKC,10,9.55,0,0,0,9.55
Mario Hezonja,PF,24,POR,53,103.92,58,182.57,-0.4307936681820671,-78.65
Buddy Hield,SG,27,SAC,72,448.28,82,522.7,-0.14237612397168561,-74.42
George Hill,PG,33,MIL,59,174,60,152.27,0.14270703355880993,21.73
Solomon Hill,SF,28,TOT,59,129,44,83.05,0.5532811559301626,45.95
Jaylen Hoard,SF,20,POR,13,15.35,0,0,0,15.35
Aaron Holiday,PG,23,IND,66,205.48,50,99.25,1.0703274559193954,106.23
Jrue Holiday,SG,29,NOP,61,367.35,67,428.5,-0.14270711785297543,-61.15
Justin Holiday,SG,30,IND,73,230.02,82,323.4,-0.28874458874458864,-93.38
Rondae Hollis-Jefferson,SF,25,TOR,60,151.7,59,190.1,-0.2019989479221463,-38.4
Richaun Holmes,C,26,SAC,44,179.22,70,189.8,-0.055742887249736625,-10.58
Rodney Hood,SF,27,POR,21,72.52,72,243.28,-0.7019072673462676,-170.76
Al Horford,C,33,PHI,67,298.62,68,312.58,-0.04466056689487485,-13.96
Talen Horton-Tucker,SG,19,LAL,6,11.77,0,0,0,11.77
Danuel House,SF,26,HOU,63,243.83,39,125.83,0.9377731860446635,118
Dwight Howard,C,34,LAL,69,201.5,9,38.45,4.240572171651495,163.05
William Howard,PF,26,HOU,2,1.15,0,0,0,1.15
Kevin Huerter,SG,21,ATL,56,240.72,75,258.72,-0.06957328385899825,-18
De'Andre Hunter,SF,22,ATL,63,265.97,0,0,0,265.97
Chandler Hutchison,SF,23,CHI,28,76.4,44,92.33,-0.17253330445142417,-15.93
Serge Ibaka,C,30,TOR,55,284.25,74,369.85,-0.23144518047857243,-85.6
Andre Iguodala,SG,36,MIA,21,45.35,68,158.67,-0.7141866767504884,-113.32
Ersan İlyasova,PF,32,MIL,63,160.1,67,175.8,-0.08930602957906722,-15.7
Joe Ingles,SF,32,UTA,72,250.98,82,343.8,-0.26998254799301924,-92.82
Brandon Ingram,PF,22,NOP,62,436.67,52,269.82,0.6183752131050331,166.85
Kyrie Irving,PG,27,BRK,20,155.35,67,465.98,-0.6666165929868234,-310.63
Jonathan Isaac,SF,22,ORL,34,155.45,75,279.38,-0.44358937647648367,-123.93
Wesley Iwundu,SF,25,ORL,52,104.55,68,124.67,-0.16138605919627821,-20.12
Frank Jackson,PG,21,NOP,59,119.92,61,158.25,-0.2422116903633491,-38.33
Jaren Jackson Jr.,C,20,MEM,57,317.45,58,250.78,0.2658505462955578,66.67
Josh Jackson,SG,22,MEM,22,67.03,79,311.97,-0.7851395967560983,-244.94
Justin Jackson,PF,24,DAL,65,131.55,81,199.35,-0.34010534236267864,-67.8
Reggie Jackson,PG,29,TOT,31,118.38,82,379.22,-0.6878329202046306,-260.84
Justin James,SG,23,SAC,36,33.62,0,0,0,33.62
LeBron James,PG,35,LAL,67,512.85,55,446.55,0.14847161572052403,66.3
Amile Jefferson,PF,26,ORL,18,9.38,12,10.33,-0.09196515004840264,-0.95
DaQuan Jeffries,SG,22,SAC,13,16.95,0,0,0,16.95
Ty Jerome,PG,22,PHO,31,42.27,0,0,0,42.27
Alize Johnson,SF,23,IND,17,17.85,14,8.4,1.125,9.45
B.J. Johnson,SF,24,ORL,10,11.95,7,7.7,0.5519480519480519,4.25
Cameron Johnson,PF,23,PHO,57,180.72,0,0,0,180.72
James Johnson,PF,32,TOT,32,97.25,55,152.15,-0.36082813013473547,-54.9
Keldon Johnson,SF,20,SAS,17,45.85,0,0,0,45.85
Stanley Johnson,PF,23,TOR,25,25.8,66,176.42,-0.853758077315497,-150.62
Tyler Johnson,SG,27,TOT,39,93.5,57,209.45,-0.5535927428980664,-115.95
Nikola Jokić,C,24,DEN,73,464.75,80,529.52,-0.1223183260311225,-64.77
Damian Jones,C,24,ATL,55,106.1,24,44.1,1.4058956916099772,62
Derrick Jones Jr.,SF,22,MIA,59,171.85,60,155.28,0.10671045852653267,16.57
Tyus Jones,PG,23,MEM,65,151.55,68,159.1,-0.0474544311753613,-7.55
DeAndre Jordan,C,31,BRK,56,191.78,69,310.28,-0.38191311073868756,-118.5
Cory Joseph,PG,28,SAC,72,165.57,82,209.18,-0.20848073429582184,-43.61
Mfiondu Kabengele,C,22,LAC,12,14.47,0,0,0,14.47
Frank Kaminsky,C,26,PHO,39,129.8,47,134.02,-0.031487837636173695,-4.22
Enes Kanter,C,27,BOS,58,177.48,67,308.9,-0.4254451278730981,-131.42
Luke Kennard,SG,23,DET,28,135.55,63,202.68,-0.33121176238405364,-67.13
Stanton Kidd,SF,27,UTA,4,1.12,0,0,0,1.12
Michael Kidd-Gilchrist,SF-PF,26,TOT,25,30.05,64,150.6,-0.8004648074369191,-120.55
Louis King,SF,20,DET,10,8.62,0,0,0,8.62
Maxi Kleber,C,28,DAL,74,258.8,71,200.68,0.2896153079529599,58.12
Brandon Knight,PG,28,TOT,25,66.7,39,90.97,-0.266791249862592,-24.27
Kevin Knox,SF,20,NYK,65,160.7,75,331.92,-0.5158471920944806,-171.22
John Konchar,SG,23,MEM,19,21.9,0,0,0,21.9
Furkan Korkmaz,SG,22,PHI,72,233.13,48,102.55,1.2733300828863967,130.58
Luke Kornet,C,24,CHI,36,79.8,46,128.12,-0.37714642522635033,-48.32
Kyle Korver,SF,38,MIL,58,138.1,70,205.4,-0.32765335929892897,-67.3
Rodions Kurucs,PF,21,BRK,47,85.93,63,188.83,-0.5449345972567918,-102.9
Kyle Kuzma,PF,24,LAL,61,257.08,70,404.95,-0.3651561921224843,-147.87
Skal Labissière,C,23,POR,33,74.97,22,25.6,1.9285156249999997,49.37
Jeremy Lamb,SG,27,IND,46,189,79,390.05,-0.5154467375977438,-201.05
Romeo Langford,SG,20,BOS,32,32.72,0,0,0,32.72
Zach LaVine,SG,24,CHI,60,452.4,63,419.55,0.07829817661780471,32.85
Vic Law,SF,24,ORL,8,7.18,0,0,0,7.18
Jake Layman,PF,25,MIN,23,68.47,71,181.55,-0.6228587166069953,-113.08
T.J. Leaf,PF,22,IND,28,36.73,58,78.6,-0.5326972010178117,-41.87
Jalen Lecque,PG,19,PHO,5,3.33,0,0,0,3.33
Courtney Lee,SG,34,DAL,24,38.27,34,51.32,-0.2542868277474668,-13.05
Damion Lee,SG,27,GSW,49,211.5,32,55.98,2.7781350482315115,155.52
Alex Len,C,26,TOT,55,161.25,77,290.68,-0.4452662721893491,-129.43
Kawhi Leonard,SF,28,LAC,57,451,60,460.2,-0.019991308126901322,-9.2
Meyers Leonard,C,27,MIA,51,126.82,61,128.78,-0.015219754620282714,-1.96
Caris LeVert,SG,25,BRK,45,255.98,40,174.42,0.46760692581126023,81.56
Damian Lillard,PG,29,POR,66,553.7,80,595.12,-0.06959940852265083,-41.42
Nassir Little,PF,19,POR,48,68.83,0,0,0,68.83
Kevon Looney,C,23,GSW,20,32.27,80,186.73,-0.8271836341241364,-154.46
Brook Lopez,C,31,MIL,68,296.7,81,373.12,-0.2048134648370498,-76.42
Robin Lopez,C,31,MIL,66,126.78,74,212.65,-0.4038090759463908,-85.87
Kevin Love,PF,31,CLE,56,348.58,22,137.55,1.5342057433660483,211.03
Kyle Lowry,PG,33,TOR,58,358,65,322.92,0.10863371732936945,35.08
Timothé Luwawu-Cabarrot,SG,24,BRK,47,122.65,50,88.27,0.389486801857936,34.38
Trey Lyles,PF,24,SAS,63,175.05,64,194.57,-0.10032379092357498,-19.52
Daryl Macon,SG,24,MIA,4,1.25,8,10.67,-0.8828491096532334,-9.42
J.P. Macura,SG,24,CLE,1,0.07,2,2.55,-0.9725490196078432,-2.48
Josh Magette,PG,30,ORL,8,5.62,0,0,0,5.62
Ian Mahinmi,C,33,WAS,38,111.4,34,60.3,0.8474295190713103,51.1
Thon Maker,C,22,DET,60,106.62,64,134.88,-0.2095195729537366,-28.26
Terance Mann,SG,23,LAC,41,37.73,0,0,0,37.73
Boban Marjanović,C,31,DAL,44,97.4,58,137.1,-0.28956965718453676,-39.7
Lauri Markkanen,PF,22,CHI,50,256.72,52,335.8,-0.23549731983323402,-79.08
Caleb Martin,SF,24,CHO,18,38.5,0,0,0,38.5
Cody Martin,SF,24,CHO,48,96.22,0,0,0,96.22
Jeremiah Martin,PG,23,BRK,9,19.5,0,0,0,19.5
Kelan Martin,SF,24,MIN,31,73.73,0,0,0,73.73
Frank Mason III,PG,25,MIL,9,20.45,38,62.98,-0.6752937440457288,-42.53
Garrison Mathews,SG,23,WAS,18,31.68,0,0,0,31.68
Wesley Matthews,SG,33,MIL,67,180.1,69,273.25,-0.34089661482159195,-93.15
Luc Mbah a Moute,PF,33,HOU,3,2.2,4,6.9,-0.6811594202898551,-4.7
Patrick McCaw,SF,24,TOR,37,68.68,29,32.65,1.1035222052067384,36.03
CJ McCollum,SG,28,POR,70,466.2,70,431.65,0.08004170045175492,34.55
T.J. McConnell,PG,27,IND,71,146.83,76,155.22,-0.054052312846282605,-8.39
Jalen McDaniels,PF,22,CHO,16,34.5,0,0,0,34.5
Doug McDermott,PF,28,IND,69,218.22,77,168.62,0.29415253232119554,49.6
JaVale McGee,C,32,LAL,68,174.38,75,304.62,-0.4275490775392292,-130.24
Rodney McGruder,SG,28,LAC,56,84.8,66,187.17,-0.5469359405887696,-102.37
Alfonzo McKinnie,SF,27,CLE,40,72.62,72,133.52,-0.45611144397843023,-60.9
Jordan McLaughlin,PG,23,MIN,30,73,0,0,0,73
Ben McLemore,SG,26,HOU,71,241.78,19,26.9,7.988104089219331,214.88
Jordan McRae,SG,28,TOT,37,137.3,27,49.65,1.7653575025176236,87.65
Nicolò Melli,C,29,NOP,60,149.45,0,0,0,149.45
De'Anthony Melton,PG,21,MEM,60,170.57,50,106.5,0.6015962441314553,64.07
Chimezie Metu,PF,22,SAS,18,19.9,29,21.95,-0.09339407744874718,-2.05
