Player,Pos,Age,Tm,G2019,puntASTFV2019,G2018,puntASTFV2018,FV%Diff,FVDiff
Khris Middleton,SF,28,MIL,62,384.05,77,449.48,-0.14556821215626947,-65.43
Eric Mika,PF,25,SAC,1,2.28,0,0,0,2.28
C.J. Miles,SG,32,WAS,10,23.55,53,124.35,-0.8106151990349819,-100.8
Malcolm Miller,SF,26,TOR,28,15.88,10,11.8,0.34576271186440677,4.08
Patty Mills,PG,31,SAS,66,240.75,82,265.3,-0.09253675084809654,-24.55
Paul Millsap,PF,34,DEN,51,199.65,70,310.05,-0.35607160135462024,-110.4
Shake Milton,SG,23,PHI,40,115.7,20,34.12,2.390973036342322,81.58
Donovan Mitchell,SG,23,UTA,69,477.65,77,537.57,-0.11146455345350385,-59.92
Naz Mitrou-Long,SG,26,IND,5,6.33,14,7.42,-0.14690026954177896,-1.09
Adam Mokoka,SG,21,CHI,11,11.8,0,0,0,11.8
Malik Monk,SG,21,CHO,55,180.68,73,218.12,-0.17164863377957087,-37.44
Matt Mooney,SG,22,CLE,4,2,0,0,0,2
E'Twaun Moore,SG,30,NOP,56,154.9,53,188.2,-0.17693942614240163,-33.3
Ja Morant,PG,20,MEM,67,334.42,0,0,0,334.42
Juwan Morgan,PF,22,UTA,21,14.65,0,0,0,14.65
Marcus Morris,SF-PF,30,TOT,62,327.83,75,355.75,-0.07848208011243855,-27.92
Markieff Morris,PF,30,TOT,58,192.4,58,197.9,-0.027791814047498736,-5.5
Monte Morris,PG,24,DEN,73,201.4,82,256.2,-0.213895394223263,-54.8
Johnathan Motley,PF,24,LAC,13,8.47,22,32.78,-0.7416107382550337,-24.31
Emmanuel Mudiay,PG,23,UTA,54,124.55,59,259.92,-0.5208140966451216,-135.37
Mychal Mulder,SG,25,GSW,7,27.25,0,0,0,27.25
Dejounte Murray,PG,23,SAS,66,254.45,0,0,0,254.45
Jamal Murray,PG,22,DEN,59,325.75,75,416.65,-0.21816872674906992,-90.9
Džanan Musa,SF,20,BRK,40,70.72,9,7.27,8.727647867950482,63.45
Mike Muscala,C,28,OKC,47,88.6,64,177.2,-0.5,-88.6
Sviatoslav Mykhailiuk,SF,22,DET,56,169.3,42,52.72,2.211305007587254,116.58
Abdel Nader,SF,26,OKC,55,113.9,61,91.7,0.24209378407851692,22.2
Larry Nance Jr.,C,27,CLE,56,213.48,67,253.27,-0.15710506574011932,-39.79
Shabazz Napier,PG,28,TOT,56,192.9,56,170.88,0.12886235955056186,22.02
Raul Neto,PG,27,PHI,54,87.47,37,64.03,0.36607840074964854,23.44
Malik Newman,SG,22,CLE,1,0.7,0,0,0,0.7
Georges Niang,PF,26,UTA,66,137.98,59,81.8,0.6867970660146698,56.18
Joakim Noah,C,34,LAC,5,6.03,42,110.58,-0.9454693434617472,-104.55
Nerlens Noel,C,25,OKC,61,160.75,77,157.62,0.019857886055069125,3.13
Zach Norvell,SG,22,TOT,5,5.05,0,0,0,5.05
Jaylen Nowell,SG,20,MIN,15,19.27,0,0,0,19.27
Frank Ntilikina,PG,21,NYK,57,129.57,43,96.08,0.34856369691923395,33.49
Kendrick Nunn,SG,24,MIA,67,313.52,0,0,0,313.52
Jusuf Nurkić,C,25,POR,8,48.22,72,387.72,-0.8756318993087795,-339.5
David Nwaba,SF,27,BRK,20,36.75,51,117.05,-0.6860316104228962,-80.3
Royce O'Neale,PF,26,UTA,71,202.62,82,171.95,0.17836580401279453,30.67
Kyle O'Quinn,C,29,PHI,29,49.38,45,61.5,-0.19707317073170727,-12.12
Semi Ojeleye,PF,25,BOS,69,97.05,56,70.38,0.3789428815004263,26.67
Jahlil Okafor,C,24,NOP,30,75.67,59,156.02,-0.5149980771695937,-80.35
Elie Okobo,PG,22,PHO,55,79.3,53,108.65,-0.2701334560515417,-29.35
Josh Okogie,SG,21,MIN,62,191.6,74,210.17,-0.08835704429747344,-18.57
KZ Okpala,SF,20,MIA,5,3.12,0,0,0,3.12
Victor Oladipo,SG,27,IND,19,89.67,36,219.33,-0.5911639994528793,-129.66
Kelly Olynyk,C,28,MIA,67,203.82,79,277.75,-0.2661746174617462,-73.93
Miye Oni,SG,22,UTA,10,14.33,0,0,0,14.33
Cedi Osman,SF,24,CLE,65,244.83,76,331.53,-0.26151479504117264,-86.7
Kelly Oubre Jr.,SF,24,PHO,56,337.18,69,341.5,-0.012650073206442148,-4.32
Tariq Owens,PF,24,PHO,3,2.07,0,0,0,2.07
Jeremy Pargo,PG,33,GSW,3,7.1,0,0,0,7.1
Jabari Parker,PF,24,TOT,38,170.35,64,301.95,-0.43583374730915714,-131.6
Chandler Parsons,SF,31,ATL,5,7.27,25,69.47,-0.8953505110119476,-62.2
Eric Paschall,PF,23,GSW,60,246.02,0,0,0,246.02
Anžejs Pasečņiks,C,24,WAS,27,55.45,0,0,0,55.45
Patrick Patterson,PF,30,LAC,59,111.8,63,99.17,0.1273570636281133,12.63
Justin Patton,C,22,OKC,5,3.67,3,3,0.2233333333333333,0.67
Chris Paul,PG,34,OKC,70,369.22,58,301.8,0.22339297548045067,67.42
Cameron Payne,PG,25,PHO,8,28.83,40,84.38,-0.6583313581417397,-55.55
Elfrid Payton,PG,25,NYK,45,159.57,42,157.95,0.010256410256410286,1.62
Gary Payton II,PG,27,WAS,29,51.38,3,3.57,13.392156862745098,47.81
Norvel Pelle,C,26,PHI,24,30.4,0,0,0,30.4
Theo Pinson,SG,24,BRK,33,52.9,18,31.12,0.6998714652956297,21.78
Mason Plumlee,C,29,DEN,61,154.32,82,240.78,-0.3590829803139796,-86.46
Jakob Poeltl,C,24,SAS,66,158.4,77,168.3,-0.05882352941176473,-9.9
Vincent Poirier,C,26,BOS,22,19.1,0,0,0,19.1
Shamorie Ponds,PG,21,TOR,4,2.6,0,0,0,2.6
Jordan Poole,SG,20,GSW,57,176.88,0,0,0,176.88
Kevin Porter Jr.,SF,19,CLE,50,164.93,0,0,0,164.93
Michael Porter Jr.,PF,21,DEN,55,175.45,0,0,0,175.45
Otto Porter,SF,26,CHI,14,55.27,56,267.05,-0.7930350121700056,-211.78
Bobby Portis,C,24,NYK,66,232.6,50,252.55,-0.07899425856266093,-19.95
Kristaps Porziņģis,PF,24,DAL,57,409.5,0,0,0,409.5
Dwight Powell,C,28,DAL,40,125.07,77,259.1,-0.517290621381706,-134.03
Norman Powell,SG,26,TOR,52,249.85,60,162.65,0.5361205041500153,87.2
Taurean Prince,SF,25,BRK,64,299.8,55,241.73,0.24022669920986234,58.07
Chasson Randle,PG,26,GSW,3,2.3,49,89.33,-0.9742527706257696,-87.03
Julius Randle,PF,25,NYK,64,408.58,73,467,-0.12509635974304073,-58.42
Josh Reaves,SG,22,DAL,4,2.9,0,0,0,2.9
Cam Reddish,SF,20,ATL,58,217.33,0,0,0,217.33
J.J. Redick,SG,35,NOP,60,270.9,76,403.28,-0.3282582820868875,-132.38
Naz Reid,C,20,MIN,30,98.85,0,0,0,98.85
Josh Richardson,SG,26,PHI,55,238.75,73,382.15,-0.3752453225173361,-143.4
Austin Rivers,SG,27,HOU,68,202.6,76,217.22,-0.06730503636865852,-14.62
Andre Roberson,SG,28,OKC,7,12.1,0,0,0,12.1
Duncan Robinson,SG,25,MIA,73,322.75,15,19.75,15.341772151898734,303
Glenn Robinson III,SF,26,TOT,62,234.43,47,68.72,2.4113795110593714,165.71
Jerome Robinson,SG,22,TOT,63,122.15,33,42.7,1.860655737704918,79.45
Justin Robinson,PG,22,WAS,9,5.15,0,0,0,5.15
Mitchell Robinson,C,21,NYK,61,209.68,66,196.82,0.06533888832435736,12.86
Isaiah Roby,SF,21,OKC,3,0.62,0,0,0,0.62
Rajon Rondo,PG,33,LAL,48,123.3,46,164.52,-0.25054704595186,-41.22
Derrick Rose,PG,31,DET,50,242.2,51,246.9,-0.019036046982584112,-4.7
Terrence Ross,SG,28,ORL,69,334.35,81,395.58,-0.15478537843166987,-61.23
Terry Rozier,PG,25,CHO,63,355.35,79,265.22,0.3398310836286856,90.13
Ricky Rubio,PG,29,PHO,65,278.55,68,278.02,0.001906337673548772,0.53
D'Angelo Russell,PG,23,TOT,45,315.58,81,524.15,-0.39792044262138704,-208.57
Domantas Sabonis,PF,23,IND,62,381.98,74,338.08,0.12985092285849514,43.9
Luka Šamanić,PF,20,SAS,3,6.8,0,0,0,6.8
JaKarr Sampson,SF,26,IND,34,53.52,4,24.28,1.2042833607907744,29.24
Dario Šarić,PF,25,PHO,66,250.13,81,306.05,-0.18271524260741714,-55.92
Tomáš Satoranský,PG,28,CHI,65,220.6,80,231.88,-0.0486458513023978,-11.28
Admiral Schofield,SF,22,WAS,33,40.6,0,0,0,40.6
Dennis Schröder,PG,26,OKC,65,351.05,79,377.63,-0.07038635701612686,-26.58
Mike Scott,PF,31,PHI,68,160.32,79,185.72,-0.1367650226146888,-25.4
Thabo Sefolosha,PF,35,HOU,41,49.35,50,79.25,-0.3772870662460568,-29.9
Collin Sexton,SG,21,CLE,65,368.1,82,390.85,-0.058206473071510806,-22.75
Landry Shamet,SG,22,LAC,53,163.95,79,234.25,-0.30010672358591256,-70.3
Marial Shayok,SG,24,PHI,4,4.98,0,0,0,4.98
Iman Shumpert,SG,29,BRK,13,25.15,62,181.88,-0.8617220145150648,-156.73
Pascal Siakam,PF,25,TOR,60,428.12,80,411.88,0.03942895989123048,16.24
Chris Silva,PF,23,MIA,44,54.1,0,0,0,54.1
Ben Simmons,PG,23,PHI,57,291.17,79,421.4,-0.30904129093497856,-130.23
Anfernee Simons,SG,20,POR,70,190.35,20,23.5,7.1,166.85
Alen Smailagić,PF,19,GSW,14,19.82,0,0,0,19.82
Marcus Smart,SG,25,BOS,60,277.3,80,260.1,0.06612841214917335,17.2
Dennis Smith Jr.,PG,22,NYK,34,72.83,53,227.3,-0.679586449626045,-154.47
Ish Smith,PG,31,WAS,68,237.43,56,162.05,0.465165072508485,75.38
J.R. Smith,SG,34,LAL,6,6.73,11,27.7,-0.7570397111913357,-20.97
Zhaire Smith,SG,20,PHI,7,3.8,6,13.75,-0.7236363636363636,-9.95
Tony Snell,SF,28,DET,59,158.98,74,154.83,0.026803591035328922,4.15
Omari Spellman,PF,22,GSW,49,139.05,46,115.95,0.19922380336351883,23.1
Max Strus,SG,23,CHI,2,1.35,0,0,0,1.35
Edmond Sumner,PG,24,IND,31,53.2,23,26.62,0.9984973703981969,26.58
Caleb Swanigan,PF,22,TOT,27,32.35,21,24,0.3479166666666667,8.35
Jayson Tatum,PF,21,BOS,66,486.88,79,406.82,0.19679465119708964,80.06
Jeff Teague,PG,31,TOT,59,188.2,42,153.45,0.22645812968393617,34.75
Garrett Temple,SG,33,BRK,62,237.05,75,212.88,0.11353814355505457,24.17
Daniel Theis,C,27,BOS,65,221.55,66,133.58,0.6585566701602036,87.97
Isaiah Thomas,PG,30,WAS,40,147.38,12,31.85,3.6273155416012557,115.53
Khyri Thomas,SG,23,DET,8,6.9,26,25.7,-0.7315175097276264,-18.8
Lance Thomas,SF,31,BRK,7,9.45,46,80.4,-0.8824626865671642,-70.95
Matt Thomas,SG,25,TOR,41,68.02,0,0,0,68.02
Tristan Thompson,C,28,CLE,57,255.88,43,177.58,0.440928032436085,78.3
Sindarius Thornwell,SG,25,NOP,2,4.9,64,30.4,-0.8388157894736843,-25.5
Matisse Thybulle,SG,22,PHI,65,127.52,0,0,0,127.52
Anthony Tolliver,PF,34,TOT,55,93.38,65,133.02,-0.2980003007066607,-39.64
Juan Toscano-Anderson,SF,26,GSW,13,29.38,0,0,0,29.38
Karl-Anthony Towns,C,24,MIN,35,294.85,77,610.95,-0.5173909485227923,-316.1
Gary Trent Jr.,SG,21,POR,61,177.25,15,15.78,10.23257287705957,161.47
Allonzo Trier,PG,24,NYK,24,45.68,64,206.88,-0.7791956689868522,-161.2
P.J. Tucker,PF,34,HOU,72,237.05,82,281.3,-0.1573053679345894,-44.25
Rayjon Tucker,SG,22,UTA,20,19.65,0,0,0,19.65
Evan Turner,PG,31,ATL,19,25.2,73,178.95,-0.859178541492037,-153.75
Myles Turner,C,23,IND,62,282.68,74,359.3,-0.21324798218758698,-76.62
Jarrod Uthoff,SF,26,TOT,7,6.9,0,0,0,6.9
Jonas Valančiūnas,C,27,MEM,70,364.58,49,241.1,0.5121526337619244,123.48
Denzel Valentine,SF,26,CHI,36,89.47,0,0,0,89.47
Jarred Vanderbilt,SF-PF,20,TOT,11,5.25,17,11.25,-0.5333333333333333,-6
Fred VanVleet,PG,25,TOR,54,304.55,64,230.98,0.3185124253182095,73.57
Gabe Vincent,PG,23,MIA,9,11.4,0,0,0,11.4
Noah Vonleh,C-PF,24,TOT,36,52.65,68,238.05,-0.77882797731569,-185.4
Nikola Vučević,C,29,ORL,62,418.2,80,558.2,-0.2508061626657113,-140
Dean Wade,PF,23,CLE,12,9.05,0,0,0,9.05
Moritz Wagner,C,22,WAS,45,132.88,43,73.73,0.8022514580225144,59.15
Dion Waiters,SG,28,TOT,10,35.88,44,177.57,-0.7979388410204427,-141.69
Kemba Walker,PG,29,BOS,56,350.25,82,621.68,-0.4366072577531849,-271.43
Lonnie Walker,SG,21,SAS,61,132.4,17,17.65,6.501416430594901,114.75
Tyrone Wallace,SG,25,ATL,14,17.05,62,77.72,-0.7806227483273289,-60.67
Derrick Walton,PG,24,TOT,26,19.42,0,0,0,19.42
Brad Wanamaker,PG,30,BOS,71,154.33,36,45.27,2.409100949856417,109.06
T.J. Warren,SF,26,IND,67,367.8,43,228.25,0.6113910186199343,139.55
P.J. Washington,PF,21,CHO,58,248.45,0,0,0,248.45
Yuta Watanabe,SG,25,MEM,18,14.53,15,18.45,-0.21246612466124662,-3.92
Tremont Waters,PG,22,BOS,11,17.02,0,0,0,17.02
Paul Watson,SF-SG,25,TOT,10,12.38,0,0,0,12.38
Quinndary Weatherspoon,SG,23,SAS,11,6.28,0,0,0,6.28
Russell Westbrook,PG,31,HOU,57,452.95,73,577.7,-0.21594253072529002,-124.75
Coby White,SG,19,CHI,65,285.47,0,0,0,285.47
Derrick White,SG,25,SAS,68,241.45,67,219.15,0.10175678758840968,22.3
Hassan Whiteside,C,30,POR,67,387.25,72,347.72,0.11368342344415037,39.53
Andrew Wiggins,SF-SG,24,TOT,54,356.85,73,417.65,-0.1455764396025379,-60.8
Grant Williams,PF,21,BOS,69,105.4,0,0,0,105.4
Johnathan Williams,C,24,WAS,15,21.9,24,52.07,-0.5794123295563665,-30.17
Kenrich Williams,PF,25,NOP,39,81.42,46,127.83,-0.36306031448016896,-46.41
Lou Williams,SG,33,LAC,65,339.45,75,409.38,-0.1708192877033563,-69.93
Marvin Williams,PF,33,TOT,58,132.83,75,296.63,-0.5522030812797086,-163.8
Robert Williams,C,22,BOS,29,59.18,32,37.88,0.5623020063357972,21.3
Nigel Williams-Goss,PG,25,UTA,10,6.47,0,0,0,6.47
Zion Williamson,PF,19,NOP,24,142.25,0,0,0,142.25
D.J. Wilson,PF,23,MIL,37,56.23,48,120.33,-0.5327017368902185,-64.1
Justise Winslow,SF,23,MIA,11,46.1,66,288.55,-0.8402356610639404,-242.45
Christian Wood,PF,24,DET,62,257.75,21,55.65,3.6316262353998203,202.1
Delon Wright,SG,27,DAL,73,188.02,75,227,-0.17171806167400877,-38.98
Justin Wright-Foreman,PG,22,UTA,4,6.92,0,0,0,6.92
Thaddeus Young,PF,31,CHI,64,241.9,81,344.55,-0.29792482948773763,-102.65
Trae Young,PG,21,ATL,60,497.02,81,459.85,0.08083070566489063,37.17
Cody Zeller,C,27,CHO,58,220.72,49,171.55,0.28662197610026224,49.17
Tyler Zeller,C,30,SAS,2,1.4,6,14.38,-0.9026425591098748,-12.98
Ante Žižić,C,23,CLE,22,33.5,59,154.75,-0.7835218093699515,-121.25
Ivica Zubac,C,22,LAC,72,220.6,59,178.3,0.23724060572069536,42.3
