Player,Pos,Age,Tm,G2019,GS,MP,FG,FGA,FGpct,3P,3PA,3Ppct,2P,2PA,2Ppct,eFGpct,FT,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,zAge,zGPlayed,zMP,zFG,zFGA,zFGpct,z3P,z3PA,z3Ppct,z2P,z2PA,z2Ppct,zeFGpct,zFT,zFTA,zFTpct,zTRB,zAST,zSTL,zBLK,zPTS,puntPctFV,puntASTFV
Mikal Bridges,SF,23,PHO,73,32,2042,247,484,0.51,70,194,0.361,177,290,0.61,0.583,103,122,0.844,66,226,292,129,102,46,73,163,667,-0.62,1.36,1.48,0.55,0.4,0.59,0.38,0.4,0.45,0.53,0.32,0.84,0.7,0.36,0.27,0.64,0.68,0.28,2.66,1.07,0.51,228.12,232.65
Miles Bridges,SF,21,CHO,65,64,1995,319,753,0.424,99,300,0.33,220,453,0.486,0.489,106,131,0.809,88,274,362,114,40,48,95,132,843,-1.11,1,1.42,1.02,1.22,-0.19,0.91,1.13,0.23,0.9,1.06,-0.17,-0.17,0.39,0.35,0.48,1.11,0.14,0.35,1.15,0.93,284.22,294.47
Oshae Brissett,SF,21,TOR,19,0,135,13,36,0.361,3,15,0.2,10,21,0.476,0.403,8,10,0.8,9,17,26,7,4,1,7,18,37,-1.11,-1.03,-1.15,-0.99,-0.98,-0.77,-0.84,-0.84,-0.67,-0.89,-0.9,-0.25,-0.97,-0.72,-0.75,0.43,-0.93,-0.8,-0.99,-0.76,-0.96,15.7,16.3
Ryan Broekhoff,SG,29,DAL,17,1,180,22,59,0.373,20,51,0.392,2,8,0.25,0.542,7,8,0.875,5,38,43,11,5,4,6,15,71,0.83,-1.12,-1.09,-0.93,-0.91,-0.66,-0.53,-0.59,0.66,-0.96,-0.96,-2.08,0.32,-0.73,-0.77,0.79,-0.83,-0.77,-0.95,-0.63,-0.88,28.68,30.58
Malcolm Brogdon,PG,27,IND,54,54,1666,326,744,0.438,75,230,0.326,251,514,0.488,0.489,166,186,0.892,46,216,262,381,35,10,131,98,893,0.35,0.52,0.96,1.07,1.2,-0.06,0.48,0.65,0.2,1.16,1.34,-0.15,-0.17,1.07,0.85,0.87,0.5,2.51,0.16,-0.39,1.04,299.72,272.05
Dillon Brooks,SG,24,MEM,73,73,2112,435,1068,0.407,147,411,0.358,288,657,0.438,0.476,164,203,0.808,68,175,243,150,63,27,124,278,1181,-0.38,1.36,1.58,1.78,2.19,-0.35,1.79,1.9,0.42,1.47,1.99,-0.55,-0.29,1.04,1.01,0.47,0.38,0.46,1.21,0.3,1.72,360.6,369.2
Bruce Brown,SG,23,DET,58,43,1634,198,447,0.443,33,96,0.344,165,351,0.47,0.48,88,119,0.739,61,213,274,230,63,29,100,162,517,-0.62,0.69,0.92,0.23,0.28,-0.02,-0.29,-0.28,0.33,0.43,0.6,-0.29,-0.25,0.19,0.24,0.14,0.57,1.17,1.21,0.38,0.16,199.25,185.85
Charlie Brown,SG,22,ATL,10,0,40,6,19,0.316,3,9,0.333,3,10,0.3,0.395,5,5,1,2,2,4,2,2,2,3,3,20,-0.86,-1.43,-1.28,-1.03,-1.04,-1.18,-0.84,-0.88,0.25,-0.95,-0.95,-1.67,-1.04,-0.75,-0.8,1.38,-1.06,-0.85,-1.07,-0.72,-1,7.28,7.65
Jaylen Brown,SF,23,BOS,57,57,1934,427,887,0.481,129,338,0.382,298,549,0.543,0.554,176,243,0.724,62,302,364,118,65,20,125,167,1159,-0.62,0.65,1.33,1.73,1.64,0.33,1.46,1.4,0.59,1.56,1.5,0.3,0.43,1.18,1.37,0.07,1.12,0.18,1.28,0.02,1.67,344.6,358.82
Moses Brown,C,20,POR,9,0,33,4,10,0.4,0,0,0,4,10,0.4,0.4,3,8,0.375,3,11,14,1,1,1,3,7,11,-1.35,-1.47,-1.29,-1.05,-1.06,-0.41,-0.89,-0.95,-2.04,-0.94,-0.95,-0.86,-0.99,-0.77,-0.77,-1.57,-1,-0.86,-1.1,-0.76,-1.02,5.38,5.85
Sterling Brown,SF,24,MIL,52,1,767,95,256,0.371,44,136,0.324,51,120,0.425,0.457,32,40,0.8,31,152,183,51,29,7,42,54,266,-0.38,0.43,-0.28,-0.45,-0.31,-0.68,-0.09,-0,0.19,-0.54,-0.45,-0.66,-0.47,-0.45,-0.48,0.43,0.02,-0.41,-0.06,-0.51,-0.43,108.7,113.3
Troy Brown Jr.,SG,20,WAS,69,22,1782,273,622,0.439,61,179,0.341,212,443,0.479,0.488,109,139,0.784,76,307,383,178,85,7,79,132,716,-1.35,1.18,1.12,0.72,0.82,-0.06,0.22,0.29,0.31,0.83,1.02,-0.22,-0.18,0.42,0.42,0.36,1.23,0.71,2.03,-0.51,0.63,257.02,256.12
Jalen Brunson,PG,23,DAL,57,16,1022,181,388,0.466,43,120,0.358,138,268,0.515,0.522,61,75,0.813,22,112,134,188,22,4,66,74,466,-0.62,0.65,0.07,0.11,0.1,0.19,-0.11,-0.12,0.42,0.2,0.22,0.07,0.14,-0.12,-0.16,0.49,-0.28,0.8,-0.32,-0.63,0.04,157,143.45
Thomas Bryant,C,22,WAS,46,36,1147,243,418,0.581,37,91,0.407,206,327,0.63,0.626,86,116,0.741,98,233,331,83,25,49,53,103,609,-0.86,0.16,0.25,0.52,0.19,1.24,-0.22,-0.32,0.76,0.78,0.49,1,1.1,0.16,0.21,0.15,0.92,-0.13,-0.21,1.19,0.38,193.52,199.38
Reggie Bullock,SG,28,NYK,29,19,684,90,224,0.402,37,111,0.333,53,113,0.469,0.484,17,21,0.81,13,55,68,42,25,3,19,56,234,0.59,-0.59,-0.39,-0.48,-0.4,-0.39,-0.22,-0.18,0.25,-0.52,-0.48,-0.3,-0.21,-0.62,-0.65,0.48,-0.68,-0.49,-0.21,-0.67,-0.5,80.85,82.23
Trey Burke,PG,27,TOT,33,1,520,94,209,0.45,32,75,0.427,62,134,0.463,0.526,23,29,0.793,16,34,50,83,16,2,21,33,243,0.35,-0.41,-0.62,-0.46,-0.45,0.05,-0.31,-0.43,0.9,-0.45,-0.39,-0.35,0.18,-0.55,-0.58,0.4,-0.78,-0.13,-0.54,-0.72,-0.48,80.3,75.02
Alec Burks,SG,28,TOT,66,19,1754,321,768,0.418,116,301,0.385,205,467,0.439,0.493,235,265,0.887,48,234,282,189,62,17,91,128,993,0.59,1.05,1.08,1.03,1.27,-0.25,1.22,1.14,0.61,0.77,1.13,-0.55,-0.13,1.85,1.57,0.84,0.62,0.81,1.17,-0.11,1.28,307.9,310.35
Deonte Burton,SG,26,OKC,39,0,356,43,125,0.344,10,53,0.189,33,72,0.458,0.384,8,14,0.571,7,50,57,17,7,10,19,34,104,0.11,-0.15,-0.84,-0.79,-0.71,-0.92,-0.71,-0.58,-0.74,-0.69,-0.67,-0.39,-1.14,-0.72,-0.72,-0.65,-0.74,-0.71,-0.88,-0.39,-0.81,43.8,45.45
Jimmy Butler,SF,30,MIA,58,58,1959,345,758,0.455,29,119,0.244,316,639,0.495,0.474,438,525,0.834,106,280,386,350,103,32,127,81,1157,1.08,0.69,1.37,1.19,1.24,0.09,-0.36,-0.12,-0.36,1.71,1.91,-0.09,-0.31,4.14,3.94,0.59,1.25,2.23,2.7,0.5,1.66,355.62,341.72
Bruno Caboclo,C,24,TOT,30,0,244,38,89,0.427,6,33,0.182,32,56,0.571,0.461,8,9,0.889,23,37,60,12,15,17,13,31,90,-0.38,-0.54,-1,-0.82,-0.82,-0.16,-0.78,-0.72,-0.79,-0.7,-0.74,0.52,-0.43,-0.72,-0.76,0.85,-0.72,-0.76,-0.58,-0.11,-0.84,37.88,39.88
Devontae Cacok,C,23,LAL,1,0,9,3,6,0.5,0,0,0,3,6,0.5,0.5,0,0,0,2,3,5,1,0,0,0,0,6,-0.62,-1.83,-1.32,-1.05,-1.08,0.5,-0.89,-0.95,-2.04,-0.95,-0.97,-0.05,-0.07,-0.81,-0.84,-3.34,-1.06,-0.86,-1.14,-0.8,-1.04,2.17,2.17
Kentavious Caldwell-Pope,SG,26,LAL,69,26,1762,237,507,0.467,92,239,0.385,145,268,0.541,0.558,79,102,0.775,38,104,142,111,57,14,62,128,645,0.11,1.18,1.1,0.48,0.47,0.2,0.79,0.71,0.61,0.26,0.22,0.28,0.47,0.08,0.09,0.31,-0.23,0.12,0.98,-0.23,0.46,200.7,202.98
Vlatko Čančar,SF,22,DEN,14,0,45,6,15,0.4,1,6,0.167,5,9,0.556,0.433,4,4,1,5,5,10,3,1,1,3,7,17,-0.86,-1.25,-1.27,-1.03,-1.05,-0.41,-0.87,-0.91,-0.89,-0.93,-0.96,0.4,-0.69,-0.76,-0.81,1.38,-1.03,-0.84,-1.1,-0.76,-1.01,7.05,7.25
Clint Capela,C,25,HOU,39,39,1279,244,388,0.629,0,0,0,244,388,0.629,0.629,55,104,0.529,168,369,537,48,33,72,63,102,543,-0.14,-0.15,0.43,0.53,0.1,1.68,-0.89,-0.95,-2.04,1.1,0.77,0.99,1.13,-0.19,0.1,-0.85,2.17,-0.44,0.09,2.13,0.22,198.45,211.1
DeMarre Carroll,SF-PF,33,TOT,24,0,290,25,66,0.379,8,33,0.242,17,33,0.515,0.439,29,42,0.69,12,43,55,25,8,5,17,32,87,1.81,-0.81,-0.94,-0.91,-0.89,-0.6,-0.74,-0.72,-0.38,-0.83,-0.85,0.07,-0.63,-0.48,-0.46,-0.09,-0.75,-0.64,-0.84,-0.59,-0.85,34.4,35.05
Jevon Carter,PG,24,PHO,58,2,945,101,243,0.416,62,146,0.425,39,97,0.402,0.543,23,27,0.852,30,88,118,84,47,17,32,86,287,-0.38,0.69,-0.03,-0.41,-0.35,-0.27,0.24,0.07,0.89,-0.64,-0.56,-0.84,0.33,-0.55,-0.6,0.68,-0.37,-0.12,0.61,-0.11,-0.38,111.95,111.87
Vince Carter,SF,43,ATL,60,0,876,107,304,0.352,61,202,0.302,46,102,0.451,0.452,23,29,0.793,18,106,124,48,23,25,33,90,298,4.23,0.78,-0.13,-0.37,-0.16,-0.85,0.22,0.45,0.04,-0.58,-0.53,-0.45,-0.51,-0.55,-0.58,0.4,-0.34,-0.44,-0.28,0.22,-0.35,116.57,122.18
Wendell Carter Jr.,C,20,CHI,43,43,1256,183,343,0.534,6,29,0.207,177,314,0.564,0.542,112,152,0.737,139,266,405,51,33,36,72,162,484,-1.35,0.03,0.4,0.13,-0.04,0.81,-0.78,-0.75,-0.62,0.53,0.43,0.47,0.32,0.46,0.54,0.14,1.37,-0.41,0.09,0.66,0.09,169.5,179.65
Michael Carter-Williams,SG,28,ORL,45,0,833,111,260,0.427,22,75,0.293,89,185,0.481,0.469,79,95,0.832,46,101,147,109,49,22,52,87,323,0.59,0.12,-0.19,-0.35,-0.29,-0.16,-0.49,-0.43,-0.02,-0.22,-0.15,-0.21,-0.35,0.08,0.02,0.58,-0.2,0.1,0.68,0.1,-0.29,118.95,115.57
Alex Caruso,PG,25,LAL,64,2,1175,120,291,0.412,40,120,0.333,80,171,0.468,0.481,69,94,0.734,17,106,123,124,70,18,53,98,349,-0.14,0.96,0.29,-0.29,-0.2,-0.3,-0.16,-0.12,0.25,-0.3,-0.22,-0.31,-0.24,-0.03,0.01,0.12,-0.34,0.23,1.47,-0.07,-0.23,131.75,127.88
Willie Cauley-Stein,C,26,TOT,54,39,1097,175,302,0.579,0,1,0,175,301,0.581,0.579,40,66,0.606,84,231,315,70,49,61,40,121,390,0.11,0.52,0.18,0.07,-0.16,1.22,-0.89,-0.94,-2.04,0.51,0.37,0.6,0.67,-0.36,-0.24,-0.48,0.82,-0.24,0.68,1.68,-0.14,146.58,150.12
Tyson Chandler,C,37,HOU,26,5,219,14,18,0.778,0,0,0,14,18,0.778,0.778,6,13,0.462,25,41,66,6,6,8,8,32,34,2.78,-0.72,-1.03,-0.98,-1.04,3.04,-0.89,-0.95,-2.04,-0.86,-0.91,2.2,2.51,-0.74,-0.72,-1.16,-0.69,-0.81,-0.92,-0.47,-0.97,19.08,20.65
Wilson Chandler,SF,32,BRK,35,3,734,74,183,0.404,37,121,0.306,37,62,0.597,0.505,20,23,0.87,11,134,145,39,16,12,34,79,205,1.56,-0.32,-0.32,-0.59,-0.53,-0.37,-0.22,-0.11,0.07,-0.66,-0.71,0.73,-0.02,-0.58,-0.63,0.76,-0.21,-0.52,-0.54,-0.31,-0.57,83.38,87.35
Joe Chealey,PG,24,CHO,4,0,33,0,7,0,0,4,0,0,3,0,0,2,2,1,0,0,0,1,4,0,2,2,2,-0.38,-1.69,-1.29,-1.07,-1.07,-4.06,-0.89,-0.92,-2.04,-0.98,-0.98,-4.1,-4.7,-0.79,-0.83,1.38,-1.09,-0.86,-0.99,-0.8,-1.04,2.12,2.25
Zylan Cheatham,SF,24,NOP,4,0,51,6,9,0.667,0,1,0,6,8,0.75,0.667,0,0,0,3,6,9,3,1,1,4,10,12,-0.38,-1.69,-1.26,-1.03,-1.07,2.03,-0.89,-0.94,-2.04,-0.92,-0.96,1.97,1.48,-0.81,-0.84,-3.34,-1.03,-0.84,-1.1,-0.76,-1.02,4.5,4.42
Chris Chiozza,PG,24,TOT,28,2,401,55,140,0.393,27,72,0.375,28,68,0.412,0.489,5,5,1,9,44,53,83,21,4,32,37,142,-0.38,-0.63,-0.78,-0.71,-0.66,-0.48,-0.4,-0.45,0.54,-0.74,-0.69,-0.76,-0.17,-0.75,-0.8,1.38,-0.77,-0.13,-0.36,-0.63,-0.72,60.4,54.58
Marquese Chriss,PF,22,GSW,59,21,1196,210,385,0.545,8,39,0.205,202,346,0.584,0.556,120,156,0.769,114,251,365,114,39,62,78,122,548,-0.86,0.74,0.31,0.3,0.09,0.91,-0.74,-0.68,-0.63,0.74,0.58,0.63,0.45,0.55,0.58,0.29,1.12,0.14,0.31,1.72,0.24,190.58,193.05
Gary Clark,PF,25,TOT,42,5,567,54,133,0.406,39,111,0.351,15,22,0.682,0.553,9,10,0.9,37,73,110,17,6,22,10,46,156,-0.14,-0.01,-0.55,-0.72,-0.68,-0.36,-0.18,-0.18,0.38,-0.85,-0.9,1.42,0.43,-0.71,-0.75,0.91,-0.42,-0.71,-0.92,0.1,-0.68,65.03,70.35
Brandon Clarke,PF,23,MEM,58,4,1300,296,479,0.618,23,64,0.359,273,415,0.658,0.642,85,112,0.759,92,253,345,81,32,48,55,100,700,-0.62,0.69,0.46,0.87,0.38,1.58,-0.47,-0.5,0.43,1.35,0.89,1.23,1.25,0.15,0.18,0.24,1,-0.15,0.05,1.15,0.59,211.3,216.78
Jordan Clarkson,SG,27,TOT,71,2,1705,394,867,0.454,152,413,0.368,242,454,0.533,0.542,138,165,0.836,50,137,187,136,46,16,97,108,1078,0.35,1.27,1.02,1.51,1.57,0.08,1.88,1.92,0.49,1.08,1.07,0.22,0.32,0.75,0.66,0.6,0.05,0.34,0.57,-0.15,1.48,314.88,322.35
Nicolas Claxton,PF,20,BRK,15,0,187,27,48,0.563,1,7,0.143,26,41,0.634,0.573,11,21,0.524,19,25,44,16,1,8,9,14,66,-1.35,-1.21,-1.08,-0.9,-0.95,1.08,-0.87,-0.9,-1.06,-0.75,-0.81,1.03,0.61,-0.68,-0.65,-0.87,-0.82,-0.72,-1.1,-0.47,-0.89,23.77,23.82
Chris Clemons,SG,22,HOU,33,0,291,57,142,0.401,37,107,0.346,20,35,0.571,0.532,10,11,0.909,4,26,30,27,9,6,19,26,161,-0.86,-0.41,-0.93,-0.7,-0.66,-0.4,-0.22,-0.21,0.34,-0.81,-0.84,0.52,0.23,-0.69,-0.74,0.95,-0.91,-0.63,-0.81,-0.55,-0.67,55.13,56.75
Antonius Cleveland,SG,25,DAL,11,0,46,4,14,0.286,0,3,0,4,11,0.364,0.286,3,5,0.6,2,5,7,1,1,3,2,8,11,-0.14,-1.38,-1.27,-1.05,-1.05,-1.45,-0.89,-0.93,-2.04,-0.94,-0.95,-1.15,-2.05,-0.77,-0.8,-0.51,-1.04,-0.86,-1.1,-0.67,-1.02,5.38,5.73
Amir Coffey,SG,22,LAC,18,1,159,23,54,0.426,6,19,0.316,17,35,0.486,0.481,6,11,0.545,4,12,16,14,5,2,8,20,58,-0.86,-1.07,-1.12,-0.92,-0.93,-0.17,-0.78,-0.82,0.14,-0.83,-0.84,-0.17,-0.24,-0.74,-0.74,-0.77,-0.99,-0.74,-0.95,-0.72,-0.91,20.45,20.18
John Collins,PF,22,ATL,41,41,1363,353,605,0.583,59,147,0.401,294,458,0.642,0.632,120,150,0.8,116,300,416,60,31,66,75,138,885,-0.86,-0.06,0.54,1.24,0.77,1.26,0.18,0.07,0.72,1.52,1.09,1.1,1.16,0.55,0.52,0.43,1.43,-0.33,0.01,1.88,1.03,262.82,277.05
Zach Collins,PF,22,POR,11,11,290,32,68,0.471,7,19,0.368,25,49,0.51,0.522,6,8,0.75,25,44,69,16,5,5,14,36,77,-0.86,-1.38,-0.94,-0.86,-0.88,0.24,-0.76,-0.82,0.49,-0.76,-0.77,0.03,0.14,-0.74,-0.77,0.2,-0.67,-0.72,-0.95,-0.59,-0.87,30.97,31.8
Mike Conley,PG,32,UTA,47,41,1363,232,567,0.409,96,256,0.375,136,311,0.437,0.494,115,139,0.827,33,118,151,208,36,5,92,104,675,1.56,0.21,0.54,0.45,0.65,-0.33,0.86,0.83,0.54,0.18,0.42,-0.56,-0.12,0.49,0.42,0.56,-0.17,0.98,0.2,-0.59,0.53,220.47,211.55
Pat Connaughton,SG,27,MIL,67,4,1243,137,301,0.455,55,166,0.331,82,135,0.607,0.547,31,40,0.775,60,224,284,107,25,31,52,70,360,0.35,1.09,0.38,-0.17,-0.17,0.09,0.11,0.2,0.24,-0.28,-0.38,0.81,0.37,-0.46,-0.48,0.31,0.63,0.08,-0.21,0.46,-0.21,150.8,152.45
Quinn Cook,PG,26,LAL,44,1,508,91,214,0.425,31,85,0.365,60,129,0.465,0.498,11,14,0.786,11,40,51,49,12,2,33,27,224,0.11,0.07,-0.63,-0.48,-0.44,-0.18,-0.33,-0.36,0.47,-0.47,-0.41,-0.34,-0.08,-0.68,-0.72,0.37,-0.78,-0.43,-0.69,-0.72,-0.52,74.65,73.4
Tyler Cook,PF,22,TOT,13,0,54,8,12,0.667,0,0,0,8,12,0.667,0.667,7,8,0.875,6,8,14,1,3,0,3,5,23,-0.86,-1.3,-1.26,-1.02,-1.06,2.03,-0.89,-0.95,-2.04,-0.91,-0.94,1.3,1.48,-0.73,-0.77,0.79,-1,-0.86,-1.03,-0.8,-1,7.5,8
Robert Covington,PF-C,29,TOT,70,68,2137,305,723,0.422,161,480,0.335,144,243,0.593,0.533,99,124,0.798,63,400,463,88,115,93,103,220,870,0.83,1.22,1.61,0.93,1.13,-0.21,2.04,2.38,0.27,0.25,0.11,0.7,0.24,0.31,0.29,0.42,1.72,-0.09,3.14,2.98,0.99,324.38,349.28
Allen Crabbe,SG,27,TOT,37,1,653,63,177,0.356,36,119,0.303,27,58,0.466,0.458,10,14,0.714,11,66,77,33,15,4,17,47,172,0.35,-0.24,-0.43,-0.66,-0.55,-0.81,-0.23,-0.12,0.05,-0.75,-0.73,-0.33,-0.46,-0.69,-0.72,0.03,-0.62,-0.57,-0.58,-0.63,-0.65,68,70.5
Torrey Craig,SF,29,DEN,58,27,1072,124,269,0.461,45,138,0.326,79,131,0.603,0.545,22,36,0.611,63,126,189,47,23,36,25,135,315,0.83,0.69,0.14,-0.26,-0.27,0.15,-0.07,0.01,0.2,-0.3,-0.4,0.78,0.35,-0.56,-0.52,-0.46,0.06,-0.45,-0.28,0.66,-0.31,119.8,125.6
Jamal Crawford,SG,39,BRK,1,0,6,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,0,0,0,0,3,0,0,0,1,5,3.26,-1.83,-1.33,-1.06,-1.08,0.5,-0.87,-0.93,1.4,-0.97,-0.99,-0.05,1.09,-0.81,-0.84,-3.34,-1.09,-0.84,-1.14,-0.8,-1.04,1.68,1.38
Jae Crowder,SF,29,TOT,65,53,1875,226,563,0.401,135,394,0.343,91,169,0.538,0.521,97,125,0.776,52,332,384,161,72,24,69,143,684,0.83,1,1.25,0.41,0.64,-0.4,1.57,1.79,0.32,-0.2,-0.23,0.26,0.13,0.29,0.3,0.32,1.24,0.56,1.54,0.18,0.55,263.12,271.35
Jarrett Culver,SG,20,MIN,63,35,1506,230,569,0.404,66,221,0.299,164,348,0.471,0.462,54,117,0.462,70,142,212,110,57,38,81,125,580,-1.35,0.91,0.74,0.44,0.66,-0.37,0.31,0.59,0.02,0.42,0.59,-0.29,-0.42,-0.2,0.22,-1.16,0.2,0.11,0.98,0.75,0.31,206.83,210.85
Seth Curry,SG,29,DAL,64,25,1576,284,574,0.495,145,321,0.452,139,253,0.549,0.621,80,97,0.825,27,118,145,124,38,9,62,113,793,0.83,0.96,0.84,0.79,0.67,0.46,1.75,1.28,1.07,0.21,0.15,0.34,1.06,0.1,0.04,0.55,-0.21,0.23,0.27,-0.43,0.81,233.8,237.17
Stephen Curry,PG,31,GSW,5,5,139,33,82,0.402,12,49,0.245,21,33,0.636,0.476,26,26,1,4,22,26,33,5,2,16,11,104,1.32,-1.65,-1.14,-0.86,-0.84,-0.39,-0.67,-0.61,-0.35,-0.8,-0.85,1.05,-0.29,-0.51,-0.61,1.38,-0.93,-0.57,-0.95,-0.72,-0.81,34.13,33
Troy Daniels,SG,28,TOT,47,0,532,72,186,0.387,46,132,0.348,26,54,0.481,0.511,10,16,0.625,12,40,52,17,11,3,12,37,200,0.59,0.21,-0.6,-0.6,-0.52,-0.53,-0.05,-0.03,0.36,-0.75,-0.75,-0.21,0.04,-0.69,-0.7,-0.39,-0.77,-0.71,-0.73,-0.67,-0.58,69.1,73.48
Anthony Davis,PF,26,LAL,62,62,2131,551,1096,0.503,72,218,0.33,479,878,0.546,0.536,444,525,0.846,142,435,577,200,91,143,154,156,1618,0.11,0.87,1.6,2.54,2.28,0.53,0.42,0.56,0.23,3.1,3,0.32,0.27,4.21,3.94,0.65,2.41,0.91,2.25,5.01,2.74,474.1,489.75
Ed Davis,C,30,UTA,28,1,303,22,46,0.478,0,0,0,22,46,0.478,0.478,7,14,0.5,35,70,105,12,11,9,13,61,51,1.08,-0.63,-0.92,-0.93,-0.95,0.3,-0.89,-0.95,-2.04,-0.79,-0.79,-0.23,-0.27,-0.73,-0.72,-0.98,-0.45,-0.76,-0.73,-0.43,-0.93,30.55,32.53
Terence Davis,SG,22,TOR,72,4,1209,199,436,0.456,94,242,0.388,105,194,0.541,0.564,51,59,0.864,50,187,237,115,39,14,76,124,543,-0.86,1.31,0.33,0.23,0.25,0.1,0.82,0.73,0.63,-0.08,-0.11,0.28,0.53,-0.23,-0.31,0.74,0.35,0.15,0.31,-0.23,0.22,190.48,193.22
Dewayne Dedmon,C,30,TOT,44,18,774,102,255,0.4,22,107,0.206,80,148,0.541,0.443,30,36,0.833,60,189,249,22,25,41,57,133,256,1.08,0.07,-0.27,-0.4,-0.31,-0.41,-0.49,-0.21,-0.62,-0.3,-0.32,0.28,-0.59,-0.47,-0.52,0.59,0.42,-0.67,-0.21,0.87,-0.45,111.38,120.63
Matthew Dellavedova,PG,29,CLE,57,4,821,62,175,0.354,21,91,0.231,41,84,0.488,0.414,32,37,0.865,18,57,75,180,20,2,59,78,177,0.83,0.65,-0.2,-0.67,-0.56,-0.83,-0.51,-0.32,-0.45,-0.63,-0.61,-0.15,-0.86,-0.45,-0.51,0.74,-0.63,0.73,-0.4,-0.72,-0.63,86.1,69.75
DeMar DeRozan,SF,30,SAS,68,68,2316,557,1049,0.531,9,35,0.257,548,1014,0.54,0.535,381,451,0.845,44,331,375,380,70,20,164,180,1504,1.08,1.13,1.86,2.58,2.13,0.78,-0.73,-0.7,-0.27,3.68,3.62,0.27,0.26,3.5,3.27,0.65,1.18,2.5,1.47,0.02,2.48,417.55,394.05
Cheick Diallo,C,23,PHO,47,2,479,92,142,0.648,1,3,0.333,91,139,0.655,0.651,34,39,0.872,30,101,131,22,11,12,32,55,219,-0.62,0.21,-0.67,-0.47,-0.66,1.85,-0.87,-0.93,0.25,-0.2,-0.36,1.2,1.33,-0.42,-0.49,0.77,-0.29,-0.67,-0.73,-0.31,-0.54,68.32,70.5
Hamidou Diallo,SF,21,OKC,46,3,896,132,296,0.446,16,57,0.281,116,239,0.485,0.473,38,63,0.603,44,123,167,36,37,9,51,101,318,-1.11,0.16,-0.1,-0.21,-0.18,0.01,-0.6,-0.55,-0.11,0.01,0.09,-0.17,-0.32,-0.38,-0.27,-0.5,-0.08,-0.55,0.24,-0.43,-0.3,109.95,114.18
Gorgui Dieng,C,30,TOT,63,17,1096,166,364,0.456,54,152,0.355,112,212,0.528,0.53,78,101,0.772,91,263,354,73,51,59,60,124,464,1.08,0.91,0.18,0.02,0.03,0.1,0.09,0.11,0.4,-0.02,-0.03,0.17,0.21,0.07,0.08,0.3,1.06,-0.22,0.76,1.6,0.04,181.78,191.93
Spencer Dinwiddie,SG,26,BRK,64,49,1994,424,1021,0.415,123,400,0.308,301,621,0.485,0.476,347,446,0.778,32,189,221,432,40,21,174,180,1318,0.11,0.96,1.42,1.71,2.05,-0.27,1.35,1.83,0.08,1.58,1.83,-0.17,-0.29,3.11,3.22,0.33,0.25,2.96,0.35,0.06,2.04,404.35,381.63
Donte DiVincenzo,SG,23,MIL,66,24,1520,232,510,0.455,83,247,0.336,149,263,0.567,0.536,63,86,0.733,66,252,318,154,85,20,90,113,610,-0.62,1.05,0.76,0.45,0.48,0.09,0.62,0.77,0.27,0.29,0.2,0.49,0.27,-0.1,-0.06,0.12,0.84,0.5,2.03,0.02,0.38,227.13,228.85
Luka Dončić,PG,20,DAL,61,61,2047,581,1255,0.463,171,541,0.316,410,714,0.574,0.531,426,562,0.758,78,495,573,538,62,14,260,153,1759,-1.35,0.82,1.49,2.74,2.77,0.16,2.22,2.81,0.14,2.51,2.25,0.55,0.22,4,4.28,0.23,2.38,3.9,1.17,-0.23,3.08,556.52,537.35
Luguentz Dort,SG,20,OKC,36,28,820,86,218,0.394,30,101,0.297,56,117,0.479,0.463,42,53,0.792,24,57,81,27,31,4,22,97,244,-1.35,-0.28,-0.2,-0.51,-0.42,-0.47,-0.34,-0.25,0,-0.5,-0.46,-0.22,-0.41,-0.33,-0.36,0.4,-0.6,-0.63,0.01,-0.63,-0.48,82.25,86.38
Damyean Dotson,SG,25,NYK,48,0,836,120,290,0.414,59,163,0.362,61,127,0.48,0.516,22,33,0.667,10,81,91,57,23,4,21,44,321,-0.14,0.25,-0.18,-0.29,-0.2,-0.28,0.18,0.18,0.45,-0.46,-0.42,-0.21,0.08,-0.56,-0.54,-0.2,-0.54,-0.36,-0.28,-0.63,-0.3,109.48,111.68
Sekou Doumbouya,SF,19,DET,38,19,754,92,236,0.39,28,98,0.286,64,138,0.464,0.449,31,46,0.674,20,98,118,19,20,8,35,80,243,-1.59,-0.19,-0.3,-0.47,-0.37,-0.5,-0.38,-0.27,-0.07,-0.43,-0.37,-0.34,-0.54,-0.46,-0.42,-0.16,-0.37,-0.7,-0.4,-0.47,-0.48,86.3,91.88
PJ Dozier,PG,23,DEN,29,0,412,65,157,0.414,17,49,0.347,48,108,0.444,0.468,21,29,0.724,10,45,55,63,14,6,27,45,168,-0.62,-0.59,-0.77,-0.65,-0.61,-0.28,-0.58,-0.61,0.35,-0.57,-0.51,-0.5,-0.36,-0.57,-0.58,0.07,-0.75,-0.31,-0.62,-0.55,-0.66,61,57.38
Goran Dragić,PG,33,MIA,59,3,1663,319,724,0.441,124,338,0.367,195,386,0.505,0.526,191,246,0.776,29,158,187,301,40,10,144,124,953,1.81,0.74,0.96,1.02,1.13,-0.04,1.37,1.4,0.49,0.68,0.76,-0.01,0.18,1.35,1.4,0.32,0.05,1.8,0.35,-0.39,1.19,298.65,284.65
