Player,Pos,Age,Tm,G2019,GS,MP,FG,FGA,FGpct,3P,3PA,3Ppct,2P,2PA,2Ppct,eFGpct,FT,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,zAge,zGPlayed,zMP,zFG,zFGA,zFGpct,z3P,z3PA,z3Ppct,z2P,z2PA,z2Ppct,zeFGpct,zFT,zFTA,zFTpct,zTRB,zAST,zSTL,zBLK,zPTS,puntPctFV,puntASTFV
OG Anunoby,SF,22,TOR,69,68,2066,286,566,0.505,89,228,0.39,197,338,0.583,0.584,72,102,0.706,80,284,364,108,96,45,79,167,733,-0.86,1.18,1.51,0.8,0.65,0.55,0.73,0.63,0.65,0.7,0.54,0.62,0.71,0.01,0.09,-0.01,1.12,0.09,2.44,1.03,0.67,252.88,262.48
Ryan Arcidiacono,PG,25,CHI,58,4,930,90,220,0.409,54,138,0.391,36,82,0.439,0.532,27,38,0.711,20,90,110,96,27,3,37,96,261,-0.14,0.69,-0.05,-0.48,-0.42,-0.33,0.09,0.01,0.65,-0.67,-0.62,-0.55,0.23,-0.5,-0.5,0.01,-0.42,-0.01,-0.13,-0.67,-0.44,101.73,98.98
Trevor Ariza,SF,34,TOT,53,21,1493,142,324,0.438,77,207,0.372,65,117,0.556,0.557,62,74,0.838,34,212,246,91,69,15,56,111,423,2.05,0.47,0.72,-0.14,-0.1,-0.06,0.51,0.49,0.52,-0.42,-0.46,0.4,0.46,-0.11,-0.17,0.61,0.4,-0.06,1.43,-0.19,-0.06,161.77,167.6
D.J. Augustin,PG,32,ORL,57,13,1420,184,461,0.399,70,201,0.348,114,260,0.438,0.475,161,181,0.89,22,100,122,262,34,1,86,72,599,1.56,0.65,0.62,0.13,0.32,-0.42,0.38,0.45,0.36,-0.01,0.19,-0.55,-0.3,1.01,0.81,0.86,-0.35,1.46,0.13,-0.76,0.35,199.2,181.68
Deandre Ayton,C,21,PHO,38,32,1236,310,568,0.546,3,13,0.231,307,555,0.553,0.548,67,89,0.753,147,289,436,72,26,58,80,117,690,-1.11,-0.19,0.37,0.96,0.65,0.92,-0.84,-0.86,-0.45,1.63,1.53,0.38,0.38,-0.05,-0.03,0.21,1.55,-0.23,-0.17,1.56,0.57,223.08,229.7
Dwayne Bacon,SG,24,CHO,39,11,687,85,244,0.348,19,67,0.284,66,177,0.373,0.387,35,53,0.66,15,85,100,52,23,2,37,52,224,-0.38,-0.15,-0.39,-0.52,-0.34,-0.89,-0.54,-0.48,-0.09,-0.41,-0.19,-1.08,-1.11,-0.41,-0.36,-0.23,-0.48,-0.4,-0.28,-0.72,-0.52,84.03,84.12
Marvin Bagley III,PF,20,SAC,13,6,334,78,167,0.467,4,22,0.182,74,145,0.51,0.479,25,31,0.806,29,68,97,10,6,12,18,43,185,-1.35,-1.3,-0.87,-0.56,-0.58,0.2,-0.82,-0.79,-0.79,-0.35,-0.34,0.03,-0.26,-0.53,-0.56,0.46,-0.5,-0.78,-0.92,-0.31,-0.62,58.7,61.75
Lonzo Ball,PG,22,NOP,63,54,2025,277,687,0.403,148,395,0.375,129,292,0.442,0.511,43,76,0.566,71,312,383,438,88,38,193,128,745,-0.86,0.91,1.46,0.74,1.02,-0.38,1.8,1.79,0.54,0.12,0.33,-0.52,0.04,-0.32,-0.15,-0.67,1.23,3.01,2.14,0.75,0.7,321.38,294.82
Mo Bamba,C,21,ORL,62,0,878,132,286,0.462,37,107,0.346,95,179,0.531,0.526,31,46,0.674,100,202,302,42,23,86,42,116,332,-1.11,0.87,-0.12,-0.21,-0.21,0.15,-0.22,-0.21,0.34,-0.17,-0.18,0.2,0.18,-0.46,-0.42,-0.16,0.74,-0.49,-0.28,2.69,-0.27,141.57,151.35
J.J. Barea,PG,35,DAL,29,6,450,85,207,0.411,32,85,0.376,53,122,0.434,0.488,20,22,0.909,10,43,53,112,5,2,38,27,222,2.29,-0.59,-0.71,-0.52,-0.46,-0.31,-0.31,-0.36,0.55,-0.52,-0.44,-0.59,-0.18,-0.58,-0.64,0.95,-0.77,0.13,-0.95,-0.72,-0.53,80.12,71.1
