Player,Pos,Age,Tm,G2019,MP,FGA,3P,3PA,FTA,TRB,STL,BLK,PTS,puntASTFV
Sterling Brown,SF,24,MIL,52,767,256,44,136,40,183,29,7,266,113.3
Troy Brown Jr.,SG,20,WAS,69,1782,622,61,179,139,383,85,7,716,256.12
Jalen Brunson,PG,23,DAL,57,1022,388,43,120,75,134,22,4,466,143.45
Thomas Bryant,C,22,WAS,46,1147,418,37,91,116,331,25,49,609,199.38
Reggie Bullock,SG,28,NYK,29,684,224,37,111,21,68,25,3,234,82.23
Trey Burke,PG,27,TOT,33,520,209,32,75,29,50,16,2,243,75.02
Alec Burks,SG,28,TOT,66,1754,768,116,301,265,282,62,17,993,310.35
Deonte Burton,SG,26,OKC,39,356,125,10,53,14,57,7,10,104,45.45
Jimmy Butler,SF,30,MIA,58,1959,758,29,119,525,386,103,32,1157,341.72
Bruno Caboclo,C,24,TOT,30,244,89,6,33,9,60,15,17,90,39.88
Devontae Cacok,C,23,LAL,1,9,6,0,0,0,5,0,0,6,2.17
Kentavious Caldwell-Pope,SG,26,LAL,69,1762,507,92,239,102,142,57,14,645,202.98
Vlatko Čančar,SF,22,DEN,14,45,15,1,6,4,10,1,1,17,7.25
Clint Capela,C,25,HOU,39,1279,388,0,0,104,537,33,72,543,211.1
DeMarre Carroll,SF-PF,33,TOT,24,290,66,8,33,42,55,8,5,87,35.05
Jevon Carter,PG,24,PHO,58,945,243,62,146,27,118,47,17,287,111.87
Vince Carter,SF,43,ATL,60,876,304,61,202,29,124,23,25,298,122.18
Wendell Carter Jr.,C,20,CHI,43,1256,343,6,29,152,405,33,36,484,179.65
Michael Carter-Williams,SG,28,ORL,45,833,260,22,75,95,147,49,22,323,115.57
Alex Caruso,PG,25,LAL,64,1175,291,40,120,94,123,70,18,349,127.88
Willie Cauley-Stein,C,26,TOT,54,1097,302,0,1,66,315,49,61,390,150.12
Tyson Chandler,C,37,HOU,26,219,18,0,0,13,66,6,8,34,20.65
Wilson Chandler,SF,32,BRK,35,734,183,37,121,23,145,16,12,205,87.35
Joe Chealey,PG,24,CHO,4,33,7,0,4,2,0,4,0,2,2.25
Zylan Cheatham,SF,24,NOP,4,51,9,0,1,0,9,1,1,12,4.42
Chris Chiozza,PG,24,TOT,28,401,140,27,72,5,53,21,4,142,54.58
Marquese Chriss,PF,22,GSW,59,1196,385,8,39,156,365,39,62,548,193.05
Gary Clark,PF,25,TOT,42,567,133,39,111,10,110,6,22,156,70.35
Brandon Clarke,PF,23,MEM,58,1300,479,23,64,112,345,32,48,700,216.78
Jordan Clarkson,SG,27,TOT,71,1705,867,152,413,165,187,46,16,1078,322.35
Nicolas Claxton,PF,20,BRK,15,187,48,1,7,21,44,1,8,66,23.82
Chris Clemons,SG,22,HOU,33,291,142,37,107,11,30,9,6,161,56.75
Antonius Cleveland,SG,25,DAL,11,46,14,0,3,5,7,1,3,11,5.73
Amir Coffey,SG,22,LAC,18,159,54,6,19,11,16,5,2,58,20.18
John Collins,PF,22,ATL,41,1363,605,59,147,150,416,31,66,885,277.05
Zach Collins,PF,22,POR,11,290,68,7,19,8,69,5,5,77,31.8
Mike Conley,PG,32,UTA,47,1363,567,96,256,139,151,36,5,675,211.55
Pat Connaughton,SG,27,MIL,67,1243,301,55,166,40,284,25,31,360,152.45
Quinn Cook,PG,26,LAL,44,508,214,31,85,14,51,12,2,224,73.4
Tyler Cook,PF,22,TOT,13,54,12,0,0,8,14,3,0,23,8
Robert Covington,PF-C,29,TOT,70,2137,723,161,480,124,463,115,93,870,349.28
Allen Crabbe,SG,27,TOT,37,653,177,36,119,14,77,15,4,172,70.5
Torrey Craig,SF,29,DEN,58,1072,269,45,138,36,189,23,36,315,125.6
Jamal Crawford,SG,39,BRK,1,6,4,1,2,0,0,0,0,5,1.38
Jae Crowder,SF,29,TOT,65,1875,563,135,394,125,384,72,24,684,271.35
Jarrett Culver,SG,20,MIN,63,1506,569,66,221,117,212,57,38,580,210.85
Seth Curry,SG,29,DAL,64,1576,574,145,321,97,145,38,9,793,237.17
Stephen Curry,PG,31,GSW,5,139,82,12,49,26,26,5,2,104,33
Troy Daniels,SG,28,TOT,47,532,186,46,132,16,52,11,3,200,73.48
Anthony Davis,PF,26,LAL,62,2131,1096,72,218,525,577,91,143,1618,489.75
Ed Davis,C,30,UTA,28,303,46,0,0,14,105,11,9,51,32.53
Terence Davis,SG,22,TOR,72,1209,436,94,242,59,237,39,14,543,193.22
Dewayne Dedmon,C,30,TOT,44,774,255,22,107,36,249,25,41,256,120.63
Matthew Dellavedova,PG,29,CLE,57,821,175,21,91,37,75,20,2,177,69.75
DeMar DeRozan,SF,30,SAS,68,2316,1049,9,35,451,375,70,20,1504,394.05
Cheick Diallo,C,23,PHO,47,479,142,1,3,39,131,11,12,219,70.5
Hamidou Diallo,SF,21,OKC,46,896,296,16,57,63,167,37,9,318,114.18
Gorgui Dieng,C,30,TOT,63,1096,364,54,152,101,354,51,59,464,191.93
Spencer Dinwiddie,SG,26,BRK,64,1994,1021,123,400,446,221,40,21,1318,381.63
Donte DiVincenzo,SG,23,MIL,66,1520,510,83,247,86,318,85,20,610,228.85
Luka Dončić,PG,20,DAL,61,2047,1255,171,541,562,573,62,14,1759,537.35
Luguentz Dort,SG,20,OKC,36,820,218,30,101,53,81,31,4,244,86.38
Damyean Dotson,SG,25,NYK,48,836,290,59,163,33,91,23,4,321,111.68
Sekou Doumbouya,SF,19,DET,38,754,236,28,98,46,118,20,8,243,91.88
PJ Dozier,PG,23,DEN,29,412,157,17,49,29,55,14,6,168,57.38
Goran Dragić,PG,33,MIA,59,1663,724,124,338,246,187,40,10,953,284.65
Andre Drummond,C,26,TOT,57,1879,784,5,35,294,864,109,93,1010,386.78
Jared Dudley,SF,34,LAL,45,364,60,18,42,2,52,15,3,68,33.88
Kris Dunn,PG,25,CHI,51,1269,342,29,112,54,186,101,17,373,144.98
Carsen Edwards,SG,21,BOS,37,351,128,24,76,19,47,12,4,121,49.8
Henry Ellenson,PF,23,BRK,5,15,7,0,4,0,6,0,0,2,2.52
Wayne Ellington,SG,32,NYK,36,558,174,50,143,13,65,13,4,183,72.9
Joel Embiid,C,25,PHI,51,1506,801,57,172,435,593,45,65,1172,377.65
James Ennis,SF,29,TOT,69,1265,359,55,169,98,245,35,22,454,167.57
Drew Eubanks,PF,22,SAS,22,272,67,1,1,26,85,5,17,107,39.27
Jacob Evans,SG,22,TOT,29,418,134,13,39,29,41,11,12,128,47.17
Dante Exum,SG,24,TOT,35,485,119,15,43,43,67,13,8,159,54.85
Tacko Fall,C,24,BOS,7,33,14,0,0,3,15,1,4,23,7.95
Derrick Favors,C,28,NOP,51,1243,339,1,7,71,501,30,46,459,185.85
Cristiano Felício,PF,27,CHI,22,386,54,0,2,23,102,10,2,86,36.2
Terrance Ferguson,SF,21,OKC,56,1257,220,49,168,20,74,27,17,220,91.12
Bruno Fernando,C,21,ATL,56,713,199,5,37,51,198,18,17,240,95
Yogi Ferrell,PG,26,SAC,50,530,188,24,79,42,49,18,4,218,71.47
Dorian Finney-Smith,PF,26,DAL,71,2120,522,114,303,108,405,45,39,678,258
Bryn Forbes,SG,26,SAS,63,1579,581,148,381,90,126,33,0,707,226.62
Evan Fournier,SG,27,ORL,66,2076,929,173,434,220,171,71,15,1221,354.2
De'Aaron Fox,PG,22,SAC,51,1634,815,54,185,342,196,74,25,1077,301.92
Melvin Frazier,SG,23,ORL,19,126,34,8,16,4,10,9,2,40,15.38
Michael Frazier,SG,25,HOU,13,145,29,4,23,14,10,2,0,27,11.97
Tim Frazier,PG,29,DET,27,355,94,10,30,24,33,14,4,97,35.9
Markelle Fultz,PG,21,ORL,72,1996,772,36,135,159,238,90,11,870,264.78
Wenyen Gabriel,PF,22,TOT,30,235,48,6,20,22,52,11,7,63,28.78
Daniel Gafford,C,21,CHI,43,609,134,0,0,60,106,13,56,220,73.38
Danilo Gallinari,PF,31,OKC,62,1834,817,178,439,298,322,42,5,1160,356.78
Langston Galloway,SG,28,DET,66,1702,542,132,331,85,149,48,11,677,220.55
Darius Garland,PG,20,CLE,59,1824,699,105,296,72,111,42,4,728,227.8
Marc Gasol,C,35,TOR,44,1161,279,57,148,49,275,34,38,331,145.3
Rudy Gay,PF,33,SAS,67,1461,596,74,220,136,362,35,33,726,252.43
Paul George,SF,29,LAC,48,1419,782,157,381,217,272,68,20,1033,323.98
Taj Gibson,C,34,NYK,62,1025,286,4,14,56,267,27,30,379,133.57
Harry Giles,PF,21,SAC,46,667,251,0,2,49,188,22,18,316,104.85
Shai Gilgeous-Alexander,SG,21,OKC,70,2428,1015,87,251,357,412,79,47,1331,401.38
Rudy Gobert,C,27,UTA,68,2333,557,0,0,403,916,51,135,1026,374.5
Brandon Goodwin,PG,24,ATL,34,430,190,26,87,30,72,12,4,206,71.78
Aaron Gordon,PF,24,ORL,62,2017,767,73,237,224,475,51,39,894,315.95
Eric Gordon,SF,31,HOU,36,1016,463,96,303,107,71,23,13,520,170.12
Devonte' Graham,PG,24,CHO,63,2211,963,218,585,233,212,62,15,1145,370.28
Treveon Graham,SG,26,TOT,55,929,242,33,120,56,150,24,6,243,101.62
Jerami Grant,PF,25,DEN,71,1892,634,98,252,196,248,50,57,851,269.3
Jerian Grant,PG,27,WAS,6,80,27,2,8,7,6,1,1,27,8.93
Josh Gray,PG,26,NOP,2,23,2,0,0,0,2,0,0,2,0.9
Danny Green,SG,32,LAL,68,1687,474,120,327,48,225,85,32,547,214.1
Draymond Green,PF,29,GSW,43,1222,316,36,129,83,266,59,33,345,149.98
JaMychal Green,PF,29,LAC,63,1307,352,92,238,48,388,29,24,430,191.57
Javonte Green,SF,26,BOS,48,468,126,9,33,42,93,24,8,163,61.03
Jeff Green,PF-C,33,TOT,48,960,344,62,183,91,133,26,19,453,147.35
Blake Griffin,PF,30,DET,18,512,250,27,111,98,84,7,7,279,92.53
Marko Guduric,SG,24,MEM,44,484,157,25,83,26,73,12,8,173,65.22
Kyle Guy,SG,22,SAC,3,10,5,0,3,0,1,0,0,4,1.6
Rui Hachimura,PF,21,WAS,48,1444,545,25,87,140,294,37,8,649,206.73
Devon Hall,SG,24,OKC,11,81,30,4,17,8,7,4,1,20,10.3
Donta Hall,PF,22,TOT,9,133,22,0,0,18,38,3,6,39,15.7
Dusty Hannahs,SG,26,MEM,2,13,9,2,3,2,1,0,0,12,3.28
Tim Hardaway Jr.,SG,27,DAL,71,2091,884,204,513,182,232,41,5,1121,348.62
James Harden,SG,30,HOU,68,2483,1514,299,843,800,446,125,60,2335,683.62
Maurice Harkless,SF,26,TOT,62,1427,283,34,98,66,240,58,33,357,142.12
Jared Harper,PG,22,PHO,3,8,4,0,2,0,0,0,0,2,1.02
Montrezl Harrell,C,26,LAC,63,1749,812,0,18,351,445,39,72,1173,334.85
