Player,Pos,Age,Tm,G2019,MP,FGA,3P,3PA,FTA,TRB,AST,STL,BLK,PTS,puntPctFV
Steven Adams,C,26,OKC,63,1680,478,1,3,201,583,146,51,67,684,249.2
Bam Adebayo,PF,22,MIA,72,2417,790,2,14,382,735,368,82,93,1146,397.9
LaMarcus Aldridge,C,34,SAS,53,1754,793,61,157,191,392,129,36,87,1001,309.15
Jarrett Allen,C,21,BRK,70,1852,465,0,6,270,671,110,40,92,775,269.8
Kyle Anderson,PF,26,MEM,67,1330,331,24,85,78,285,162,54,37,390,163.32
Giannis Antetokounmpo,PF,25,MIL,63,1917,1238,89,293,629,856,354,61,66,1857,569.28
Carmelo Anthony,PF,35,POR,58,1902,782,87,226,161,368,85,49,27,895,286.75
OG Anunoby,SF,22,TOR,69,2066,566,89,228,102,364,108,96,45,733,255.1
Ryan Arcidiacono,PG,25,CHI,58,930,220,54,138,38,110,96,27,3,261,103.08
Trevor Ariza,SF,34,TOT,53,1493,324,77,207,74,246,91,69,15,423,163.7
D.J. Augustin,PG,32,ORL,57,1420,461,70,201,181,122,262,34,1,599,200.95
Lonzo Ball,PG,22,NOP,63,2025,687,148,395,76,383,438,88,38,745,325.08
Mo Bamba,C,21,ORL,62,878,286,37,107,46,302,42,23,86,332,142.5
Harrison Barnes,PF,27,SAC,72,2482,793,102,268,267,355,159,43,12,1046,319.4
RJ Barrett,SG,19,NYK,56,1704,727,63,197,254,279,143,55,17,803,263.1
Will Barton,SF,29,DEN,58,1916,738,108,288,133,365,212,61,29,874,302
Kent Bazemore,SF-SG,30,TOT,68,1688,534,84,244,147,294,93,74,40,597,222.12
Darius Bazley,PF,19,OKC,61,1130,317,49,141,62,246,41,23,41,342,137.62
Bradley Beal,SG,26,WAS,57,2053,1303,170,481,457,242,347,71,23,1741,494.3
Malik Beasley,SG,23,TOT,55,1209,534,107,276,66,148,75,40,8,615,197.1
Marco Belinelli,SG,33,SAS,57,883,314,67,178,58,99,69,12,1,361,122.15
Dāvis Bertāns,PF,27,WAS,54,1583,610,200,472,122,245,92,37,33,834,271.82
Patrick Beverley,PG,31,LAC,51,1342,341,80,206,47,266,183,54,25,405,176.03
Goga Bitadze,C,20,IND,54,471,150,8,42,33,106,23,10,37,172,66.48
Bismack Biyombo,C,27,CHO,53,1029,278,0,0,151,308,50,10,49,393,136.8
Nemanja Bjelica,PF,31,SAC,72,2011,653,134,320,84,458,203,62,40,831,304.8
Eric Bledsoe,PG,30,MIL,61,1646,703,74,215,214,282,328,57,26,911,300.72
Bogdan Bogdanović,SG,27,SAC,61,1766,766,164,441,116,207,207,64,15,924,303.75
Bojan Bogdanović,SF,30,UTA,63,2083,935,189,457,277,259,131,34,7,1275,364.88
Isaac Bonga,SF,20,WAS,66,1250,234,25,71,85,222,76,45,22,330,124.03
Devin Booker,SG,23,PHO,70,2512,1283,141,398,509,297,456,49,18,1863,519.18
Chris Boucher,PF,27,TOR,62,819,299,38,118,116,277,26,22,61,411,147.73
Tony Bradley,C,22,UTA,58,663,189,3,3,46,267,23,14,33,285,102.68
Mikal Bridges,SF,23,PHO,73,2042,484,70,194,122,292,129,102,46,667,229.88
Miles Bridges,SF,21,CHO,65,1995,753,99,300,131,362,114,40,48,843,286.7
Malcolm Brogdon,PG,27,IND,54,1666,744,75,230,186,262,381,35,10,893,301.6
Dillon Brooks,SG,24,MEM,73,2112,1068,147,411,203,243,150,63,27,1181,364.28
Bruce Brown,SG,23,DET,58,1634,447,33,96,119,274,230,63,29,517,200.08
Jaylen Brown,SF,23,BOS,57,1934,887,129,338,243,364,118,65,20,1159,347.82
Sterling Brown,SF,24,MIL,52,767,256,44,136,40,183,51,29,7,266,109.8
Troy Brown Jr.,SG,20,WAS,69,1782,622,61,179,139,383,178,85,7,716,258.55
Jalen Brunson,PG,23,DAL,57,1022,388,43,120,75,134,188,22,4,466,158.07
Alec Burks,SG,28,TOT,66,1754,768,116,301,265,282,189,62,17,993,310.8
Jimmy Butler,SF,30,MIA,58,1959,758,29,119,525,386,350,103,32,1157,356.35
Kentavious Caldwell-Pope,SG,26,LAL,69,1762,507,92,239,102,142,111,57,14,645,203
Jevon Carter,PG,24,PHO,58,945,243,62,146,27,118,84,47,17,287,113.5
Vince Carter,SF,43,ATL,60,876,304,61,202,29,124,48,23,25,298,118.1
Alex Caruso,PG,25,LAL,64,1175,291,40,120,94,123,124,70,18,349,132.75
Willie Cauley-Stein,C,26,TOT,54,1097,302,0,1,66,315,70,49,61,390,146.58
Marquese Chriss,PF,22,GSW,59,1196,385,8,39,156,365,114,39,62,548,190.78
Brandon Clarke,PF,23,MEM,58,1300,479,23,64,112,345,81,32,48,700,211.88
Jordan Clarkson,SG,27,TOT,71,1705,867,152,413,165,187,136,46,16,1078,318.68
Pat Connaughton,SG,27,MIL,67,1243,301,55,166,40,284,107,25,31,360,152.18
Robert Covington,PF-C,29,TOT,70,2137,723,161,480,124,463,88,115,93,870,328.4
Torrey Craig,SF,29,DEN,58,1072,269,45,138,36,189,47,23,36,315,120.93
Jae Crowder,SF,29,TOT,65,1875,563,135,394,125,384,161,72,24,684,266.5
Jarrett Culver,SG,20,MIN,63,1506,569,66,221,117,212,110,57,38,580,208.48
Seth Curry,SG,29,DAL,64,1576,574,145,321,97,145,124,38,9,793,237.43
Anthony Davis,PF,26,LAL,62,2131,1096,72,218,525,577,200,91,143,1618,475.9
Terence Davis,SG,22,TOR,72,1209,436,94,242,59,237,115,39,14,543,192.82
Matthew Dellavedova,PG,29,CLE,57,821,175,21,91,37,75,180,20,2,177,86.62
DeMar DeRozan,SF,30,SAS,68,2316,1049,9,35,451,375,380,70,20,1504,417.78
Gorgui Dieng,C,30,TOT,63,1096,364,54,152,101,354,73,51,59,464,183.12
Spencer Dinwiddie,SG,26,BRK,64,1994,1021,123,400,446,221,432,40,21,1318,407.42
Donte DiVincenzo,SG,23,MIL,66,1520,510,83,247,86,318,154,85,20,610,229.2
Luka Dončić,PG,20,DAL,61,2047,1255,171,541,562,573,538,62,14,1759,560.8
Goran Dragić,PG,33,MIA,59,1663,724,124,338,246,187,301,40,10,953,301.75
Andre Drummond,C,26,TOT,57,1879,784,5,35,294,864,152,109,93,1010,370.9
Kris Dunn,PG,25,CHI,51,1269,342,29,112,54,186,173,101,17,373,154.85
Joel Embiid,C,25,PHI,51,1506,801,57,172,435,593,152,45,65,1172,363.9
James Ennis,SF,29,TOT,69,1265,359,55,169,98,245,63,35,22,454,161.22
Derrick Favors,C,28,NOP,51,1243,339,1,7,71,501,81,30,46,459,179.6
Terrance Ferguson,SF,21,OKC,56,1257,220,49,168,20,74,51,27,17,220,89.85
Bruno Fernando,C,21,ATL,56,713,199,5,37,51,198,49,18,17,240,93.1
Dorian Finney-Smith,PF,26,DAL,71,2120,522,114,303,108,405,114,45,39,678,249.75
Bryn Forbes,SG,26,SAS,63,1579,581,148,381,90,126,108,33,0,707,224.38
Evan Fournier,SG,27,ORL,66,2076,929,173,434,220,171,209,71,15,1221,357.55
De'Aaron Fox,PG,22,SAC,51,1634,815,54,185,342,196,348,74,25,1077,324.88
Markelle Fultz,PG,21,ORL,72,1996,772,36,135,159,238,369,90,11,870,295.08
Danilo Gallinari,PF,31,OKC,62,1834,817,178,439,298,322,119,42,5,1160,344
Langston Galloway,SG,28,DET,66,1702,542,132,331,85,149,101,48,11,677,217.57
Darius Garland,PG,20,CLE,59,1824,699,105,296,72,111,229,42,4,728,243.3
Rudy Gay,PF,33,SAS,67,1461,596,74,220,136,362,114,35,33,726,247.02
Taj Gibson,C,34,NYK,62,1025,286,4,14,56,267,52,27,30,379,130.22
Shai Gilgeous-Alexander,SG,21,OKC,70,2428,1015,87,251,357,412,232,79,47,1331,401.72
Rudy Gobert,C,27,UTA,68,2333,557,0,0,403,916,101,51,135,1026,349.5
