Player,Pos,Age,Tm,G2019,MP,FGA,3P,3PA,FTA,TRB,AST,STL,BLK,PTS,puntPctFV
Julius Randle,PF,25,NYK,64,2080,1006,64,231,352,622,198,51,22,1248,399.78
Josh Reaves,SG,22,DAL,4,28,9,0,2,2,3,3,0,0,8,3.1
Cam Reddish,SF,20,ATL,58,1551,554,83,250,126,216,87,62,28,610,209.08
J.J. Redick,SG,35,NOP,60,1581,631,180,397,185,151,119,20,10,917,262.2
Naz Reid,C,20,MIN,30,495,243,32,97,53,124,35,19,22,269,94.55
Josh Richardson,SG,26,PHI,55,1693,646,85,249,141,174,162,52,36,755,240.58
Austin Rivers,SG,27,HOU,68,1594,501,96,270,111,175,113,49,10,596,198.95
Andre Roberson,SG,28,OKC,7,87,29,3,14,2,27,4,1,3,20,11.35
Duncan Robinson,SG,25,MIA,73,2166,687,270,606,72,232,102,35,19,983,304.65
Glenn Robinson III,SF,26,TOT,62,1786,592,77,197,86,270,96,54,16,727,228.92
Jerome Robinson,SG,22,TOT,63,979,310,49,153,57,129,87,28,17,319,122.2
Justin Robinson,PG,22,WAS,9,49,12,3,5,0,5,7,0,1,13,5.68
Mitchell Robinson,C,21,NYK,61,1412,341,0,0,148,428,36,52,119,590,195.5
Isaiah Roby,SF,21,OKC,3,11,1,0,0,0,2,0,0,0,0,0.58
Rajon Rondo,PG,33,LAL,48,984,328,41,125,41,142,240,40,2,342,143.52
Derrick Rose,PG,31,DET,50,1298,753,45,147,139,121,278,40,16,904,264.25
Terrence Ross,SG,28,ORL,69,1889,846,177,504,184,222,82,77,24,1016,314.9
Terry Rozier,PG,25,CHO,63,2164,941,172,423,190,276,259,61,10,1134,359.42
Ricky Rubio,PG,29,PHO,65,2016,692,78,216,226,304,570,94,11,847,326.58
D'Angelo Russell,PG,23,TOT,45,1452,846,158,431,199,177,285,48,13,1039,325.55
Domantas Sabonis,PF,23,IND,62,2159,848,17,67,296,771,310,47,30,1147,390.02
Luka Šamanić,PF,20,SAS,3,48,16,3,8,4,10,6,0,2,16,6.87
JaKarr Sampson,SF,26,IND,34,471,115,2,13,27,88,21,16,12,156,52.2
Dario Šarić,PF,25,PHO,66,1632,538,84,235,128,406,123,37,16,704,242.85
Tomáš Satoranský,PG,28,CHI,65,1878,551,64,199,121,254,354,80,7,644,246.73
Admiral Schofield,SF,22,WAS,33,368,92,19,61,15,47,15,8,4,99,38.62
Dennis Schröder,PG,26,OKC,65,1999,965,125,325,236,236,262,45,14,1229,359.28
Mike Scott,PF,31,PHI,68,1207,350,80,217,37,248,56,21,5,408,152.12
Thabo Sefolosha,PF,35,HOU,41,436,91,15,54,8,93,25,24,12,92,47.33
Collin Sexton,SG,21,CLE,65,2143,1086,97,255,267,204,192,65,7,1349,369.72
Landry Shamet,SG,22,LAC,53,1452,391,111,296,76,100,99,20,10,492,161
Marial Shayok,SG,24,PHI,4,28,12,2,6,4,7,1,0,1,11,4.6
Iman Shumpert,SG,29,BRK,13,241,64,8,33,7,34,12,12,2,54,24.25
Pascal Siakam,PF,25,TOR,60,2110,1104,131,365,303,439,207,61,53,1371,420.2
Chris Silva,PF,23,MIA,44,346,78,0,3,55,126,23,9,21,133,51.62
Ben Simmons,PG,23,PHI,57,2017,647,2,7,298,444,455,119,33,937,325.47
Anfernee Simons,SG,20,POR,70,1449,536,75,226,92,152,97,26,10,579,187.95
Alen Smailagić,PF,19,GSW,14,139,40,3,13,19,27,13,3,4,59,19.73
Marcus Smart,SG,25,BOS,60,1919,682,137,395,152,225,291,101,29,776,287.7
Dennis Smith Jr.,PG,22,NYK,34,537,211,16,54,53,78,98,28,8,187,79.15
Ish Smith,PG,31,WAS,68,1787,689,62,169,86,219,334,59,30,740,263.55
J.R. Smith,SG,34,LAL,6,79,22,1,11,2,5,3,1,0,17,6.6
Zhaire Smith,SG,20,PHI,7,32,11,0,3,4,2,2,3,0,8,3.75
Tony Snell,SF,28,DET,59,1641,382,102,254,32,111,127,32,15,474,161.2
Omari Spellman,PF,22,GSW,49,886,295,43,110,92,219,47,33,24,370,131.9
Max Strus,SG,23,CHI,2,6,3,0,1,1,1,0,0,0,5,1.27
Edmond Sumner,PG,24,IND,31,447,142,14,53,29,46,55,15,9,152,55.93
Caleb Swanigan,PF,22,TOT,27,288,47,0,2,17,100,31,3,7,65,33
Jayson Tatum,PF,21,BOS,66,2265,1226,189,469,313,460,200,93,57,1547,472.35
Jeff Teague,PG,31,TOT,59,1464,489,43,117,197,142,308,44,19,641,212.65
Garrett Temple,SG,33,BRK,62,1730,587,127,386,87,218,156,49,29,641,234.15
Daniel Theis,C,27,BOS,65,1566,426,32,96,114,426,111,37,84,601,215.7
Isaiah Thomas,PG,30,WAS,40,925,426,78,189,76,68,146,13,6,488,154.88
Khyri Thomas,SG,23,DET,8,61,17,5,14,4,1,3,3,0,17,6.6
Lance Thomas,SF,31,BRK,7,98,23,4,13,4,13,6,0,0,24,9.35
Matt Thomas,SG,25,TOR,41,440,150,47,99,12,61,22,10,1,202,65.02
Tristan Thompson,C,28,CLE,57,1721,562,9,23,161,577,120,33,50,684,249.55
Sindarius Thornwell,SG,25,NOP,2,35,11,2,4,4,4,4,1,1,16,5
Matisse Thybulle,SG,22,PHI,65,1287,265,56,157,41,107,79,94,47,305,124.85
Anthony Tolliver,PF,34,TOT,55,872,182,49,145,29,154,42,19,11,200,88.45
Juan Toscano-Anderson,SF,26,GSW,13,272,63,8,23,5,52,26,13,5,69,29.98
Karl-Anthony Towns,C,24,MIN,35,1187,622,114,277,226,378,153,33,42,926,287.22
Gary Trent Jr.,SG,21,POR,61,1332,441,112,268,45,100,61,48,16,541,170.15
Allonzo Trier,PG,24,NYK,24,291,106,19,53,43,29,28,3,4,155,45.4
P.J. Tucker,PF,34,HOU,72,2467,426,107,299,48,476,115,77,36,500,225.35
Rayjon Tucker,SG,22,UTA,20,161,43,3,17,23,20,5,1,1,62,18.65
Evan Turner,PG,31,ATL,19,251,67,0,5,14,38,38,9,8,62,28.1
Myles Turner,C,23,IND,62,1826,587,86,250,169,407,72,46,132,749,264.42
Jarrod Uthoff,SF,26,TOT,7,53,18,3,9,2,6,0,1,0,19,6.38
Jonas Valančiūnas,C,27,MEM,70,1845,739,32,91,200,788,131,30,76,1044,350.53
Denzel Valentine,SF,26,CHI,36,488,237,46,137,8,74,43,26,6,246,87.42
Jarred Vanderbilt,SF-PF,20,TOT,11,46,8,0,1,2,9,2,3,1,12,5.1
Fred VanVleet,PG,25,TOR,54,1928,773,146,374,198,203,357,100,17,952,323.22
Gabe Vincent,PG,23,MIA,9,83,37,6,27,0,5,6,5,0,22,11.07
Noah Vonleh,C-PF,24,TOT,36,377,92,3,15,32,124,28,11,6,132,51.37
Nikola Vučević,C,29,ORL,62,1998,1033,98,289,167,673,222,54,47,1215,412.75
Dean Wade,PF,23,CLE,12,71,13,2,4,1,19,2,2,4,20,8.5
Moritz Wagner,C,22,WAS,45,835,266,25,80,95,219,56,28,19,393,128.22
Dion Waiters,SG,28,TOT,10,207,99,15,47,17,24,20,4,6,111,35.55
Kemba Walker,PG,29,BOS,56,1742,889,180,473,242,217,268,48,28,1145,354.05
Lonnie Walker,SG,21,SAS,61,988,357,41,101,61,139,68,32,14,389,131.2
Tyrone Wallace,SG,25,ATL,14,160,44,1,15,17,22,13,7,1,40,17.1
Derrick Walton,PG,24,TOT,26,248,39,10,24,9,16,27,7,0,53,21.15
Brad Wanamaker,PG,30,BOS,71,1369,362,37,102,136,144,179,61,14,487,164.35
T.J. Warren,SF,26,IND,67,2202,997,91,226,204,280,99,78,34,1326,357.35
P.J. Washington,PF,21,CHO,58,1759,589,86,230,136,316,123,51,44,710,242.25
Yuta Watanabe,SG,25,MEM,18,105,34,3,8,8,20,5,5,1,36,14.03
Tremont Waters,PG,22,BOS,11,119,49,4,24,8,12,16,10,2,40,17.52
Paul Watson,SF-SG,25,TOT,10,87,26,4,12,9,17,8,4,1,31,12.2
Quinndary Weatherspoon,SG,23,SAS,11,78,17,1,5,2,7,11,3,1,12,7.18
Russell Westbrook,PG,31,HOU,57,2049,1281,55,213,380,451,401,93,20,1553,472.78
Coby White,SG,19,CHI,65,1674,792,133,376,129,230,175,49,6,859,284.28
Derrick White,SG,25,SAS,68,1677,552,79,216,211,223,241,44,59,765,250.78
Hassan Whiteside,C,30,POR,67,2008,702,4,7,239,905,78,26,196,1040,362.58
Andrew Wiggins,SF-SG,24,TOT,54,1858,978,111,334,268,274,198,45,53,1175,354.48
Grant Williams,PF,21,BOS,69,1043,211,24,96,54,178,68,30,36,237,103.45
Johnathan Williams,C,24,WAS,15,180,34,0,2,13,64,8,1,8,45,20.7
Kenrich Williams,PF,25,NOP,39,832,147,25,97,26,186,57,27,21,136,79
Lou Williams,SG,33,LAC,65,1864,936,111,315,339,201,365,43,12,1185,359.55
Marvin Williams,PF,33,TOT,58,1129,267,56,156,57,183,60,36,30,343,127.38
Robert Williams,C,22,BOS,29,388,88,0,0,34,128,27,22,35,150,57.08
Nigel Williams-Goss,PG,25,UTA,10,50,16,2,7,2,6,6,3,1,14,6.7
