Player,Pos,Age,Tm,G2019,MP,FGA,3P,3PA,FTA,TRB,STL,BLK,PTS,puntASTFV
Terrance Ferguson,SF,21,OKC,56,1257,220,49,168,20,74,27,17,220,88.18
Bruno Fernando,C,21,ATL,56,713,199,5,37,51,198,18,17,240,89.17
Dorian Finney-Smith,PF,26,DAL,71,2120,522,114,303,108,405,45,39,678,245.78
Bryn Forbes,SG,26,SAS,63,1579,581,148,381,90,126,33,0,707,222.65
Evan Fournier,SG,27,ORL,66,2076,929,173,434,220,171,71,15,1221,347.78
De'Aaron Fox,PG,22,SAC,51,1634,815,54,185,342,196,74,25,1077,294.55
Markelle Fultz,PG,21,ORL,72,1996,772,36,135,159,238,90,11,870,256.3
Danilo Gallinari,PF,31,OKC,62,1834,817,178,439,298,322,42,5,1160,347.55
Langston Galloway,SG,28,DET,66,1702,542,132,331,85,149,48,11,677,215.35
Darius Garland,PG,20,CLE,59,1824,699,105,296,72,111,42,4,728,223.88
Rudy Gay,PF,33,SAS,67,1461,596,74,220,136,362,35,33,726,241.68
Taj Gibson,C,34,NYK,62,1025,286,4,14,56,267,27,30,379,125.47
Shai Gilgeous-Alexander,SG,21,OKC,70,2428,1015,87,251,357,412,79,47,1331,387.92
Rudy Gobert,C,27,UTA,68,2333,557,0,0,403,916,51,135,1026,346.95
Aaron Gordon,PF,24,ORL,62,2017,767,73,237,224,475,51,39,894,301.82
Devonte' Graham,PG,24,CHO,63,2211,963,218,585,233,212,62,15,1145,363.05
Treveon Graham,SG,26,TOT,55,929,242,33,120,56,150,24,6,243,97.12
Jerami Grant,PF,25,DEN,71,1892,634,98,252,196,248,50,57,851,260.42
Danny Green,SG,32,LAL,68,1687,474,120,327,48,225,85,32,547,205.55
JaMychal Green,PF,29,LAC,63,1307,352,92,238,48,388,29,24,430,180.55
Tim Hardaway Jr.,SG,27,DAL,71,2091,884,204,513,182,232,41,5,1121,341.68
James Harden,SG,30,HOU,68,2483,1514,299,843,800,446,125,60,2335,667.85
Maurice Harkless,SF,26,TOT,62,1427,283,34,98,66,240,58,33,357,133.85
Montrezl Harrell,C,26,LAC,63,1749,812,0,18,351,445,39,72,1173,320.95
Gary Harris,SG,25,DEN,56,1780,519,70,210,92,163,76,14,581,189.45
Joe Harris,SF,28,BRK,69,2123,784,172,406,89,298,41,17,998,309.22
Tobias Harris,PF,27,PHI,72,2469,1173,131,357,216,495,53,40,1411,426.53
Josh Hart,SF,24,NOP,65,1755,532,121,354,115,425,63,23,656,251.38
Jaxson Hayes,C,19,NOP,64,1080,259,1,4,190,259,26,55,472,142.12
Gordon Hayward,SF,29,BOS,52,1740,700,85,222,145,348,38,22,909,273.05
Tyler Herro,SG,20,MIA,55,1508,631,116,298,100,224,34,9,743,235.32
Mario Hezonja,PF,24,POR,53,871,218,24,78,59,184,36,9,256,98.2
Buddy Hield,SG,27,SAC,72,2216,1162,271,688,136,328,66,17,1382,438
George Hill,PG,33,MIL,59,1271,376,81,176,101,177,47,5,554,168.28
Solomon Hill,SF,28,TOT,59,1088,278,63,171,54,165,43,12,323,123.5
Aaron Holiday,PG,23,IND,66,1617,563,87,221,87,156,55,16,627,199.8
Jrue Holiday,SG,29,NOP,61,2117,1006,122,346,182,293,99,48,1167,356.35
Justin Holiday,SG,30,IND,73,1826,486,134,331,67,238,87,46,603,220.75
Rondae Hollis-Jefferson,SF,25,TOR,60,1122,329,3,23,143,283,46,23,418,142.9
Al Horford,C,33,PHI,67,2025,709,99,283,80,456,52,61,798,284.4
Danuel House,SF,26,HOU,63,1913,539,129,355,90,267,67,34,662,234.62
Dwight Howard,C,34,LAL,69,1306,277,3,5,214,507,31,79,517,186.07
Kevin Huerter,SG,21,ATL,56,1760,610,127,334,64,228,51,27,684,233.07
