Player,Pos,Age,Tm,G2019,MP,zAge,zGPlayed,zMP,zFGA,z3PA,zFTA,zTRB,zSTL,zBLK,zPTS,puntASTFV
Steven Adams,C,26,OKC,63,1680,0.11,0.91,0.98,0.38,-0.93,0.99,2.44,0.76,1.92,0.55,236.05
Bam Adebayo,PF,22,MIA,72,2417,-0.86,1.31,2,1.34,-0.85,2.64,3.36,1.91,2.98,1.64,361.8
LaMarcus Aldridge,C,34,SAS,53,1754,2.05,0.47,1.08,1.35,0.14,0.9,1.29,0.2,2.73,1.3,301.72
Jarrett Allen,C,21,BRK,70,1852,-1.11,1.22,1.22,0.34,-0.91,1.62,2.98,0.35,2.94,0.77,262.95
Kyle Anderson,PF,26,MEM,67,1330,0.11,1.09,0.5,-0.08,-0.36,-0.13,0.64,0.87,0.71,-0.14,147.15
Giannis Antetokounmpo,PF,25,MIL,63,1917,-0.14,0.91,1.31,2.72,1.08,4.89,4.1,1.13,1.88,3.3,548.08
Carmelo Anthony,PF,35,POR,58,1902,2.29,0.69,1.29,1.31,0.62,0.62,1.14,0.68,0.3,1.05,285.8
OG Anunoby,SF,22,TOR,69,2066,-0.86,1.18,1.51,0.65,0.63,0.09,1.12,2.44,1.03,0.67,249.85
Ryan Arcidiacono,PG,25,CHI,58,930,-0.14,0.69,-0.05,-0.42,0.01,-0.5,-0.42,-0.13,-0.67,-0.44,95.48
Trevor Ariza,SF,34,TOT,53,1493,2.05,0.47,0.72,-0.1,0.49,-0.17,0.4,1.43,-0.19,-0.06,159.35
D.J. Augustin,PG,32,ORL,57,1420,1.56,0.65,0.62,0.32,0.45,0.81,-0.35,0.13,-0.76,0.35,177.75
Lonzo Ball,PG,22,NOP,63,2025,-0.86,0.91,1.46,1.02,1.79,-0.15,1.23,2.14,0.75,0.7,282.1
Mo Bamba,C,21,ORL,62,878,-1.11,0.87,-0.12,-0.21,-0.21,-0.42,0.74,-0.28,2.69,-0.27,141.08
Harrison Barnes,PF,27,SAC,72,2482,0.35,1.31,2.09,1.35,0.91,1.59,1.06,0.46,-0.31,1.4,312.9
RJ Barrett,SG,19,NYK,56,1704,-1.59,0.6,1.02,1.14,0.42,1.47,0.6,0.91,-0.11,0.83,256.5
Will Barton,SF,29,DEN,58,1916,0.83,0.69,1.31,1.18,1.05,0.37,1.12,1.13,0.38,1,286.02
Kent Bazemore,SF-SG,30,TOT,68,1688,1.08,1.13,0.99,0.55,0.75,0.5,0.69,1.62,0.83,0.35,220.28
Darius Bazley,PF,19,OKC,61,1130,-1.59,0.82,0.22,-0.12,0.03,-0.28,0.4,-0.28,0.87,-0.25,137.58
Bradley Beal,SG,26,WAS,57,2053,0.11,0.65,1.5,2.92,2.39,3.32,0.38,1.5,0.14,3.03,474.38
Malik Beasley,SG,23,TOT,55,1209,-0.62,0.56,0.33,0.55,0.97,-0.24,-0.19,0.35,-0.47,0.39,196.28
Marco Belinelli,SG,33,SAS,57,883,1.81,0.65,-0.12,-0.13,0.29,-0.31,-0.49,-0.69,-0.76,-0.2,119.43
