Player,Pos,Age,Tm,G2019,MP,zAge,zGPlayed,zMP,zFGA,z3PA,zFTA,zTRB,zSTL,zBLK,zPTS,puntASTFV
Dāvis Bertāns,PF,27,WAS,54,1583,0.35,0.52,0.85,0.78,2.33,0.27,0.4,0.24,0.54,0.91,275.18
Patrick Beverley,PG,31,LAC,51,1342,1.32,0.38,0.52,-0.04,0.48,-0.41,0.52,0.87,0.22,-0.1,159.48
Goga Bitadze,C,20,IND,54,471,-1.35,0.52,-0.69,-0.63,-0.66,-0.54,-0.45,-0.77,0.71,-0.65,65.47
Bismack Biyombo,C,27,CHO,53,1029,0.35,0.47,0.08,-0.24,-0.95,0.53,0.78,-0.77,1.19,-0.13,134.33
Nemanja Bjelica,PF,31,SAC,72,2011,1.32,1.31,1.44,0.92,1.27,-0.08,1.69,1.17,0.83,0.9,289.52
Eric Bledsoe,PG,30,MIL,61,1646,1.08,0.82,0.94,1.07,0.54,1.11,0.62,0.98,0.26,1.09,270.45
Bogdan Bogdanović,SG,27,SAC,61,1766,0.35,0.82,1.1,1.26,2.11,0.21,0.17,1.24,-0.19,1.12,291.8
Bojan Bogdanović,SF,30,UTA,63,2083,1.08,0.91,1.54,1.78,2.22,1.68,0.48,0.13,-0.51,1.94,366.85
Isaac Bonga,SF,20,WAS,66,1250,-1.35,1.05,0.39,-0.37,-0.45,-0.07,0.26,0.54,0.1,-0.28,118.43
Devin Booker,SG,23,PHO,70,2512,-0.62,1.22,2.13,2.85,1.81,3.8,0.71,0.68,-0.07,3.32,484.85
Chris Boucher,PF,27,TOR,62,819,0.35,0.87,-0.21,-0.17,-0.13,0.21,0.59,-0.32,1.68,-0.09,150.33
Tony Bradley,C,22,UTA,58,663,-0.86,0.69,-0.42,-0.51,-0.93,-0.42,0.53,-0.62,0.54,-0.38,101.02
Mikal Bridges,SF,23,PHO,73,2042,-0.62,1.36,1.48,0.4,0.4,0.27,0.68,2.66,1.07,0.51,221.65
Miles Bridges,SF,21,CHO,65,1995,-1.11,1,1.42,1.22,1.13,0.35,1.11,0.35,1.15,0.93,283.22
Malcolm Brogdon,PG,27,IND,54,1666,0.35,0.52,0.96,1.2,0.65,0.85,0.5,0.16,-0.39,1.04,264.38
Dillon Brooks,SG,24,MEM,73,2112,-0.38,1.36,1.58,2.19,1.9,1.01,0.38,1.21,0.3,1.72,360.88
Bruce Brown,SG,23,DET,58,1634,-0.62,0.69,0.92,0.28,-0.28,0.24,0.57,1.21,0.38,0.16,176.7
Jaylen Brown,SF,23,BOS,57,1934,-0.62,0.65,1.33,1.64,1.4,1.37,1.12,1.28,0.02,1.67,347.6
Sterling Brown,SF,24,MIL,52,767,-0.38,0.43,-0.28,-0.31,-0,-0.48,0.02,-0.06,-0.51,-0.43,107.83
Troy Brown Jr.,SG,20,WAS,69,1782,-1.35,1.18,1.12,0.82,0.29,0.42,1.23,2.03,-0.51,0.63,244.25
Jalen Brunson,PG,23,DAL,57,1022,-0.62,0.65,0.07,0.1,-0.12,-0.16,-0.28,-0.32,-0.63,0.04,139.45
Alec Burks,SG,28,TOT,66,1754,0.59,1.05,1.08,1.27,1.14,1.57,0.62,1.17,-0.11,1.28,301.33
Jimmy Butler,SF,30,MIA,58,1959,1.08,0.69,1.37,1.24,-0.12,3.94,1.25,2.7,0.5,1.66,328.7
Kentavious Caldwell-Pope,SG,26,LAL,69,1762,0.11,1.18,1.1,0.47,0.71,0.09,-0.23,0.98,-0.23,0.46,197.65
Jevon Carter,PG,24,PHO,58,945,-0.38,0.69,-0.03,-0.35,0.07,-0.6,-0.37,0.61,-0.11,-0.38,107.32
Vince Carter,SF,43,ATL,60,876,4.23,0.78,-0.13,-0.16,0.45,-0.58,-0.34,-0.28,0.22,-0.35,117.88
Alex Caruso,PG,25,LAL,64,1175,-0.14,0.96,0.29,-0.2,-0.12,0.01,-0.34,1.47,-0.07,-0.23,122.6
Willie Cauley-Stein,C,26,TOT,54,1097,0.11,0.52,0.18,-0.16,-0.94,-0.24,0.82,0.68,1.68,-0.14,139.5
Marquese Chriss,PF,22,GSW,59,1196,-0.86,0.74,0.31,0.09,-0.68,0.58,1.12,0.31,1.72,0.24,181.4
Brandon Clarke,PF,23,MEM,58,1300,-0.62,0.69,0.46,0.38,-0.5,0.18,1,0.05,1.15,0.59,206.15
Jordan Clarkson,SG,27,TOT,71,1705,0.35,1.27,1.02,1.57,1.92,0.66,0.05,0.57,-0.15,1.48,316.12
Pat Connaughton,SG,27,MIL,67,1243,0.35,1.09,0.38,-0.17,0.2,-0.48,0.63,-0.21,0.46,-0.21,143.95
Robert Covington,PF-C,29,TOT,70,2137,0.83,1.22,1.61,1.13,2.38,0.29,1.72,3.14,2.98,0.99,332.5
Torrey Craig,SF,29,DEN,58,1072,0.83,0.69,0.14,-0.27,0.01,-0.52,0.06,-0.28,0.66,-0.31,119.4
Jae Crowder,SF,29,TOT,65,1875,0.83,1,1.25,0.64,1.79,0.3,1.24,1.54,0.18,0.55,259.35
Jarrett Culver,SG,20,MIN,63,1506,-1.35,0.91,0.74,0.66,0.59,0.22,0.2,0.98,0.75,0.31,203.17
Seth Curry,SG,29,DAL,64,1576,0.83,0.96,0.84,0.67,1.28,0.04,-0.21,0.27,-0.43,0.81,232.38
Anthony Davis,PF,26,LAL,62,2131,0.11,0.87,1.6,2.28,0.56,3.94,2.41,2.25,5.01,2.74,469.48
Terence Davis,SG,22,TOR,72,1209,-0.86,1.31,0.33,0.25,0.73,-0.31,0.35,0.31,-0.23,0.22,185.98
Matthew Dellavedova,PG,29,CLE,57,821,0.83,0.65,-0.2,-0.56,-0.32,-0.51,-0.63,-0.4,-0.72,-0.63,67.32
DeMar DeRozan,SF,30,SAS,68,2316,1.08,1.13,1.86,2.13,-0.7,3.27,1.18,1.47,0.02,2.48,382.42
Gorgui Dieng,C,30,TOT,63,1096,1.08,0.91,0.18,0.03,0.11,0.08,1.06,0.76,1.6,0.04,180.33
Spencer Dinwiddie,SG,26,BRK,64,1994,0.11,0.96,1.42,2.05,1.83,3.22,0.25,0.35,0.06,2.04,374.58
Donte DiVincenzo,SG,23,MIL,66,1520,-0.62,1.05,0.76,0.48,0.77,-0.06,0.84,2.03,0.02,0.38,218.28
Luka Dončić,PG,20,DAL,61,2047,-1.35,0.82,1.49,2.77,2.81,4.28,2.38,1.17,-0.23,3.08,521.12
Goran Dragić,PG,33,MIA,59,1663,1.81,0.74,0.96,1.13,1.4,1.4,0.05,0.35,-0.39,1.19,278.72
Andre Drummond,C,26,TOT,57,1879,0.11,0.65,1.26,1.32,-0.7,1.84,4.15,2.92,2.98,1.32,360.12
Kris Dunn,PG,25,CHI,51,1269,-0.14,0.38,0.42,-0.04,-0.17,-0.35,0.04,2.62,-0.11,-0.17,137.38
Joel Embiid,C,25,PHI,51,1506,-0.14,0.38,0.74,1.37,0.25,3.12,2.5,0.54,1.84,1.7,360.08
James Ennis,SF,29,TOT,69,1265,0.83,1.18,0.41,0.01,0.22,0.05,0.4,0.16,0.1,0.01,160.02
Derrick Favors,C,28,NOP,51,1243,0.59,0.38,0.38,-0.05,-0.9,-0.2,1.95,-0.02,1.07,0.03,171.43
Terrance Ferguson,SF,21,OKC,56,1257,-1.11,0.6,0.4,-0.42,0.22,-0.66,-0.64,-0.13,-0.11,-0.53,88.18
Bruno Fernando,C,21,ATL,56,713,-1.11,0.6,-0.35,-0.48,-0.69,-0.38,0.11,-0.47,-0.11,-0.49,89.17
Dorian Finney-Smith,PF,26,DAL,71,2120,0.11,1.27,1.59,0.51,1.15,0.14,1.37,0.54,0.79,0.54,245.78
Bryn Forbes,SG,26,SAS,63,1579,0.11,0.91,0.84,0.69,1.7,-0.02,-0.32,0.09,-0.8,0.61,222.65
Evan Fournier,SG,27,ORL,66,2076,0.35,1.05,1.53,1.76,2.06,1.16,-0.05,1.5,-0.19,1.81,347.78
De'Aaron Fox,PG,22,SAC,51,1634,-0.86,0.38,0.92,1.41,0.34,2.27,0.1,1.62,0.22,1.48,294.55
Markelle Fultz,PG,21,ORL,72,1996,-1.11,1.31,1.42,1.28,-0.01,0.61,0.35,2.21,-0.35,0.99,256.3
Danilo Gallinari,PF,31,OKC,62,1834,1.32,0.87,1.19,1.42,2.1,1.87,0.86,0.42,-0.59,1.67,347.55
Langston Galloway,SG,28,DET,66,1702,0.59,1.05,1.01,0.57,1.35,-0.07,-0.18,0.65,-0.35,0.54,215.35
Darius Garland,PG,20,CLE,59,1824,-1.35,0.74,1.18,1.06,1.11,-0.19,-0.41,0.42,-0.63,0.66,223.88
Rudy Gay,PF,33,SAS,67,1461,1.81,1.09,0.68,0.74,0.58,0.4,1.11,0.16,0.54,0.65,241.68
Taj Gibson,C,34,NYK,62,1025,2.05,0.87,0.08,-0.21,-0.85,-0.33,0.53,-0.13,0.42,-0.16,125.47
Shai Gilgeous-Alexander,SG,21,OKC,70,2428,-1.11,1.22,2.01,2.03,0.79,2.41,1.41,1.8,1.11,2.07,387.92
Rudy Gobert,C,27,UTA,68,2333,0.35,1.13,1.88,0.62,-0.95,2.83,4.46,0.76,4.68,1.36,346.95
Aaron Gordon,PF,24,ORL,62,2017,-0.38,0.87,1.45,1.27,0.7,1.2,1.79,0.76,0.79,1.05,301.82
Devonte' Graham,PG,24,CHO,63,2211,-0.38,0.91,1.71,1.87,3.11,1.28,0.2,1.17,-0.19,1.64,363.05
Treveon Graham,SG,26,TOT,55,929,0.11,0.56,-0.05,-0.35,-0.12,-0.33,-0.18,-0.25,-0.55,-0.48,97.12
Jerami Grant,PF,25,DEN,71,1892,-0.14,1.27,1.27,0.86,0.8,0.94,0.41,0.72,1.52,0.95,260.42
Danny Green,SG,32,LAL,68,1687,1.56,1.13,0.99,0.36,1.32,-0.41,0.28,2.03,0.5,0.23,205.55
JaMychal Green,PF,29,LAC,63,1307,0.83,0.91,0.47,-0.01,0.7,-0.41,1.26,-0.06,0.18,-0.04,180.55
Tim Hardaway Jr.,SG,27,DAL,71,2091,0.35,1.27,1.55,1.63,2.61,0.82,0.32,0.39,-0.59,1.58,341.68
James Harden,SG,30,HOU,68,2483,1.08,1.13,2.09,3.56,4.9,6.45,1.61,3.52,1.64,4.43,667.85
Maurice Harkless,SF,26,TOT,62,1427,0.11,0.87,0.63,-0.22,-0.27,-0.24,0.37,1.02,0.54,-0.21,133.85
Montrezl Harrell,C,26,LAC,63,1749,0.11,0.91,1.08,1.4,-0.82,2.36,1.61,0.31,2.13,1.7,320.95
Gary Harris,SG,25,DEN,56,1780,-0.14,0.6,1.12,0.5,0.51,-0,-0.1,1.69,-0.23,0.31,189.45
Joe Harris,SF,28,BRK,69,2123,0.59,1.18,1.59,1.32,1.87,-0.03,0.72,0.39,-0.11,1.29,309.22
Tobias Harris,PF,27,PHI,72,2469,0.35,1.31,2.07,2.52,1.53,1.13,1.91,0.83,0.83,2.26,426.53
Josh Hart,SF,24,NOP,65,1755,-0.38,1,1.09,0.54,1.51,0.2,1.49,1.21,0.14,0.49,251.38
Jaxson Hayes,C,19,NOP,64,1080,-1.59,0.96,0.15,-0.3,-0.92,0.89,0.48,-0.17,1.44,0.06,142.12
Gordon Hayward,SF,29,BOS,52,1740,0.83,0.43,1.06,1.06,0.59,0.48,1.02,0.27,0.1,1.08,273.05
Tyler Herro,SG,20,MIA,55,1508,-1.35,0.56,0.74,0.85,1.12,0.07,0.27,0.13,-0.43,0.69,235.32
Mario Hezonja,PF,24,POR,53,871,-0.38,0.47,-0.13,-0.42,-0.41,-0.31,0.03,0.2,-0.43,-0.45,98.2
Buddy Hield,SG,27,SAC,72,2216,0.35,1.31,1.72,2.48,3.82,0.4,0.9,1.32,-0.11,2.19,438
George Hill,PG,33,MIL,59,1271,1.81,0.74,0.42,0.06,0.27,0.08,-0.02,0.61,-0.59,0.25,168.28
Solomon Hill,SF,28,TOT,59,1088,0.59,0.74,0.17,-0.24,0.24,-0.35,-0.09,0.46,-0.31,-0.29,123.5
Aaron Holiday,PG,23,IND,66,1617,-0.62,1.05,0.9,0.64,0.59,-0.05,-0.14,0.91,-0.15,0.42,199.8
Jrue Holiday,SG,29,NOP,61,2117,0.83,0.82,1.58,2,1.45,0.82,0.69,2.55,1.15,1.69,356.35
Justin Holiday,SG,30,IND,73,1826,1.08,1.36,1.18,0.4,1.35,-0.23,0.35,2.1,1.07,0.36,220.75
Rondae Hollis-Jefferson,SF,25,TOR,60,1122,-0.14,0.78,0.21,-0.08,-0.79,0.46,0.63,0.57,0.14,-0.07,142.9
Al Horford,C,33,PHI,67,2025,1.81,1.09,1.46,1.09,1.02,-0.11,1.67,0.8,1.68,0.82,284.4
Danuel House,SF,26,HOU,63,1913,0.11,0.91,1.3,0.56,1.51,-0.02,0.53,1.35,0.58,0.5,234.62
Dwight Howard,C,34,LAL,69,1306,2.05,1.18,0.47,-0.24,-0.91,1.11,1.98,0.01,2.41,0.16,186.07
Kevin Huerter,SG,21,ATL,56,1760,-1.11,0.6,1.09,0.78,1.37,-0.26,0.29,0.76,0.3,0.55,233.07
De'Andre Hunter,SF,22,ATL,63,2018,-0.86,0.91,1.45,1.01,1.16,0.47,0.65,0.5,-0.07,0.77,257.28
Serge Ibaka,C,30,TOR,55,1485,1.08,0.56,0.71,0.97,0.32,0.29,1.65,-0.1,1.07,0.93,271.1
Ersan İlyasova,PF,32,MIL,63,986,1.56,0.91,0.02,-0.13,0,-0.05,0.74,-0.25,-0.11,-0.08,151.52
Joe Ingles,SF,32,UTA,72,2137,1.56,1.31,1.61,0.61,1.5,0.01,0.6,1.28,-0.35,0.61,242.12
Brandon Ingram,PF,22,NOP,62,2104,-0.86,0.87,1.57,2.28,1.72,2.51,1.21,1.13,0.75,2.41,424.7
Wesley Iwundu,SF,25,ORL,52,953,-0.14,0.43,-0.02,-0.38,-0.38,0.04,-0.29,-0.21,-0.27,-0.35,100.32
Frank Jackson,PG,21,NOP,59,797,-1.11,0.74,-0.24,-0.08,0.05,-0.16,-0.58,-0.51,-0.63,-0.18,117.32
Jaren Jackson Jr.,C,20,MEM,57,1622,-1.35,0.65,0.9,1.22,1.61,0.85,0.5,0.35,2.94,1.27,307.6
Justin Jackson,PF,24,DAL,65,1045,-0.38,1,0.11,-0.04,0.18,-0.39,-0.15,-0.58,-0.39,-0.21,127.08
LeBron James,PG,35,LAL,67,2316,2.29,1.09,1.86,2.92,2,2.63,2.09,1.76,0.66,2.93,496.88
Cameron Johnson,PF,23,PHO,57,1255,-0.62,0.65,0.4,0.15,0.94,-0.32,0.05,0.2,0.02,0.13,174.65
Nikola Jokić,C,24,DEN,73,2336,-0.38,1.36,1.89,2.2,0.82,1.9,3.22,2.03,0.99,2.36,443.75
Damian Jones,C,24,ATL,55,887,-0.38,0.56,-0.11,-0.55,-0.88,-0.08,0.16,-0.17,0.83,-0.33,99.3
Derrick Jones Jr.,SF,22,MIA,59,1375,-0.86,0.74,0.56,-0.02,-0.03,0.28,0.32,1.02,0.75,0.12,163.62
Tyus Jones,PG,23,MEM,65,1232,-0.62,1,0.36,0.23,-0.09,-0.31,-0.46,1.06,-0.55,0.09,147.35
DeAndre Jordan,C,31,BRK,56,1234,1.32,0.6,0.37,-0.21,-0.95,0.27,2.31,-0.47,1.31,0.04,176
Cory Joseph,PG,28,SAC,72,1759,0.59,1.31,1.09,0.17,0.16,-0.21,0.05,0.83,0.06,0.02,159.02
Enes Kanter,C,27,BOS,58,983,0.35,0.69,0.02,-0.02,-0.9,0.06,1.52,-0.32,0.87,0.05,165.12
Maxi Kleber,C,28,DAL,74,1890,0.59,1.4,1.27,0.49,1.27,0,1.26,-0.21,2.57,0.53,246.4
Kevin Knox,SF,20,NYK,65,1166,-1.35,1,0.27,0.14,0.43,0.08,0.03,-0.28,0.34,-0.07,154.82
Furkan Korkmaz,SG,22,PHI,72,1559,-0.86,1.31,0.82,0.64,1.52,0.09,-0.07,0.39,-0.15,0.6,227.5
Kyle Korver,SF,38,MIL,58,960,3.02,0.69,-0.01,-0.19,0.7,-0.47,-0.35,-0.17,-0.31,-0.14,134.1
Kyle Kuzma,PF,24,LAL,61,1526,-0.38,0.82,0.77,0.96,0.94,0.57,0.57,-0.1,0.26,0.78,248.9
Zach LaVine,SG,24,CHI,60,2085,-0.38,0.78,1.54,2.6,2.41,2.2,0.66,2.14,0.34,2.54,442.28
Alex Len,C,26,TOT,55,970,0.11,0.56,0,-0.11,-0.54,0.11,0.86,-0.28,1.15,-0.02,151.45
Kawhi Leonard,SF,28,LAC,57,1848,0.59,0.65,1.21,2.39,1.31,2.82,1.35,2.7,0.54,2.57,437.55
Meyers Leonard,C,27,MIA,51,1034,0.35,0.38,0.09,-0.37,-0.06,-0.59,0.49,-0.62,-0.19,-0.33,119.6
Damian Lillard,PG,29,POR,66,2474,0.83,1.05,2.08,3.06,3.73,3.88,0.63,1.47,0.1,3.59,544.3
Brook Lopez,C,31,MIL,68,1817,1.32,1.13,1.17,0.97,1.31,0.54,0.8,0.57,5.82,0.86,283.68
Robin Lopez,C,31,MIL,66,958,1.32,1.05,-0.01,-0.17,-0.22,-0.36,-0.11,-0.77,1.03,-0.21,121.38
Kevin Love,PF,31,CLE,56,1780,1.32,0.6,1.12,1.14,1.76,1.15,2.23,0.09,-0.03,1.26,333.6
Kyle Lowry,PG,33,TOR,58,2098,1.81,0.69,1.56,1.38,2.28,2.28,0.68,1.91,0.26,1.59,348
Trey Lyles,PF,24,SAS,63,1271,-0.38,0.91,0.42,-0.04,0.22,-0.43,1.1,-0.1,0.34,-0.1,164.62
Thon Maker,C,22,DET,60,776,-0.86,0.78,-0.26,-0.5,-0.5,0.16,-0.08,-0.21,0.79,-0.39,100.85
Wesley Matthews,SG,33,MIL,67,1635,1.81,1.09,0.92,0.2,1.11,-0.22,-0.08,0.27,-0.43,0.11,174.78
CJ McCollum,SG,28,POR,70,2556,0.59,1.22,2.19,3.08,2.6,0.84,0.71,0.87,0.91,2.6,456.38
T.J. McConnell,PG,27,IND,71,1326,0.35,1.27,0.49,0.17,-0.83,-0.46,0.06,0.95,-0.35,0.04,140.43
Doug McDermott,PF,28,IND,69,1372,0.59,1.18,0.56,0.59,1.09,-0.31,-0.03,-0.69,-0.59,0.62,213.45
JaVale McGee,C,32,LAL,68,1130,1.56,1.13,0.22,-0.15,-0.91,-0.1,1.28,0.2,3.02,-0,161.38
Rodney McGruder,SG,28,LAC,56,871,0.59,0.6,-0.13,-0.54,-0.33,-0.53,-0.17,-0.17,-0.47,-0.61,80.17
Ben McLemore,SG,26,HOU,71,1619,0.11,1.27,0.9,0.58,2.19,-0.23,-0.14,0.54,-0.15,0.63,236.32
Nicolò Melli,C,29,NOP,60,1042,0.83,0.78,0.1,-0.1,0.48,-0.18,0,0.13,0.14,-0.12,143.52
De'Anthony Melton,PG,21,MEM,60,1167,-1.11,0.78,0.27,0.14,0.02,0.26,0.25,1.73,0.02,0.02,162.65
Khris Middleton,SF,28,MIL,62,1853,0.59,0.87,1.22,1.82,1.51,1.23,1.23,0.83,-0.51,1.99,373
Patty Mills,PG,31,SAS,66,1485,1.32,1.05,0.71,0.75,1.85,0.18,-0.43,0.83,-0.55,0.75,236.57
Paul Millsap,PF,34,DEN,51,1240,2.05,0.38,0.38,0.25,-0.09,0.44,0.69,0.5,0.42,0.34,190.48
Donovan Mitchell,SG,23,UTA,69,2364,-0.62,1.18,1.93,3.04,2.33,2.09,0.75,1.47,-0.23,2.83,467.95
Malik Monk,SG,21,CHO,55,1169,-1.11,0.56,0.28,0.41,0.47,0.07,-0.14,-0.21,-0.15,0.27,175.73
E'Twaun Moore,SG,30,NOP,56,1020,1.08,0.6,0.07,0.25,0.21,-0.43,-0.29,0.05,-0.35,0.04,150.55
Ja Morant,PG,20,MEM,67,2074,-1.35,1.09,1.53,1.79,0.29,1.96,0.48,1.02,-0.07,1.75,326.05
Marcus Morris,SF-PF,30,TOT,62,1936,1.08,0.87,1.34,1.4,1.47,1.16,0.8,0.61,0.42,1.37,318.12
Markieff Morris,PF,30,TOT,58,1187,1.08,0.69,0.3,0.32,0.63,-0.07,0.23,0.01,-0.11,0.26,185.75
Monte Morris,PG,24,DEN,73,1636,-0.38,1.36,0.92,0.65,0.25,-0.03,-0.26,0.91,-0.11,0.5,196.18
Emmanuel Mudiay,PG,23,UTA,54,850,-0.62,0.52,-0.16,-0.09,-0.34,-0.09,-0.32,-0.25,-0.39,-0.12,120.55
Dejounte Murray,PG,23,SAS,66,1687,-0.62,1.05,0.99,0.87,-0.18,0.2,1.23,2.99,-0.11,0.64,241.68
Jamal Murray,PG,22,DEN,59,1904,-0.86,0.74,1.29,1.66,1.3,0.84,0.34,1.35,-0.11,1.51,317.75
Sviatoslav Mykhailiuk,SF,22,DET,56,1265,-0.86,0.6,0.41,0.15,1.03,-0.21,-0.46,0.39,-0.63,0.13,165.57
Abdel Nader,SF,26,OKC,55,867,0.11,0.56,-0.14,-0.28,-0.06,-0.24,-0.48,-0.28,0.02,-0.24,110.33
Larry Nance Jr.,C,27,CLE,56,1472,0.35,0.6,0.7,0.23,0.16,-0.17,1.39,0.95,0.1,0.27,201.3
Shabazz Napier,PG,28,TOT,56,1344,0.59,0.6,0.52,0.31,0.72,0.55,-0.13,1.43,-0.35,0.31,186.95
Raul Neto,PG,27,PHI,54,668,0.35,0.52,-0.41,-0.41,-0.34,-0.41,-0.72,-0.25,-0.55,-0.4,85.2
Georges Niang,PF,26,UTA,66,923,0.11,1.05,-0.06,-0.1,0.61,-0.62,-0.32,-0.47,-0.59,-0.13,134.22
Nerlens Noel,C,25,OKC,61,1127,-0.14,0.82,0.22,-0.27,-0.93,0.12,0.73,1.06,2.9,0,149.5
Frank Ntilikina,PG,21,NYK,57,1187,-1.11,0.65,0.3,-0.07,0,-0.31,-0.35,0.87,-0.15,-0.21,124.8
Kendrick Nunn,SG,24,MIA,67,1962,-0.38,1.09,1.37,1.72,1.76,0.07,0,0.95,-0.19,1.35,307.25
Royce O'Neale,PF,26,UTA,71,2049,0.11,1.27,1.49,0.03,0.75,-0.34,1.27,1.06,0.5,0.01,190.62
Semi Ojeleye,PF,25,BOS,69,1011,-0.14,1.18,0.06,-0.49,-0.07,-0.55,-0.21,-0.36,-0.59,-0.5,92.78
Elie Okobo,PG,22,PHO,55,719,-0.86,0.56,-0.34,-0.54,-0.45,-0.2,-0.54,-0.25,-0.63,-0.54,76.35
Josh Okogie,SG,21,MIN,62,1547,-1.11,0.87,0.8,0.13,0.12,0.9,0.54,1.39,0.26,0.2,182.55
Kelly Olynyk,C,28,MIA,67,1300,0.59,1.09,0.46,0.13,0.68,0.07,0.76,0.54,0.14,0.24,194.5
Cedi Osman,SF,24,CLE,65,1910,-0.38,1,1.3,0.78,1.28,0.01,0.31,0.87,-0.15,0.63,237.3
Kelly Oubre Jr.,SF,24,PHO,56,1933,-0.38,0.6,1.33,1.45,1.18,1.4,1.1,1.5,0.83,1.4,325.38
Eric Paschall,PF,23,GSW,60,1654,-0.62,0.78,0.95,0.88,-0.05,1.09,0.58,0.05,-0.27,0.91,238.02
Patrick Patterson,PF,30,LAC,59,776,1.08,0.74,-0.26,-0.38,0.25,-0.45,-0.17,-0.88,-0.67,-0.36,107.78
Chris Paul,PG,34,OKC,70,2208,2.05,1.22,1.71,1.64,1.16,1.7,1.03,2.99,-0.35,1.84,357.45
Mason Plumlee,C,29,DEN,61,1057,0.83,0.82,0.12,-0.21,-0.91,0.57,0.83,0.09,0.75,-0.02,144.62
Jakob Poeltl,C,24,SAS,66,1171,-0.38,1.05,0.28,-0.28,-0.95,-0.06,1.18,0.24,3.06,-0.18,145.73
Jordan Poole,SG,20,GSW,57,1274,-1.35,0.65,0.42,0.45,0.89,0.24,-0.37,0.16,-0.39,0.13,172.8
Michael Porter Jr.,PF,21,DEN,55,903,-1.11,0.56,-0.09,0.08,0.07,-0.19,0.48,-0.13,0.22,0.15,167.68
Bobby Portis,C,24,NYK,66,1393,-0.38,1.05,0.59,0.72,0.35,0,0.96,0.05,-0.07,0.52,222.9
Kristaps Porziņģis,PF,24,DAL,57,1814,-0.38,0.65,1.17,1.77,1.85,1.74,2.18,0.39,3.87,1.68,392.1
Norman Powell,SG,26,TOR,52,1479,0.11,0.43,0.7,0.75,0.95,0.55,0.06,1.09,0.06,0.9,243.08
Taurean Prince,SF,25,BRK,64,1857,-0.14,0.96,1.23,1.18,2.04,-0.03,1.22,0.98,0.22,0.76,288.22
Julius Randle,PF,25,NYK,64,2080,-0.14,0.96,1.53,2,0.65,2.37,2.68,0.76,0.1,1.88,391.2
Cam Reddish,SF,20,ATL,58,1551,-1.35,0.69,0.8,0.61,0.79,0.31,0.22,1.17,0.34,0.38,209.68
